state_level	cell_state	timing	model	n	loocv_auc	features
major	DC	pre	ifn_only	43	0.7390350877192983	pre__ifn_apc
major	DC	pre	hla_only	43	0.6798245614035088	pre__hla_ii_without_cd74
major	DC	pre	receptor_only	43	0.4605263157894737	pre__receptor_only_cd74_cd44_cxcr4
major	DC	pre	ifn_plus_hla	43	0.7412280701754386	pre__ifn_apc;pre__hla_ii_without_cd74
major	DC	pre	all_components	43	0.6864035087719299	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
major	DC	delta	ifn_only	43	0.712719298245614	delta__ifn_apc
major	DC	delta	hla_only	43	0.6864035087719298	delta__hla_ii_without_cd74
major	DC	delta	receptor_only	43	0.4144736842105262	delta__receptor_only_cd74_cd44_cxcr4
major	DC	delta	ifn_plus_hla	43	0.7214912280701755	delta__ifn_apc;delta__hla_ii_without_cd74
major	DC	delta	all_components	43	0.7280701754385965	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
major	Mono_macro	pre	ifn_only	43	0.7488888888888888	pre__ifn_apc
major	Mono_macro	pre	hla_only	43	0.7555555555555555	pre__hla_ii_without_cd74
major	Mono_macro	pre	receptor_only	43	0.5711111111111111	pre__receptor_only_cd74_cd44_cxcr4
major	Mono_macro	pre	ifn_plus_hla	43	0.7822222222222223	pre__ifn_apc;pre__hla_ii_without_cd74
major	Mono_macro	pre	all_components	43	0.7266666666666666	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
major	Mono_macro	delta	ifn_only	43	0.7799999999999999	delta__ifn_apc
major	Mono_macro	delta	hla_only	43	0.7555555555555555	delta__hla_ii_without_cd74
major	Mono_macro	delta	receptor_only	43	0.6311111111111112	delta__receptor_only_cd74_cd44_cxcr4
major	Mono_macro	delta	ifn_plus_hla	43	0.7799999999999999	delta__ifn_apc;delta__hla_ii_without_cd74
major	Mono_macro	delta	all_components	43	0.8111111111111111	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
fine	C1Qhi IL1Bhi macro	pre	ifn_only	16	0.6727272727272727	pre__ifn_apc
fine	C1Qhi IL1Bhi macro	pre	hla_only	16	0.5636363636363637	pre__hla_ii_without_cd74
fine	C1Qhi IL1Bhi macro	pre	receptor_only	16	0.45454545454545453	pre__receptor_only_cd74_cd44_cxcr4
fine	C1Qhi IL1Bhi macro	pre	ifn_plus_hla	16	0.6909090909090909	pre__ifn_apc;pre__hla_ii_without_cd74
fine	C1Qhi IL1Bhi macro	pre	all_components	16	0.6181818181818182	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
fine	C1Qhi IL1Bhi macro	delta	ifn_only	16	0.8909090909090909	delta__ifn_apc
fine	C1Qhi IL1Bhi macro	delta	hla_only	16	0.8727272727272728	delta__hla_ii_without_cd74
fine	C1Qhi IL1Bhi macro	delta	receptor_only	16	0.0	delta__receptor_only_cd74_cd44_cxcr4
fine	C1Qhi IL1Bhi macro	delta	ifn_plus_hla	16	0.8727272727272727	delta__ifn_apc;delta__hla_ii_without_cd74
fine	C1Qhi IL1Bhi macro	delta	all_components	16	0.8727272727272727	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
fine	C1Qhi IL1Blo macro	pre	ifn_only	19	0.5512820512820513	pre__ifn_apc
fine	C1Qhi IL1Blo macro	pre	hla_only	19	0.6538461538461539	pre__hla_ii_without_cd74
fine	C1Qhi IL1Blo macro	pre	receptor_only	19	0.14102564102564102	pre__receptor_only_cd74_cd44_cxcr4
fine	C1Qhi IL1Blo macro	pre	ifn_plus_hla	19	0.5769230769230769	pre__ifn_apc;pre__hla_ii_without_cd74
fine	C1Qhi IL1Blo macro	pre	all_components	19	0.47435897435897434	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
fine	C1Qhi IL1Blo macro	delta	ifn_only	19	0.7179487179487178	delta__ifn_apc
fine	C1Qhi IL1Blo macro	delta	hla_only	19	0.7435897435897436	delta__hla_ii_without_cd74
fine	C1Qhi IL1Blo macro	delta	receptor_only	19	0.6410256410256411	delta__receptor_only_cd74_cd44_cxcr4
fine	C1Qhi IL1Blo macro	delta	ifn_plus_hla	19	0.7564102564102564	delta__ifn_apc;delta__hla_ii_without_cd74
fine	C1Qhi IL1Blo macro	delta	all_components	19	0.6025641025641025	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
fine	CD1Chi DC	pre	ifn_only	28	0.7193877551020408	pre__ifn_apc
fine	CD1Chi DC	pre	hla_only	28	0.8214285714285714	pre__hla_ii_without_cd74
fine	CD1Chi DC	pre	receptor_only	28	0.6326530612244898	pre__receptor_only_cd74_cd44_cxcr4
fine	CD1Chi DC	pre	ifn_plus_hla	28	0.8622448979591837	pre__ifn_apc;pre__hla_ii_without_cd74
fine	CD1Chi DC	pre	all_components	28	0.8214285714285714	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
fine	CD1Chi DC	delta	ifn_only	28	0.7551020408163266	delta__ifn_apc
fine	CD1Chi DC	delta	hla_only	28	0.75	delta__hla_ii_without_cd74
fine	CD1Chi DC	delta	receptor_only	28	0.5255102040816327	delta__receptor_only_cd74_cd44_cxcr4
fine	CD1Chi DC	delta	ifn_plus_hla	28	0.7806122448979591	delta__ifn_apc;delta__hla_ii_without_cd74
fine	CD1Chi DC	delta	all_components	28	0.75	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
