samplegroup	module	contrast	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference	hedges_g	welch_p
HEALTHY	decoupling_hla_minus_cd64	postpartum_6wk_vs_trimester_3	18	19	0.4063460248248439	0.04795461838287762	0.35839140644196626	0.7751017356913336	0.021372113964167352
HEALTHY	decoupling_hla_minus_cd64	postpartum_6mo_vs_trimester_3	18	19	0.6071472917276202	0.04795461838287762	0.5591926733447425	1.2859178018905486	0.00030447509413624656
HEALTHY	decoupling_hla_minus_cd64	trimester_3_vs_trimester_1	19	19	0.04795461838287762	0.11150299530140448	-0.06354837691852686	-0.13588979388627362	0.6713339881894397
HEALTHY	hla_ii_only	postpartum_6wk_vs_trimester_3	18	19	0.25386112716548603	0.20034893087323133	0.053512196292254705	0.05927684634988495	0.8548405420239126
HEALTHY	hla_ii_only	postpartum_6mo_vs_trimester_3	18	19	0.4249579651257881	0.20034893087323133	0.22460903425255677	0.2484460749432899	0.4450682591423236
HEALTHY	hla_ii_only	trimester_3_vs_trimester_1	19	19	0.20034893087323133	-0.10407038344221446	0.3044193143154458	0.33711293637379386	0.295616743482155
HEALTHY	lysosomal_apc	postpartum_6wk_vs_trimester_3	18	19	-0.20232371457577106	0.13364021746800592	-0.33596393204377695	-0.463960854720764	0.15937215193499965
HEALTHY	lysosomal_apc	postpartum_6mo_vs_trimester_3	18	19	0.0003089006413901517	0.13364021746800592	-0.13333131682661575	-0.1817381663804665	0.5770819600756453
HEALTHY	lysosomal_apc	trimester_3_vs_trimester_1	19	19	0.13364021746800592	-0.04027586038591034	0.17391607785391627	0.23334963677663753	0.467398231425714
HEALTHY	monocyte_cd64	postpartum_6wk_vs_trimester_3	18	19	-0.15248489765935794	0.15239431249035373	-0.30487921014971164	-0.4513081845251871	0.17171628393540672
HEALTHY	monocyte_cd64	postpartum_6mo_vs_trimester_3	18	19	-0.18218932660183215	0.15239431249035373	-0.3345836390921859	-0.5084881407055283	0.12435518779447216
HEALTHY	monocyte_cd64	trimester_3_vs_trimester_1	19	19	0.15239431249035373	-0.21557337874361898	0.3679676912339727	0.49962783416470025	0.12517329092074003
HEALTHY	regulatory_pregnancy	postpartum_6wk_vs_trimester_3	18	19	0.23836532763899582	-0.18747516308733278	0.42584049072632857	0.5742416286942227	0.0837621085869442
