gene	genetic_association_ms	overall_score_ms	ot_rank_ms	genetic_association_crohn	overall_score_crohn	ot_rank_crohn
TNFRSF1A	0.8035960470977408	0.6568646363585613	3	0.5759803635700458	0.3595022096441004	140
IL7R	0.7885940637617141	0.5755767565735939	61	0.5659403763827177	0.3524134094109553	148
TAGAP	0.7690720106401111	0.4699087670608812	128	0.818159655008347	0.5002882761748212	26
SP140	0.7593921205206332	0.4647797254821645	137	0.7854736074286681	0.4811263565322617	31
IL2RA	0.7476974702223631	0.6646519936083027	2	0.7623053150992802	0.4919611821772875	29
CD40	0.7292906022301274	0.4555174061769214	198	0.7682465868531708	0.4741517350573793	37
BACH2	0.7231039278192867	0.4411977390831753	220	0.8072394913294095	0.4941325075674449	28
ANKRD55	0.710779114428204	0.4369012652894999	227	0.6920218427913031	0.4218531454054773	73
ZFP36L1	0.6968469784779934	0.4240043192940593	239	0.6819294243463875	0.4145658988577329	80
SPRED2	0.6798598760820634	0.4133077567307067	254	0.6664257368575807	0.4051407297567413	94
IL12B	0.6698761173306804	0.4317686511788899	233	0.8848445735285669	0.7365088818648415	2
INAVA	0.6676684262582133	0.4058961989152514	263	0.7510473810948008	0.4658922686154613	44
BATF	0.6651975164931028	0.4055560774306925	264	0.5396314472177651	0.3299513199885063	174
STAT3	0.6380651275555957	0.4674390464690591	134	0.6855101904623813	0.5147155014951923	20
PUS10	0.5871795903065286	0.3569645566763127	382	0.7333459889716921	0.4479486961652809	49
IFNGR2	0.5718780339946261	0.3501823382929602	398	0.8537906881441992	0.5190456540368779	19
GALC	0.5501215829794394	0.3362066820385774	448	0.7154028964410839	0.4349154534470921	64
IRF5	0.5290512249722729	0.3315712829937413	469	0.7329327133796716	0.4504331735368282	48
ELMO1	0.5108727446557169	0.3475048137899376	410	0.6557316536146026	0.399378626910482	99
