gene	genetic_association_ms	overall_score_ms	ot_rank_ms	genetic_association_uc	overall_score_uc	ot_rank_uc
TNFRSF1A	0.8035960470977408	0.6568646363585613	3	0.5759803635700458	0.3639701002279398	101
SP140	0.7593921205206332	0.4647797254821645	137	0.5276738774106741	0.3269831745876417	147
IL2RA	0.7476974702223631	0.6646519936083027	2	0.6283969518194241	0.4157703877028927	55
CD40	0.7292906022301274	0.4555174061769214	198	0.57531392026803	0.3739024651107041	90
BACH2	0.7231039278192867	0.4411977390831753	220	0.5757324765197472	0.3591334280133853	107
IL12B	0.6698761173306804	0.4317686511788899	233	0.8557951926872112	0.734570044957905	1
INAVA	0.6676684262582133	0.4058961989152514	263	0.8205832377042092	0.507917788999701	32
STAT3	0.6380651275555957	0.4674390464690591	134	0.6880559103184579	0.4439150158101714	45
PUS10	0.5871795903065286	0.3569645566763127	382	0.7392086449317482	0.4506042348031004	44
IFNGR2	0.5718780339946261	0.3501823382929602	398	0.5866912147902971	0.3582714807369216	108
GALC	0.5501215829794394	0.3362066820385774	448	0.582449620364435	0.35518529560966	110
IRF5	0.5290512249722729	0.3315712829937413	469	0.8338141249346528	0.5145771905342821	29
