comparator	region	p12	W	PP.H3	PP.H4	n_shared_snps
Crohn	10:80542475-81559335	1e-06	0.01	0.19118428781414312	0.8088070107805059	2322
Crohn	10:80542475-81559335	1e-06	0.04	0.18667089062673356	0.8133225859568015	2322
Crohn	10:80542475-81559335	1e-06	0.09	0.18580672889442637	0.8141851687012072	2322
Crohn	10:80542475-81559335	1e-05	0.01	0.02309194496824873	0.9769070040438492	2322
Crohn	10:80542475-81559335	1e-05	0.04	0.022436665966876112	0.9775625499595288	2322
Crohn	10:80542475-81559335	1e-05	0.09	0.022311980010952085	0.9776870470389013	2322
Crohn	10:80542475-81559335	0.0001	0.01	0.002358206749869514	0.9976416859206358	2322
Crohn	10:80542475-81559335	0.0001	0.04	0.0022899083300653928	0.9977100116466082	2322
Crohn	10:80542475-81559335	0.0001	0.09	0.002276922376795767	0.9977229783343055	2322
Crohn	14:68710199-69753364	1e-06	0.01	0.758062036587581	0.23911884924730856	2205
Crohn	14:68710199-69753364	1e-06	0.04	0.7751258191319298	0.2215341976382971	2205
Crohn	14:68710199-69753364	1e-06	0.09	0.7774921924103205	0.2179883411839962	2205
Crohn	14:68710199-69753364	1e-05	0.01	0.24049660140497187	0.758609029344284	2205
Crohn	14:68710199-69753364	1e-05	0.04	0.2589096817221004	0.739974687791038	2205
Crohn	14:68710199-69753364	1e-05	0.09	0.2624982228820585	0.7359759072616925	2205
Crohn	14:68710199-69753364	0.0001	0.01	0.030724647340649853	0.9691610925007403	2205
Crohn	14:68710199-69753364	0.0001	0.04	0.033801224800925234	0.9660531272007835	2205
Crohn	14:68710199-69753364	0.0001	0.09	0.03443149118864351	0.9653683627915703	2205
Crohn	17:40014201-41029835	1e-06	0.01	0.3767576953650164	0.6226329704438598	1008
Crohn	17:40014201-41029835	1e-06	0.04	0.38358453643003215	0.6157395621528544	1008
Crohn	17:40014201-41029835	1e-06	0.09	0.38496757015125915	0.6141288816584397	1008
Crohn	17:40014201-41029835	1e-05	0.01	0.057052543528465095	0.9428551847916466	1008
Crohn	17:40014201-41029835	1e-05	0.04	0.058637221668092473	0.9412594556547467	1008
Crohn	17:40014201-41029835	1e-05	0.09	0.05897933771951115	0.9408822332854432	1008
Crohn	17:40014201-41029835	0.0001	0.01	0.006014586545894286	0.9939756859999018	1008
Crohn	17:40014201-41029835	0.0001	0.04	0.006191019644375728	0.9937980713680252	1008
Crohn	17:40014201-41029835	0.0001	0.09	0.006229373770773622	0.9937560054148155	1008
Crohn	19:10016198-11090684	1e-06	0.01	0.9213357417378667	0.07747104104599449	1873
Crohn	19:10016198-11090684	1e-06	0.04	0.9424848765770223	0.05654822575585731	1873
Crohn	19:10016198-11090684	1e-06	0.09	0.9459709935360134	0.05282480681356985	1873
Crohn	19:10016198-11090684	1e-05	0.01	0.5428437251346591	0.4564532407278836	1873
Crohn	19:10016198-11090684	1e-05	0.04	0.6246031017346996	0.3747561163313368	1873
Crohn	19:10016198-11090684	1e-05	0.09	0.6411522837780977	0.35803154388547087	1873
Crohn	19:10016198-11090684	0.0001	0.01	0.10627159592383463	0.8935907722747524	1873
Crohn	19:10016198-11090684	0.0001	0.04	0.14283808562784595	0.8570153764114893	1873
Crohn	19:10016198-11090684	0.0001	0.09	0.15184963866167736	0.8479570601873962	1873
Crohn	2:42855324-44309347	1e-06	0.01	0.9997321013930379	7.588916568441483e-06	3402
Crohn	2:42855324-44309347	1e-06	0.04	0.9998361767925785	2.7220729325978433e-06	3402
Crohn	2:42855324-44309347	1e-06	0.09	0.9998074276029782	2.2044225779588833e-06	3402
Crohn	2:42855324-44309347	1e-05	0.01	0.9996638241048209	7.588398278948648e-05	3402
Crohn	2:42855324-44309347	1e-05	0.04	0.9998116827497038	2.7220062471020907e-05	3402
Crohn	2:42855324-44309347	1e-05	0.09	0.9997875920139095	2.2043788435164452e-05	3402
Crohn	2:42855324-44309347	0.0001	0.01	0.9989815638066641	0.0007583219275020046	3402
Crohn	2:42855324-44309347	0.0001	0.04	0.9995668083110072	0.00027213395718037465	3402
Crohn	2:42855324-44309347	0.0001	0.09	0.9995892794025348	0.00022039415945163511	3402
Crohn	2:60699327-61742410	1e-06	0.01	0.9348612789918536	0.06031897877457254	1523
Crohn	2:60699327-61742410	1e-06	0.04	0.9430599794830304	0.05126211387365667	1523
Crohn	2:60699327-61742410	1e-06	0.09	0.9427949692150671	0.049529276267070946	1523
Crohn	2:60699327-61742410	1e-05	0.01	0.6059232396880052	0.3909528809790343	1523
Crohn	2:60699327-61742410	1e-05	0.04	0.6453307937599385	0.3507838457319931	1523
Crohn	2:60699327-61742410	1e-05	0.09	0.6521087149325421	0.34258214938237175	1523
Crohn	2:60699327-61742410	0.0001	0.01	0.13409606239534938	0.8652125960443507	1523
Crohn	2:60699327-61742410	0.0001	0.04	0.15523750685426532	0.8438278505030236	1523
Crohn	2:60699327-61742410	0.0001	0.09	0.1597037694643786	0.838996004113108	1523
Crohn	22:21440189-22705353	1e-06	0.01	0.9999414843769755	1.544757464186619e-07	2190
Crohn	22:21440189-22705353	1e-06	0.04	0.9999553693364291	6.391177265921969e-08	2190
Crohn	22:21440189-22705353	1e-06	0.09	0.9999446709614898	5.394348818006024e-08	2190
Crohn	22:21440189-22705353	1e-05	0.01	0.999940094178544	1.5447553165415437e-06	2190
Crohn	22:21440189-22705353	1e-05	0.04	0.9999547941564811	6.391173589680885e-07	2190
Crohn	22:21440189-22705353	1e-05	0.09	0.999944185497192	5.394346199097357e-07	2190
Crohn	22:21440189-22705353	0.0001	0.01	0.9999261924068277	1.5447338404192326e-05	2190
Crohn	22:21440189-22705353	0.0001	0.04	0.9999490423933584	6.391136827502462e-06	2190
Crohn	22:21440189-22705353	0.0001	0.09	0.9999393308801577	5.394320010150694e-06	2190
Crohn	5:39896425-40940063	1e-06	0.01	0.9974169594113319	0.002583040583898888	2460
Crohn	5:39896425-40940063	1e-06	0.04	0.9987608440482031	0.001239155949335813	2460
Crohn	5:39896425-40940063	1e-06	0.09	0.9989239508575054	0.0010760491396514533	2460
Crohn	5:39896425-40940063	1e-05	0.01	0.9747564404064591	0.025243559588887694	2460
Crohn	5:39896425-40940063	1e-05	0.04	0.9877451119609746	0.012254888036587303	2460
Crohn	5:39896425-40940063	1e-05	0.09	0.9893427184286463	0.010657281568548959	2460
Crohn	5:39896425-40940063	0.0001	0.01	0.794298212157058	0.2057017878391501	2460
Crohn	5:39896425-40940063	0.0001	0.04	0.8896248370116728	0.11037516298613602	2460
Crohn	5:39896425-40940063	0.0001	0.09	0.9027545350252159	0.09724546497222752	2460
Crohn	5:158259900-159348253	1e-06	0.01	0.9999955727999551	3.332951968244605e-06	2199
Crohn	5:158259900-159348253	1e-06	0.04	0.999996845666453	1.8308525370895924e-06	2199
Crohn	5:158259900-159348253	1e-06	0.09	0.99999657046578	1.6248959249635728e-06	2199
Crohn	5:158259900-159348253	1e-05	0.01	0.9999655772647996	3.3328519941240565e-05	2199
Crohn	5:158259900-159348253	1e-05	0.04	0.9999803683171015	1.8308223693975644e-05	2199
Crohn	5:158259900-159348253	1e-05	0.09	0.9999819466664666	1.6248721627301633e-05	2199
Crohn	5:158259900-159348253	0.0001	0.01	0.9996657208545904	0.00033318525826868796	2199
Crohn	5:158259900-159348253	0.0001	0.04	0.9998156246841123	0.00018305207471477282	2199
Crohn	5:158259900-159348253	0.0001	0.09	0.9998357321940998	0.00016246345786150487	2199
Crohn	6:30793436-31851940	1e-06	0.01	0.999919917610897	2.6668720684894806e-06	1113
