source	label	url	curl_exit	http_status_chain	content_length	content_type	x_deny_reason	relevance
DICE	DICE significant B_CELL_NAIVE	https://dice-database.org/download/eqtls/B_CELL_NAIVE.vcf	0	HTTP/1.1 200 OK	37310874	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant MONOCYTES	https://dice-database.org/download/eqtls/MONOCYTES.vcf	0	HTTP/1.1 200 OK	38643600	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant M2	https://dice-database.org/download/eqtls/M2.vcf	0	HTTP/1.1 200 OK	34580967	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant NK	https://dice-database.org/download/eqtls/NK.vcf	0	HTTP/1.1 200 OK	29034420	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant CD4_NAIVE	https://dice-database.org/download/eqtls/CD4_NAIVE.vcf	0	HTTP/1.1 200 OK	42322015	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant CD4_STIM	https://dice-database.org/download/eqtls/CD4_STIM.vcf	0	HTTP/1.1 200 OK	27798691	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant CD8_NAIVE	https://dice-database.org/download/eqtls/CD8_NAIVE.vcf	0	HTTP/1.1 200 OK	44580053	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant CD8_STIM	https://dice-database.org/download/eqtls/CD8_STIM.vcf	0	HTTP/1.1 200 OK	29058153	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant TH1	https://dice-database.org/download/eqtls/TH1.vcf	0	HTTP/1.1 200 OK	30544118	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant TH17	https://dice-database.org/download/eqtls/TH17.vcf	0	HTTP/1.1 200 OK	43761535	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant TREG_NAIVE	https://dice-database.org/download/eqtls/TREG_NAIVE.vcf	0	HTTP/1.1 200 OK	43304006	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant TREG_MEM	https://dice-database.org/download/eqtls/TREG_MEM.vcf	0	HTTP/1.1 200 OK	41171962	application/octet-stream		significant immune-cell eQTL
DICE	DICE significant TFH	https://dice-database.org/download/eqtls/TFH.vcf	0	HTTP/1.1 200 OK	42449912	application/octet-stream		significant immune-cell eQTL
