pathway	module	pred_mean_log2fc	pred_sd_log2fc	n_train_perturbations	train_negative_fraction	confidence_raw	confidence_bin
IFNB	gilt_lysosomal_apc	-0.008139108980788023	0.18941913942408456	5	0.4	0.02812222093184315	low
IFNB	hla_ii_apc	0.1873845715554085	0.09427277052065362	5	0.0	0.96454367255491	medium
IFNB	ifn_apc	-0.24349611904415744	0.4807387707133432	5	0.5666666666666667	0.41928683140108247	low
IFNB	mif_cd74_receptor_state	0.24846194560208437	0.12850485581987306	5	0.07333333333333332	1.0873377054093905	high
IFNG	gilt_lysosomal_apc	-0.09299008786931126	0.1699237853334724	7	0.6904761904761905	0.34450497852357975	low
IFNG	hla_ii_apc	-0.900901913868607	0.6448238245443393	7	0.9285714285714286	1.2095503449016975	high
IFNG	ifn_apc	-0.7427479771769498	0.6911366996553272	7	0.8333333333333333	0.9388364583523192	medium
IFNG	mif_cd74_receptor_state	-0.3058264931568734	0.266734956582865	7	0.75	0.8339169410150593	medium
TNFA	gilt_lysosomal_apc	0.0014867730324932837	0.028587698947544232	6	0.5	0.011562327070646115	low
TNFA	hla_ii_apc	-0.18467416716466287	0.3590319375661109	6	0.6666666666666666	0.4023122402851667	low
TNFA	ifn_apc	-0.2180522346245367	0.15665755757854383	6	0.8055555555555555	0.8495843125827578	medium
TNFA	mif_cd74_receptor_state	-0.06068951760166277	0.08203279292936018	6	0.52	0.3333988158123465	low
