compartment	confounder	raw_locked_auc	raw_locked_exact_p	confounder_auc	confounder_exact_p	spearman_locked_confounder	residualized_locked_auc	residualized_exact_p	auc_attenuation
b_plasma_like	delta_stat1_axis	0.95	0.031746031746031744	0.95	0.031746031746031744	-0.9833333333333333	0.6	0.7301587301587301	0.35
b_plasma_like	delta_t_cell_composition	0.95	0.031746031746031744	0.9	0.06349206349206349	-0.9333333333333332	0.6	0.7301587301587301	0.35
b_plasma_like	delta_glycolysis	0.95	0.031746031746031744	0.95	0.031746031746031744	-0.9666666666666667	0.65	0.5555555555555556	0.29999999999999993
b_plasma_like	delta_ifn_suppression_inverse_isg	0.95	0.031746031746031744	0.9	0.06349206349206349	-0.8833333333333333	0.7	0.4126984126984127	0.25
b_plasma_like	delta_b_cell_composition	0.95	0.031746031746031744	0.85	0.1111111111111111	-0.7333333333333334	0.75	0.2857142857142857	0.19999999999999996
b_plasma_like	delta_monocyte_myeloid_composition	0.95	0.031746031746031744	0.8	0.19047619047619047	-0.8333333333333333	0.75	0.2857142857142857	0.19999999999999996
b_plasma_like	delta_general_inflammatory_tone	0.95	0.031746031746031744	0.75	0.2857142857142857	-0.7	0.8	0.19047619047619047	0.1499999999999999
b_plasma_like	baseline_glucocorticoid_response	0.95	0.031746031746031744	0.6	0.7301587301587301	0.5666666666666667	0.9	0.06349206349206349	0.04999999999999993
b_plasma_like	delta_glucocorticoid_response	0.95	0.031746031746031744	0.65	0.5555555555555556	-0.5499999999999999	0.95	0.031746031746031744	0.0
myeloid_apc_like	delta_stat1_axis	0.8	0.19047619047619047	0.95	0.031746031746031744	-0.48333333333333334	0.55	0.9047619047619048	0.25
myeloid_apc_like	delta_ifn_suppression_inverse_isg	0.8	0.19047619047619047	0.9	0.06349206349206349	-0.41666666666666663	0.6	0.7301587301587301	0.20000000000000007
myeloid_apc_like	delta_monocyte_myeloid_composition	0.8	0.19047619047619047	0.8	0.19047619047619047	-0.18333333333333335	0.65	0.5555555555555556	0.15000000000000002
myeloid_apc_like	delta_t_cell_composition	0.8	0.19047619047619047	0.9	0.06349206349206349	-0.4666666666666666	0.65	0.5555555555555556	0.15000000000000002
myeloid_apc_like	delta_glycolysis	0.8	0.19047619047619047	0.95	0.031746031746031744	-0.39999999999999997	0.7	0.4126984126984127	0.10000000000000009
myeloid_apc_like	delta_general_inflammatory_tone	0.8	0.19047619047619047	0.75	0.2857142857142857	0.08333333333333334	0.8	0.19047619047619047	0.0
myeloid_apc_like	delta_b_cell_composition	0.8	0.19047619047619047	0.85	0.1111111111111111	-0.2333333333333333	0.8	0.19047619047619047	0.0
myeloid_apc_like	baseline_glucocorticoid_response	0.8	0.19047619047619047	0.6	0.7301587301587301	0.16666666666666669	0.9	0.06349206349206349	-0.09999999999999998
myeloid_apc_like	delta_glucocorticoid_response	0.8	0.19047619047619047	0.65	0.5555555555555556	0.3666666666666667	0.95	0.031746031746031744	-0.1499999999999999
t_cell_like	delta_stat1_axis	1.0	0.015873015873015872	0.95	0.031746031746031744	-0.9166666666666666	0.5	1.0	0.5
t_cell_like	delta_monocyte_myeloid_composition	1.0	0.015873015873015872	0.8	0.19047619047619047	-0.7	0.6	0.7301587301587301	0.4
t_cell_like	delta_ifn_suppression_inverse_isg	1.0	0.015873015873015872	0.9	0.06349206349206349	-0.7999999999999999	0.7	0.4126984126984127	0.30000000000000004
t_cell_like	delta_glycolysis	1.0	0.015873015873015872	0.95	0.031746031746031744	-0.8833333333333333	0.7	0.4126984126984127	0.30000000000000004
t_cell_like	delta_t_cell_composition	1.0	0.015873015873015872	0.9	0.06349206349206349	-0.7666666666666667	0.7	0.4126984126984127	0.30000000000000004
t_cell_like	delta_b_cell_composition	1.0	0.015873015873015872	0.85	0.1111111111111111	-0.5166666666666667	0.8	0.19047619047619047	0.19999999999999996
t_cell_like	delta_general_inflammatory_tone	1.0	0.015873015873015872	0.75	0.2857142857142857	-0.48333333333333334	0.9	0.06349206349206349	0.09999999999999998
t_cell_like	baseline_glucocorticoid_response	1.0	0.015873015873015872	0.6	0.7301587301587301	0.2333333333333333	1.0	0.015873015873015872	0.0
t_cell_like	delta_glucocorticoid_response	1.0	0.015873015873015872	0.65	0.5555555555555556	-0.2333333333333333	1.0	0.015873015873015872	0.0
