module_feature	raw_auc_high_in_responders	oriented_auc	same_or_better_permutations	total_permutations	exact_p	mean_responders	mean_nonresponders	direction_in_responders	rank
delta_IFN_APC	0.05	0.95	4	126	0.031746031746031744	-0.9066123745866488	0.8120652359205635	lower	1
delta_glycolysis	0.05	0.95	4	126	0.031746031746031744	-0.13876402753761785	0.9785844004210731	lower	2
delta_stat1_axis	0.05	0.95	4	126	0.031746031746031744	-0.8541648323864134	0.9145459627369161	lower	3
locked_signed_score	0.95	0.95	4	126	0.031746031746031744	0.9066123745866488	-0.8120652359205635	higher	4
delta_ifn_suppression_inverse_isg	0.1	0.9	8	126	0.06349206349206349	-0.7656557238432183	0.3293544038152606	lower	5
delta_t_cell_composition	0.1	0.9	8	126	0.06349206349206349	-0.928698608571002	0.7145668122541377	lower	6
delta_b_cell_composition	0.15	0.85	14	126	0.1111111111111111	-1.0796066019627453	0.29682855214306775	lower	7
delta_HLAII	0.2	0.8	24	126	0.19047619047619047	-0.9249958186404058	0.5184905822653496	lower	8
baseline_monocyte_myeloid_composition	0.2	0.8	24	126	0.19047619047619047	-0.21062768198246556	0.17928192494701786	lower	9
delta_monocyte_myeloid_composition	0.2	0.8	24	126	0.19047619047619047	-0.31252969578326545	0.5586674747912099	lower	10
delta_immunometabolism_hif_nampt	0.25	0.75	36	126	0.2857142857142857	-0.12217134080523669	0.9167118767573927	lower	11
delta_general_inflammatory_tone	0.25	0.75	36	126	0.2857142857142857	0.04644659265366617	0.5938122507107418	lower	12
delta_glucocorticoid_response	0.35	0.65	70	126	0.5555555555555556	-0.1262777991253935	0.30854284471880983	lower	13
baseline_general_inflammatory_tone	0.35	0.65	70	126	0.5555555555555556	-0.2568868776824396	-0.004826648660862742	lower	14
baseline_IFN_APC	0.4	0.6	92	126	0.7301587301587301	0.13926625604581103	-0.013482703900889799	lower	15
baseline_HLAII	0.4	0.6	92	126	0.7301587301587301	0.18104065679256268	0.09257627452687534	lower	16
baseline_glycolysis	0.6	0.6	92	126	0.7301587301587301	-0.007453522145796832	-0.3932477803172793	higher	17
baseline_oxphos	0.6	0.6	92	126	0.7301587301587301	-0.1133179696030587	-0.37512140805116173	higher	18
baseline_immunometabolism_hif_nampt	0.6	0.6	92	126	0.7301587301587301	-0.11191754645421599	-0.24210191730765354	higher	19
baseline_glucocorticoid_response	0.6	0.6	92	126	0.7301587301587301	0.12130277116695373	-0.2269762618647263	higher	20
baseline_stat1_axis	0.4	0.6	92	126	0.7301587301587301	-0.00026637214998306293	0.07691300406052957	lower	21
baseline_t_cell_composition	0.6	0.6	92	126	0.7301587301587301	0.2686957469152455	-0.11271645941424965	higher	22
baseline_apc_hla_level	0.6	0.6	92	126	0.7301587301587301	-0.13926625604581103	0.013482703900889799	higher	23
delta_oxphos	0.55	0.55	114	126	0.9047619047619048	0.5278564769975244	0.37371714386306454	higher	24
baseline_proliferation	0.55	0.55	114	126	0.9047619047619048	0.35976126535083086	-0.11527771327441859	higher	25
delta_proliferation	0.55	0.55	114	126	0.9047619047619048	-0.3987558365495572	-0.17040294114129365	higher	26
baseline_b_cell_composition	0.55	0.55	114	126	0.9047619047619048	0.4189082841402514	0.0027044949798678657	higher	27
baseline_ifn_suppression_inverse_isg	0.5	0.5	126	126	1.0	0.3283684517712172	-0.09660293921964033	higher	28
