confounder	confounder_auc	spearman_with_locked	adjusted_auc	adjusted_hedges_g	adjusted_auc_ci_low	adjusted_auc_ci_high	adjusted_permutation_p	auc_attenuation	verdict
baseline_apc_hla_level	0.47444444444444445	-0.300805779383162	1.0	9.47806473633311	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_glycolysis	0.5344444444444445	0.06951931091969993	1.0	6.963849344202968	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_glycolysis	0.3411111111111111	-0.25762711864406784	1.0	4.465612509818941	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_oxphos	0.4311111111111111	-0.06340650180605725	1.0	6.054155830283991	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_oxphos	0.6	0.08524590163934428	1.0	5.865775137931617	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_immunometabolism_hif_nampt	0.4922222222222222	-0.007335370936371215	1.0	6.952277280090921	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_immunometabolism_hif_nampt	0.51	-0.027340928035565436	1.0	6.9715732445821414	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_glucocorticoid_response	0.49	-0.07529869408168938	1.0	6.985478433493152	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_glucocorticoid_response	0.45555555555555555	-0.12631286468463465	1.0	6.786581781831389	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_general_inflammatory_tone	0.4888888888888889	0.0853570436232287	1.0	7.009241719362194	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_general_inflammatory_tone	0.45	-0.19922200611280916	1.0	6.611219965986465	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_ifn_suppression_inverse_isg	0.4766666666666667	0.015948874687413173	1.0	7.090239560335424	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_ifn_suppression_inverse_isg	0.34555555555555556	-0.21322589608224513	1.0	4.862916799792963	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_stat1_axis	0.6366666666666667	0.305362600722423	1.0	5.860752332622757	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_stat1_axis	0.06333333333333334	-0.7389274798555155	0.8788888888888889	1.6501011890774964	0.785056131827731	0.9499457730812013	9.999000099990002e-05	0.12111111111111106	ATTENUATES
baseline_proliferation	0.46	0.05095859961100307	1.0	6.753575756724582	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_proliferation	0.4955555555555556	-0.011280911364267855	1.0	6.9395304725358535	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_monocyte_myeloid_composition	0.5733333333333334	0.17860516810225066	1.0	6.4151793277316	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_monocyte_myeloid_composition	0.41888888888888887	-0.09608224506807449	1.0	6.589365341301399	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_t_cell_composition	0.47333333333333333	-0.04551264240066686	1.0	6.893732729613478	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_t_cell_composition	0.6022222222222222	0.07857738260627953	1.0	6.492516970398165	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
baseline_b_cell_composition	0.37555555555555553	-0.26051681022506257	1.0	5.559364403490805	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
delta_b_cell_composition	0.43222222222222223	-0.11080855793275912	1.0	6.057961819548911	1.0	1.0	9.999000099990002e-05	0.0	SURVIVES
