truth	scenario	severity	replicate	seed	feature	metadata_auc	spearman_with_locked	residualized_auc	auc_attenuation	response_p	corr_p	existing_effect_flag	response_q	corr_q	calibrated_q10_flag	calibrated_q20_flag
planted	batch_only	0.0	0	48245	batch	0.55	0.13191993398957663	0.7555555555555555	0.004444444444444473	0.4838709677419355	0.22580645161290322	False	0.6048387096774194	0.4516129032258064	False	False
planted	batch_only	0.0	0	48245	lane	0.5	0.21412563981014032	0.7722222222222223	-0.012222222222222245	1.0	0.1935483870967742	False	1.0	0.4516129032258064	False	False
planted	batch_only	0.0	0	48245	sequencing_depth	0.6355555555555555	0.12453459294248406	0.7544444444444445	0.005555555555555536	0.0967741935483871	0.45161290322580644	True	0.43010752688172044	0.6048387096774194	False	False
planted	batch_only	0.0	0	48245	rin	0.51	0.1842178382884135	0.7677777777777778	-0.007777777777777772	0.9032258064516129	0.2903225806451613	False	1.0	0.4838709677419355	False	False
planted	batch_only	0.0	0	48245	steroid_exposure	0.6322222222222222	0.2844123367602112	0.7488888888888889	0.011111111111111072	0.12903225806451613	0.03225806451612903	True	0.43010752688172044	0.3225806451612903	False	False
planted	batch_only	0.0	1	48246	batch	0.6166666666666667	0.1688541662164614	0.7277777777777777	0.022222222222222254	0.16129032258064516	0.16129032258064516	True	0.3763440860215053	0.3763440860215053	False	False
planted	batch_only	0.0	1	48246	lane	0.6	-0.3884217699052234	0.7088888888888889	0.0411111111111111	0.22580645161290322	0.06451612903225806	True	0.3763440860215053	0.3763440860215053	False	False
planted	batch_only	0.0	1	48246	sequencing_depth	0.6133333333333333	0.1188107807724368	0.7477777777777778	0.0022222222222222365	0.0967741935483871	0.22580645161290322	True	0.3763440860215053	0.3763440860215053	False	False
planted	batch_only	0.0	1	48246	rin	0.5344444444444445	-0.011280911364267855	0.7555555555555555	-0.005555555555555536	0.6129032258064516	0.8709677419354839	False	0.6810035842293907	0.8709677419354838	False	False
planted	batch_only	0.0	1	48246	steroid_exposure	0.5411111111111111	0.0755209780494582	0.75	0.0	0.6129032258064516	0.3870967741935484	False	0.6810035842293907	0.5529953917050692	False	False
planted	batch_only	0.0	2	48247	batch	0.5333333333333333	0.06365897399760928	0.6933333333333334	0.0033333333333332993	0.8064516129032258	0.7741935483870968	False	0.8064516129032258	0.8064516129032258	False	False
planted	batch_only	0.0	2	48247	lane	0.5833333333333333	-0.2466442711319033	0.6855555555555556	0.011111111111111072	0.3225806451612903	0.0967741935483871	False	0.5069124423963134	0.5069124423963134	False	False
planted	batch_only	0.0	2	48247	sequencing_depth	0.59	-0.11380939149763826	0.7111111111111111	-0.014444444444444482	0.22580645161290322	0.3225806451612903	False	0.5069124423963134	0.5069124423963134	False	False
planted	batch_only	0.0	2	48247	rin	0.5555555555555556	0.05257015837732705	0.7088888888888889	-0.012222222222222245	0.22580645161290322	0.7419354838709677	False	0.5069124423963134	0.8064516129032258	False	False
planted	batch_only	0.0	2	48247	steroid_exposure	0.6011111111111112	-0.1338705195887747	0.6966666666666667	0.0	0.12903225806451613	0.3548387096774194	True	0.5069124423963134	0.5069124423963134	False	False
planted	batch_only	0.0	3	48248	batch	0.5333333333333333	-0.1041692301779061	0.8577777777777778	-0.004444444444444362	0.9032258064516129	0.3225806451612903	False	0.9032258064516128	0.9032258064516128	False	False
planted	batch_only	0.0	3	48248	lane	0.5166666666666667	0.11458738791795342	0.8544444444444445	-0.0011111111111110628	0.8064516129032258	0.45161290322580644	False	0.9032258064516128	0.9032258064516128	False	False
planted	batch_only	0.0	3	48248	sequencing_depth	0.5355555555555556	-0.0377882745207002	0.8566666666666667	-0.0033333333333332993	0.8064516129032258	0.6774193548387096	False	0.9032258064516128	0.9032258064516128	False	False
planted	batch_only	0.0	3	48248	rin	0.5611111111111111	0.18210614059460964	0.8488888888888889	0.004444444444444473	0.41935483870967744	0.12903225806451613	False	0.9032258064516128	0.9032258064516128	False	False
planted	batch_only	0.0	3	48248	steroid_exposure	0.5133333333333333	0.05646012781328148	0.8511111111111112	0.0022222222222222365	0.8709677419354839	0.5806451612903226	False	0.9032258064516128	0.9032258064516128	False	False
planted	batch_only	0.0	4	48249	batch	0.5833333333333334	-0.10736280037506378	0.8711111111111111	-0.005555555555555536	0.25806451612903225	0.4838709677419355	False	0.8602150537634409	1.0	False	False
planted	batch_only	0.0	4	48249	lane	0.5166666666666666	0.0009760356428697191	0.86	0.005555555555555536	1.0	1.0	False	1.0	1.0	False	False
planted	batch_only	0.0	4	48249	sequencing_depth	0.6288888888888889	0.07568769102528482	0.8588888888888889	0.006666666666666599	0.06451612903225806	0.7096774193548387	True	0.6451612903225806	1.0	False	False
