artifact	role
docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md	top_level_handoff_readme
docs/validation/CLINICAL_DATA_DICTIONARY_CRF_V45.md	clinical_data_checklist
docs/validation/input_schemas/V45_clinical_crf_checklist.tsv	machine_readable_crf_checklist
docs/validation/DATA_USE_TERMS_CAPTURE_V45.md	data_use_terms_instructions
docs/validation/input_schemas/V45_data_use_terms_capture_template.tsv	data_use_terms_template
docs/validation/LIVE_COHORT_ACQUISITION_PACKET_INDEX_V45.md	active_cohort_acquisition_index
docs/validation/OUTBOUND_DATA_REQUEST_TRACKER_V45.md	outbound_request_tracker
docs/validation/outbound_requests/gafson_dmf_ready_to_send_V45.md	gafson_request_packet
docs/validation/outbound_requests/karolinska_dmf_ready_to_send_V45.md	karolinska_request_packet
docs/validation/outbound_requests/gse228330_ocrelizumab_ready_to_send_V45.md	gse228330_optional_request_packet
docs/validation/VALIDATION_INTAKE_PREFLIGHT_V45.md	intake_preflight_commands
docs/validation/VALIDATION_HARNESS_README_V45.md	frozen_harness_commands
docs/validation/SUBJECT_MAP_SANITY_CHECKER_V45.md	subject_map_guard
docs/validation/RESPONSE_COLUMN_AUDIT_V45.md	response_column_guard
docs/validation/CHECKSUM_MANIFEST_VALIDATOR_V45.md	checksum_manifest_guard
