entity	modality_source_family_collapsed_no_reports_recurrence
apc_hla_ifn_monitoring	15
apc_axis	12
ifn_apc	10
hla_ii_apc	10
coupled_apc_axis	9
mif_cd74_receptor_state	8
lysosomal_apc	6
mixscale_validated_ifng_readout	5
complement_lipid_axis	4
metabolic_sterol	4
hla_ii_apc__mif_cd74_receptor_state	4
lipid_loader_repair	3
ifn_apc__mixscale_validated_ifng_readout	3
ifn_apc__mif_cd74_receptor_state	3
ifn_apc__lysosomal_apc	3
hla_ii_apc__mixscale_validated_ifng_readout	2
hla_ii_apc__ifn_apc	2
tb_readable_compartment	2
layer_transfer_map	2
lipid_loader_repair__lysosomal_apc	2
genetic_backdrop_ms_uc	2
lysosomal_apc__mixscale_validated_ifng_readout	2
hla_ii_apc__lysosomal_apc	2
mif_cd74_receptor_state__mixscale_validated_ifng_readout	2
ms_uc_genetic_backdrop	1
rel_pus10_usp34	1
postpartum_apc_split	1
complement_phagocytosis	1
cell_composition	1
chr1_kif21b_gpr25	1
glucocorticoid_steroid	1
hif_nampt_metabolic	1
zfp36l1	1
