entity	source_file_weighted_recurrence_no_reports
apc_hla_ifn_monitoring	12.026666666666667
apc_axis	7.266666666666667
ifn_apc	4.006666666666667
hla_ii_apc	3.966666666666667
coupled_apc_axis	3.86
metabolic_sterol	3.1739130434782608
mif_cd74_receptor_state	2.86
mixscale_validated_ifng_readout	2.36
lysosomal_apc	2.36
complement_lipid_axis	2.08
tb_readable_compartment	1.5869565217391304
genetic_backdrop_ms_uc	1.2
layer_transfer_map	1.2
lipid_loader_repair	1.08
complement_phagocytosis	1.0
hif_nampt_metabolic	1.0
cell_composition	0.7608695652173914
glucocorticoid_steroid	0.5869565217391304
ms_uc_genetic_backdrop	0.3333333333333333
rel_pus10_usp34	0.2
postpartum_apc_split	0.2
zfp36l1	0.2
chr1_kif21b_gpr25	0.2
hla_ii_apc__mif_cd74_receptor_state	0.16
ifn_apc__mixscale_validated_ifng_readout	0.12
ifn_apc__mif_cd74_receptor_state	0.12
ifn_apc__lysosomal_apc	0.12
lipid_loader_repair__lysosomal_apc	0.08
lysosomal_apc__mixscale_validated_ifng_readout	0.08
mif_cd74_receptor_state__mixscale_validated_ifng_readout	0.08
hla_ii_apc__mixscale_validated_ifng_readout	0.08
hla_ii_apc__lysosomal_apc	0.08
hla_ii_apc__ifn_apc	0.08
