artifact_type	geo_accession	sample_id	url	target_path	required_for
series_supplementary	GSE228330		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228330/suppl/GSE228330_Clariom_S_Human.hg38.main.probes.tab.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSE228330_Clariom_S_Human.hg38.main.probes.tab.gz	expression_or_raw_reprocessing
series_supplementary	GSE228330		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228330/suppl/GSE228330_RAW.tar	data/quarantine/gse228330_pharmacodynamic/raw/GSE228330_RAW.tar	expression_or_raw_reprocessing
sample_raw_cel	GSE228330	GSM7119001	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119001/suppl/GSM7119001_O1_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119001_O1_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119001	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119001/suppl/GSM7119001_O1_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119001_O1_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119002	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119002/suppl/GSM7119002_O4_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119002_O4_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119002	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119002/suppl/GSM7119002_O4_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119002_O4_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119003	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119003/suppl/GSM7119003_R47_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119003_R47_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119003	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119003/suppl/GSM7119003_R47_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119003_R47_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119004	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119004/suppl/GSM7119004_O10_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119004_O10_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119004	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119004/suppl/GSM7119004_O10_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119004_O10_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119005	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119005/suppl/GSM7119005_O14_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119005_O14_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119005	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119005/suppl/GSM7119005_O14_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119005_O14_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119006	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119006/suppl/GSM7119006_O17_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119006_O17_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119006	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119006/suppl/GSM7119006_O17_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119006_O17_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119007	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119007/suppl/GSM7119007_O20_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119007_O20_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
