artifact	status	latest_source_mtime	oldest_output_mtime	missing_sources	missing_outputs	sources	outputs	refresh_command
collaborator_path_resolver	FRESH	1781301462.4232218	1781301546.074898			docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/AUTHOR_RUN_PACKET_BUNDLE_INDEX_V45.md;analysis/v45_collaborator_package/collaborator_package_manifest.tsv;analysis/v45_author_run_packet_bundle/author_run_packet_bundle_index.tsv;scripts/v45_collaborator_package_path_resolver.py	analysis/v45_collaborator_path_resolver/live_sources/collaborator_package_path_resolution_summary.json;analysis/v45_collaborator_path_resolver/live_sources/collaborator_package_path_resolution.tsv	.venv/bin/python scripts/v45_collaborator_package_path_resolver.py synthetic-check --outdir analysis/v45_collaborator_path_resolver
followup_due_board	FRESH	1781293725.2697198	1781293733.1487887			analysis/v45_outbound_data_requests/request_tracker.tsv;docs/validation/input_schemas/V45_request_sent_log_template.tsv;scripts/v45_followup_due_board.py	analysis/v45_followup_due_board/live_template/followup_due_board_summary.json;analysis/v45_followup_due_board/live_template/followup_due_board.tsv	.venv/bin/python scripts/v45_followup_due_board.py --outdir analysis/v45_followup_due_board/live_template
external_blocker_board	FRESH	1781294111.7175055	1781294119.201089			analysis/v45_live_cohort_acquisition_index/live_cohort_acquisition_index.tsv;analysis/v45_outbound_data_requests/request_tracker.tsv;analysis/v45_received_data_triage/received_data_triage_status.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;scripts/v45_external_blocker_board.py	analysis/v45_external_blocker_board/external_blocker_board_summary.json;analysis/v45_external_blocker_board/external_blocker_board.tsv	.venv/bin/python scripts/v45_external_blocker_board.py --outdir analysis/v45_external_blocker_board
external_blocker_escalation_matrix	FRESH	1781301577.976505	1781301595.2634056			analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;scripts/v45_external_blocker_escalation_matrix.py	analysis/v45_external_blocker_escalation_matrix/external_blocker_escalation_summary.json;analysis/v45_external_blocker_escalation_matrix/external_blocker_escalation_matrix.tsv	.venv/bin/python scripts/v45_external_blocker_escalation_matrix.py --outdir analysis/v45_external_blocker_escalation_matrix
followup_escalation_packets	FRESH	1781301595.2634056	1781301613.7709777			analysis/v45_followup_due_board/live_template/followup_due_board.tsv;analysis/v45_external_blocker_escalation_matrix/external_blocker_escalation_matrix.tsv;scripts/v45_followup_escalation_packet_generator.py	analysis/v45_followup_escalation_packets/live/followup_escalation_packet_summary.json;analysis/v45_followup_escalation_packets/live/followup_escalation_packet_index.tsv	.venv/bin/python scripts/v45_followup_escalation_packet_generator.py --outdir analysis/v45_followup_escalation_packets/live
outbound_request_packet_integrity	FRESH	1781298268.394806	1781298275.3415484			analysis/v45_external_blocker_board/external_blocker_board.tsv;scripts/v45_outbound_request_packet_integrity.py;docs/validation/outbound_requests/author_run_fallback_ready_to_send_V45.md;docs/validation/outbound_requests/gafson_dmf_ready_to_send_V45.md;docs/validation/outbound_requests/gse228330_ocrelizumab_ready_to_send_V45.md;docs/validation/outbound_requests/karolinska_dmf_ready_to_send_V45.md	analysis/v45_outbound_request_packet_integrity/live/outbound_request_packet_integrity_summary.json;analysis/v45_outbound_request_packet_integrity/live/outbound_request_packet_manifest.tsv;analysis/v45_outbound_request_packet_integrity/live/outbound_request_packet_issues.tsv	.venv/bin/python scripts/v45_outbound_request_packet_integrity.py --outdir analysis/v45_outbound_request_packet_integrity/live --expect-status PASS
followup_message_templates	FRESH	1781294763.1722953	1781294824.1116948			analysis/v45_followup_due_board/live_template/followup_due_board.tsv;scripts/v45_followup_message_template_generator.py	analysis/v45_followup_message_templates/live_template/followup_message_template_summary.json;analysis/v45_followup_message_templates/live_template/followup_message_template_index.tsv	.venv/bin/python scripts/v45_followup_message_template_generator.py --board analysis/v45_followup_due_board/live_template/followup_due_board.tsv --outdir analysis/v45_followup_message_templates/live_template
send_log_intake_template	FRESH	1781301577.976505	1781301595.2463953			analysis/v45_current_action_card/current_action_card.tsv;scripts/v45_send_log_intake_template.py	analysis/v45_send_log_intake_template/send_log_intake_template_summary.json;analysis/v45_send_log_intake_template/send_log_intake_template.tsv;analysis/v45_send_log_intake_template/request_sent_updater_dryrun/request_sent_update_summary.json	.venv/bin/python scripts/v45_send_log_intake_template.py --outdir analysis/v45_send_log_intake_template && .venv/bin/python scripts/v45_request_sent_updater.py --sent-log analysis/v45_send_log_intake_template/send_log_intake_template.tsv --outdir analysis/v45_send_log_intake_template/request_sent_updater_dryrun
route_arrival_packets	FRESH	1781294551.1635017	1781294557.3575554			analysis/v45_live_cohort_acquisition_index/live_cohort_acquisition_index.tsv;analysis/v45_outbound_data_requests/request_tracker.tsv;scripts/v45_route_arrival_packet_generator.py	analysis/v45_route_arrival_packets/route_arrival_packet_summary.json;analysis/v45_route_arrival_packets/route_arrival_packet_index.tsv	.venv/bin/python scripts/v45_route_arrival_packet_generator.py --outdir analysis/v45_route_arrival_packets
route_packet_integrity_manifest	FRESH	1781295973.903666	1781296804.6920896			analysis/v45_route_arrival_packets/route_arrival_packet_summary.json;analysis/v45_route_arrival_packets/route_arrival_packet_index.tsv;scripts/v45_route_packet_integrity_manifest.py	analysis/v45_route_packet_integrity_manifest/live/route_packet_integrity_summary.json;analysis/v45_route_packet_integrity_manifest/live/route_packet_integrity_manifest.tsv	.venv/bin/python scripts/v45_route_packet_integrity_manifest.py --outdir analysis/v45_route_packet_integrity_manifest/live --expect-status PASS
