case	row_number	check	status	detail
unknown_score_like_filename_stops_at_schema		required_columns_present	PASS	all required columns present
unknown_score_like_filename_stops_at_schema		no_extra_columns	PASS	no extra columns
unknown_score_like_filename_stops_at_schema		has_at_least_one_row	PASS	5
unknown_score_like_filename_stops_at_schema	1	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
unknown_score_like_filename_stops_at_schema	1	sensitivity_class_safe	PASS	derived_non_sensitive_summary
unknown_score_like_filename_stops_at_schema	1	commit_allowed_safe	PASS	yes
unknown_score_like_filename_stops_at_schema	1	bytes_present_or_unknown	PASS	123
unknown_score_like_filename_stops_at_schema	1	sha_recorded_or_not_recordable	PASS	synthetic
unknown_score_like_filename_stops_at_schema	2	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
unknown_score_like_filename_stops_at_schema	2	sensitivity_class_safe	PASS	derived_non_sensitive_summary
unknown_score_like_filename_stops_at_schema	2	commit_allowed_safe	PASS	yes
unknown_score_like_filename_stops_at_schema	2	bytes_present_or_unknown	PASS	123
unknown_score_like_filename_stops_at_schema	2	sha_recorded_or_not_recordable	PASS	synthetic
unknown_score_like_filename_stops_at_schema	3	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
unknown_score_like_filename_stops_at_schema	3	sensitivity_class_safe	PASS	derived_non_sensitive_summary
unknown_score_like_filename_stops_at_schema	3	commit_allowed_safe	PASS	yes
unknown_score_like_filename_stops_at_schema	3	bytes_present_or_unknown	PASS	123
unknown_score_like_filename_stops_at_schema	3	sha_recorded_or_not_recordable	PASS	synthetic
unknown_score_like_filename_stops_at_schema	4	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
unknown_score_like_filename_stops_at_schema	4	sensitivity_class_safe	PASS	derived_non_sensitive_summary
unknown_score_like_filename_stops_at_schema	4	commit_allowed_safe	PASS	yes
unknown_score_like_filename_stops_at_schema	4	bytes_present_or_unknown	PASS	123
unknown_score_like_filename_stops_at_schema	4	sha_recorded_or_not_recordable	PASS	synthetic
unknown_score_like_filename_stops_at_schema	5	path_is_relative_non_sensitive_aggregate	FAIL	unexpected_filename:primary_metrics_table.tsv
unknown_score_like_filename_stops_at_schema	5	sensitivity_class_safe	PASS	derived_non_sensitive_summary
unknown_score_like_filename_stops_at_schema	5	commit_allowed_safe	PASS	yes
unknown_score_like_filename_stops_at_schema	5	bytes_present_or_unknown	PASS	123
unknown_score_like_filename_stops_at_schema	5	sha_recorded_or_not_recordable	PASS	synthetic
