report	check	status	detail	field	score_values_read
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	required_field:cohort_token	PASS	synthetic_gafson_return_20260613	cohort_token	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	required_field:route_class	PASS	SCORED_AGGREGATE_CANONICAL_PATH	route_class	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	required_field:terms_class	PASS	AGGREGATE_ONLY_LOCAL_PREFLIGHT	terms_class	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	required_field:safe_class	PASS	UNREGISTERED_SAFE_CLASS	safe_class	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	required_field:locked_rule_path	PASS	docs/locked_rules/LOCKED_RULE_V22.md	locked_rule_path	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	required_field:locked_rule_sha256	PASS	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a	locked_rule_sha256	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	cohort_token_format	PASS	synthetic_gafson_return_20260613	cohort_token	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	route_class_known	PASS	SCORED_AGGREGATE_CANONICAL_PATH	route_class	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	terms_class_known	PASS	AGGREGATE_ONLY_LOCAL_PREFLIGHT	terms_class	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	safe_class_known	FAIL	UNREGISTERED_SAFE_CLASS	safe_class	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	locked_rule_path_exact	PASS	docs/locked_rules/LOCKED_RULE_V22.md	locked_rule_path	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	locked_rule_hash_matches_v45_baseline	PASS	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a	locked_rule_sha256	false
analysis/v46_report_header_metadata_linter/fixtures/unknown_safe_class.md	metadata_before_result_text	PASS	first_result_line=15	all_required_fields	false
