scope	item	check	status	detail	score_values_read
handoff	current_action_card	handoff_doc_exists	PASS	docs/validation/CURRENT_ACTION_CARD_V45.md	false
handoff	current_action_card	handoff_primary_output_exists	PASS	docs/validation/CURRENT_ACTION_CARD_V45.md	false
handoff	current_action_card	handoff_script_exists	PASS	docs/validation/CURRENT_ACTION_CARD_V45.md	false
handoff	current_action_card	handoff_score_values_read_false	PASS	docs/validation/CURRENT_ACTION_CARD_V45.md	false
handoff	cold_start_operator_sequence	handoff_doc_exists	PASS	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	false
handoff	cold_start_operator_sequence	handoff_primary_output_exists	PASS	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	false
handoff	cold_start_operator_sequence	handoff_script_exists	PASS	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	false
handoff	cold_start_operator_sequence	handoff_score_values_read_false	PASS	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	false
handoff	receipt_manifest_schema_linter	handoff_doc_exists	PASS	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	false
handoff	receipt_manifest_schema_linter	handoff_primary_output_exists	PASS	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	false
handoff	receipt_manifest_schema_linter	handoff_script_exists	PASS	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	false
handoff	receipt_manifest_schema_linter	handoff_score_values_read_false	PASS	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	false
handoff	package_manifest_shape_classifier	handoff_doc_exists	PASS	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	false
handoff	package_manifest_shape_classifier	handoff_primary_output_exists	PASS	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	false
handoff	package_manifest_shape_classifier	handoff_script_exists	PASS	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	false
handoff	package_manifest_shape_classifier	handoff_score_values_read_false	PASS	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	false
handoff	receipt_manifest_to_command_plan_handoff	handoff_doc_exists	PASS	docs/validation/RECEIPT_MANIFEST_TO_COMMAND_PLAN_HANDOFF_V46.md	false
handoff	receipt_manifest_to_command_plan_handoff	handoff_primary_output_exists	PASS	docs/validation/RECEIPT_MANIFEST_TO_COMMAND_PLAN_HANDOFF_V46.md	false
handoff	receipt_manifest_to_command_plan_handoff	handoff_script_exists	PASS	docs/validation/RECEIPT_MANIFEST_TO_COMMAND_PLAN_HANDOFF_V46.md	false
handoff	receipt_manifest_to_command_plan_handoff	handoff_score_values_read_false	PASS	docs/validation/RECEIPT_MANIFEST_TO_COMMAND_PLAN_HANDOFF_V46.md	false
handoff	first30_decision_table	handoff_doc_exists	PASS	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	false
handoff	first30_decision_table	handoff_primary_output_exists	PASS	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	false
handoff	first30_decision_table	handoff_script_exists	PASS	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	false
handoff	first30_decision_table	handoff_score_values_read_false	PASS	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	false
handoff	first30_status_board	handoff_doc_exists	PASS	docs/validation/FIRST30_RETURNED_PACKAGE_STATUS_BOARD_DRYRUN_V46.md	false
