script	check	status	detail	score_values_read
scripts/v46_terms_governance_matrix.py	script_exists	PASS	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_terms_governance_matrix.py	doc_exists	PASS	docs/validation/TERMS_GOVERNANCE_MATRIX_V46.md	false
scripts/v46_terms_governance_matrix.py	doc_mentions_script	PASS	docs/validation/TERMS_GOVERNANCE_MATRIX_V46.md	false
scripts/v46_terms_governance_matrix.py	operator_reference_exists	PASS	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_author_run_metric_format_adapter.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_author_run_metric_format_adapter.py	doc_exists	PASS	docs/validation/AUTHOR_RUN_METRIC_FORMAT_ADAPTER_V46.md	false
scripts/v46_author_run_metric_format_adapter.py	doc_mentions_script	PASS	docs/validation/AUTHOR_RUN_METRIC_FORMAT_ADAPTER_V46.md	false
scripts/v46_author_run_metric_format_adapter.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_partial_label_return_classifier.py	script_exists	PASS	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_partial_label_return_classifier.py	doc_exists	PASS	docs/validation/PARTIAL_LABEL_RETURN_CLASSIFIER_V46.md	false
scripts/v46_partial_label_return_classifier.py	doc_mentions_script	PASS	docs/validation/PARTIAL_LABEL_RETURN_CLASSIFIER_V46.md	false
scripts/v46_partial_label_return_classifier.py	operator_reference_exists	PASS	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_receipt_manifest_schema_linter.py	script_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_receipt_manifest_schema_linter.py	doc_exists	PASS	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	false
scripts/v46_receipt_manifest_schema_linter.py	doc_mentions_script	PASS	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	false
scripts/v46_receipt_manifest_schema_linter.py	operator_reference_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_package_manifest_shape_classifier.py	script_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_package_manifest_shape_classifier.py	doc_exists	PASS	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	false
scripts/v46_package_manifest_shape_classifier.py	doc_mentions_script	PASS	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	false
scripts/v46_package_manifest_shape_classifier.py	operator_reference_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_returned_package_command_order_planner.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_returned_package_command_order_planner.py	doc_exists	PASS	docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md	false
scripts/v46_returned_package_command_order_planner.py	doc_mentions_script	PASS	docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md	false
scripts/v46_returned_package_command_order_planner.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_returned_package_route_state_matrix.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_returned_package_route_state_matrix.py	doc_exists	PASS	docs/validation/RETURNED_PACKAGE_ROUTE_STATE_MATRIX_V46.md	false
scripts/v46_returned_package_route_state_matrix.py	doc_mentions_script	PASS	docs/validation/RETURNED_PACKAGE_ROUTE_STATE_MATRIX_V46.md	false
scripts/v46_returned_package_route_state_matrix.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_aggregate_only_returned_package_composition_dryrun.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_aggregate_only_returned_package_composition_dryrun.py	doc_exists	PASS	docs/validation/AGGREGATE_ONLY_RETURNED_PACKAGE_COMPOSITION_DRYRUN_V46.md	false
scripts/v46_aggregate_only_returned_package_composition_dryrun.py	doc_mentions_script	PASS	docs/validation/AGGREGATE_ONLY_RETURNED_PACKAGE_COMPOSITION_DRYRUN_V46.md	false
scripts/v46_aggregate_only_returned_package_composition_dryrun.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_unscoreable_return_composition_dryrun.py	script_exists	PASS	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_unscoreable_return_composition_dryrun.py	doc_exists	PASS	docs/validation/UNSCOREABLE_RETURN_COMPOSITION_DRYRUN_V46.md	false
scripts/v46_unscoreable_return_composition_dryrun.py	doc_mentions_script	PASS	docs/validation/UNSCOREABLE_RETURN_COMPOSITION_DRYRUN_V46.md	false
scripts/v46_unscoreable_return_composition_dryrun.py	operator_reference_exists	PASS	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_returned_package_safe_interpretation.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_returned_package_safe_interpretation.py	doc_exists	PASS	docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md	false
scripts/v46_returned_package_safe_interpretation.py	doc_mentions_script	PASS	docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md	false
scripts/v46_returned_package_safe_interpretation.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_safe_wording_fixture_linter.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_safe_wording_fixture_linter.py	doc_exists	PASS	docs/validation/SAFE_WORDING_FIXTURE_LINTER_V46.md	false
scripts/v46_safe_wording_fixture_linter.py	doc_mentions_script	PASS	docs/validation/SAFE_WORDING_FIXTURE_LINTER_V46.md	false
scripts/v46_safe_wording_fixture_linter.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_result_report_safe_class_linter.py	script_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_result_report_safe_class_linter.py	doc_exists	PASS	docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md	false
scripts/v46_result_report_safe_class_linter.py	doc_mentions_script	PASS	docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md	false
scripts/v46_result_report_safe_class_linter.py	operator_reference_exists	PASS	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_small_n_conclusion_language_table.py	script_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_small_n_conclusion_language_table.py	doc_exists	PASS	docs/validation/SMALL_N_CONCLUSION_LANGUAGE_V46.md	false
scripts/v46_small_n_conclusion_language_table.py	doc_mentions_script	PASS	docs/validation/SMALL_N_CONCLUSION_LANGUAGE_V46.md	false
scripts/v46_small_n_conclusion_language_table.py	operator_reference_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_analyzable_pair_confidence_envelope.py	script_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false
scripts/v46_analyzable_pair_confidence_envelope.py	doc_exists	PASS	docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md	false
scripts/v46_analyzable_pair_confidence_envelope.py	doc_mentions_script	PASS	docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md	false
