from_state	to_state	allowed	score_values_read
COMPLETENESS_BLOCK	REPAIR_REQUEST_READY	true	false
COMPLETENESS_PASS	SCHEMA_BLOCK	true	false
COMPLETENESS_PASS	SCHEMA_PASS	true	false
FORMAT_CANONICAL	COMPLETENESS_BLOCK	true	false
FORMAT_CANONICAL	COMPLETENESS_PASS	true	false
FORMAT_NONCANONICAL	FORMAT_NORMALIZED	true	false
FORMAT_NORMALIZED	COMPLETENESS_BLOCK	true	false
FORMAT_NORMALIZED	COMPLETENESS_PASS	true	false
FORMAT_UNKNOWN	FORMAT_NORMALIZED	true	false
LABELS_BLOCKED	SAFE_CLASS_BLOCKED	true	false
LABELS_CLASSIFIED	SAFE_CLASS_ASSIGNED	true	false
LABELS_CLASSIFIED	SAFE_CLASS_BLOCKED	true	false
RECEIVED	TERMS_ALLOWED	true	false
RECEIVED	TERMS_BLOCKED	true	false
SAFE_CLASS_ASSIGNED	REPORT_READY	true	false
SAFE_CLASS_ASSIGNED	REPORT_READY_WITH_CAUTION	true	false
SAFE_CLASS_BLOCKED	REPAIR_REQUEST_READY	true	false
SAFE_CLASS_BLOCKED	RESTRICTED_LANGUAGE_READY	true	false
SCHEMA_BLOCK	REPAIR_REQUEST_READY	true	false
SCHEMA_PASS	LABELS_BLOCKED	true	false
SCHEMA_PASS	LABELS_CLASSIFIED	true	false
TERMS_ALLOWED	FORMAT_CANONICAL	true	false
TERMS_ALLOWED	FORMAT_NONCANONICAL	true	false
TERMS_ALLOWED	FORMAT_UNKNOWN	true	false
TERMS_BLOCKED	REPAIR_REQUEST_READY	true	false
