example_id	check	status	detail	score_values_read
aggregate_only_no_labels	safe_class_known	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_no_labels	language_band_known	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_no_labels	confidence_band_known	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_no_labels	partial_case_known	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_no_labels	skeleton_exists	PASS	analysis/v46_safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	false
aggregate_only_no_labels	card_has_boundary	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_no_labels	score_values_read_false	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_no_labels	no_forbidden_result_text	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
aggregate_only_below_floor	safe_class_known	PASS	BELOW_V45_PLANNING_FLOOR	false
aggregate_only_below_floor	language_band_known	PASS	BELOW_V45_PLANNING_FLOOR	false
aggregate_only_below_floor	confidence_band_known	PASS	BELOW_V45_PLANNING_FLOOR	false
aggregate_only_below_floor	partial_case_known	PASS	BELOW_V45_PLANNING_FLOOR	false
aggregate_only_below_floor	skeleton_exists	PASS	analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	false
aggregate_only_below_floor	card_has_boundary	PASS	BELOW_V45_PLANNING_FLOOR	false
aggregate_only_below_floor	score_values_read_false	PASS	BELOW_V45_PLANNING_FLOOR	false
aggregate_only_below_floor	no_forbidden_result_text	PASS	BELOW_V45_PLANNING_FLOOR	false
partial_labels_effect_size_only	safe_class_known	PASS	INCONCLUSIVE_SMALL_COHORT	false
partial_labels_effect_size_only	language_band_known	PASS	INCONCLUSIVE_SMALL_COHORT	false
partial_labels_effect_size_only	confidence_band_known	PASS	INCONCLUSIVE_SMALL_COHORT	false
partial_labels_effect_size_only	partial_case_known	PASS	INCONCLUSIVE_SMALL_COHORT	false
partial_labels_effect_size_only	skeleton_exists	PASS	analysis/v46_safe_class_report_template_readiness/fixtures/inconclusive_small_cohort.md	false
partial_labels_effect_size_only	card_has_boundary	PASS	INCONCLUSIVE_SMALL_COHORT	false
partial_labels_effect_size_only	score_values_read_false	PASS	INCONCLUSIVE_SMALL_COHORT	false
partial_labels_effect_size_only	no_forbidden_result_text	PASS	INCONCLUSIVE_SMALL_COHORT	false
