result_class	fixture	source_summary	score_language_allowed	expected_fixture_status
BELOW_V45_PLANNING_FLOOR	analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	analysis/v46_returned_package_safe_interpretation/below_floor/safe_interpretation_summary.json	false	PASS
BLOCKED_COMPLETENESS	analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	analysis/v46_returned_package_safe_interpretation/completeness_block/safe_interpretation_summary.json	false	PASS
BLOCKED_METADATA_CONTRADICTION	analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	analysis/v46_returned_package_safe_interpretation/metadata_contradiction/safe_interpretation_summary.json	false	PASS
BLOCKED_REDACTION	analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	analysis/v46_returned_package_safe_interpretation/redaction_block/safe_interpretation_summary.json	false	PASS
BLOCKED_SCHEMA	analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	analysis/v46_returned_package_safe_interpretation/schema_block/safe_interpretation_summary.json	false	PASS
BLOCKED_TERMS_OR_RECEIPT_GATES	analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	analysis/v46_returned_package_safe_interpretation/terms_block/safe_interpretation_summary.json	false	PASS
CAUTION_BATCH_OR_CONFOUNDER	analysis/v46_safe_wording_fixture_linter/fixtures/caution_batch_or_confounder.md	analysis/v46_returned_package_safe_interpretation/batch_confounder_warning/safe_interpretation_summary.json	true	PASS
CONTEXT_ONLY_OR_LABELS_NEEDED	analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	analysis/v46_returned_package_safe_interpretation/context_only/safe_interpretation_summary.json	false	PASS
ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	analysis/v46_safe_wording_fixture_linter/fixtures/eligible_for_preregistered_interpretation.md	analysis/v46_returned_package_safe_interpretation/eligible_preferred_clean/safe_interpretation_summary.json	true	PASS
INCONCLUSIVE_SMALL_COHORT	analysis/v46_safe_wording_fixture_linter/fixtures/inconclusive_small_cohort.md	analysis/v46_returned_package_safe_interpretation/small_clean/safe_interpretation_summary.json	true	PASS
MINIMUM_DECISION_GRADE_CAUTION	analysis/v46_safe_wording_fixture_linter/fixtures/minimum_decision_grade_caution.md	analysis/v46_returned_package_safe_interpretation/minimum_clean/safe_interpretation_summary.json	true	PASS
BLOCKED_REDACTION	analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	synthetic_bad_fixture	false	FAIL
