fixture	result_class	check	status	detail	expected_fixture_status
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
