check	status
index_written	PASS
boundary_marker_present	PASS
navigation_link_present	PASS
source_terms_link_present	PASS
source_domain_relationship_link_present	PASS
source_domain_independence_link_present	PASS
source_url_duplicate_review_link_present	PASS
source_terms_review_queue_link_present	PASS
high_priority_source_terms_packet_link_present	PASS
governance_link_present	PASS
governance_failure_mode_matrix_link_present	PASS
preflight_summary_card_link_present	PASS
handoff_link_present	PASS
decision_table_link_present	PASS
convergence_source_independence_link_present	PASS
decision_relevant_convergence_link_present	PASS
contradiction_readiness_link_present	PASS
v37_coverage_link_present	PASS
v37_uncovered_rationale_link_present	PASS
v37_gap_priority_link_present	PASS
summary_counts_present	PASS
