path	record_id	relationship_to_project_findings	check	status	detail
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/biostudies_database.json	resource.biostudies.database.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/biostudies_database.json	resource.biostudies.database.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/biostudies_database.json	resource.biostudies.database.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/clinicaltrials_gov.json	resource.clinicaltrials_gov.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/clinicaltrials_gov.json	resource.clinicaltrials_gov.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/clinicaltrials_gov.json	resource.clinicaltrials_gov.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/dailymed_drug_labels.json	resource.dailymed.drug_labels.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/dailymed_drug_labels.json	resource.dailymed.drug_labels.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
