row_key	check	status	detail
knowledge_external/INDEX.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/GOVERNANCE_FAILURE_MODE_MATRIX_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/HIGH_PRIORITY_SOURCE_TERMS_PACKET_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/SOURCE_DOMAIN_INDEPENDENCE_ROLLUP_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/SOURCE_URL_DUPLICATE_REVIEW_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/V48_EXTERNAL_SYNTHESIS_DEPENDENCY_GRAPH.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_present	PASS	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.artifact	PASS	expected=V48 convergence/contradiction matrix observed=V48 convergence/contradiction matrix
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.output	PASS	expected=knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md observed=knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.output_exists	PASS	expected=yes observed=yes
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.n_inputs	PASS	expected=2 observed=2
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.n_controls	FAIL	expected=4 observed=999
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.inputs	PASS	expected=knowledge_external/catalogs/records/;docs/reports/FINDINGS_REPORT_V37.md observed=knowledge_external/catalogs/records/;docs/reports/FINDINGS_REPORT_V37.md
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.controls	PASS	expected=scripts/v48_convergence_matrix_coverage_linter.py;scripts/v48_convergence_status_vocabulary_linter.py;scripts/v48_support_contradiction_coverage_linter.py;scripts/v48_project_finding_reference_linter.py observed=scripts/v48_convergence_matrix_coverage_linter.py;scripts/v48_convergence_status_vocabulary_linter.py;scripts/v48_support_contradiction_coverage_linter.py;scripts/v48_project_finding_reference_linter.py
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	node_field_matches.boundary	PASS	expected=relationship classification only; external agreement is context and project artifacts remain evidence observed=relationship classification only; external agreement is context and project artifacts remain evidence
knowledge_external/synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/DECISION_RELEVANT_CONVERGENCES_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/V37_EXTERNAL_COVERAGE_GAP_PRIORITY_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
knowledge_external/synthesis/V37_UNCOVERED_FINDING_RATIONALE_V48.md	node_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_nodes.tsv
extra/output.md	no_extra_node	FAIL	node is not declared by the current dependency graph generator
analysis/v48_governance_preflight/v48_governance_preflight_plan.tsv||knowledge_external/catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md||input_to_artifact	edge_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_edges.tsv
analysis/v48_governance_preflight/v48_governance_preflight_summary.json||knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md||input_to_artifact	edge_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_edges.tsv
analysis/v48_governance_preflight/v48_governance_preflight_summary.json||knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md||input_to_artifact	edge_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_edges.tsv
docs/reports/FINDINGS_REPORT_V37.md||knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md||input_to_artifact	edge_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_edges.tsv
docs/reports/FINDINGS_SCORES_V37.tsv||knowledge_external/synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md||input_to_artifact	edge_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_edges.tsv
knowledge_external/catalogs/indexes/convergence_contradiction_v48_summary.json||knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md||input_to_artifact	edge_present	FAIL	/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_external_synthesis_dependency_freshness_linter/synthetic_edges.tsv
