check	command	returncode	overall_status	n_fail	stdout_json	stderr	preflight_status
provenance_gate	scripts/v47_provenance_gate.py audit	0	PASS	0	"{""issues"": ""analysis/v47_provenance_gate/provenance_gate_issues.tsv"", ""n_checks"": 436, ""n_external_json_records"": 47, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V47 provenance segregation gate; no biological claim"", ""root"": ""/Users/soeren.leibach/Projects/ms-auto-research"", ""synthetic"": false}"		PASS
external_record_schema	scripts/v47_external_record_schema_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v47_external_record_schema_linter/external_record_schema_lint.tsv"", ""n_checks"": 812, ""n_fail"": 0, ""n_records"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V47 dependency-free external-record schema lint; no biological claim"", ""synthetic"": false}"		PASS
relationship_vocabulary	scripts/v47_relationship_vocabulary_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v47_relationship_vocabulary_linter/relationship_vocabulary_lint.tsv"", ""n_checks"": 141, ""n_fail"": 0, ""n_records"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V47 relationship vocabulary lint; no biological claim"", ""synthetic"": false}"		PASS
external_record_uniqueness	scripts/v47_external_record_uniqueness_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v47_external_record_uniqueness_linter/external_record_uniqueness_lint.tsv"", ""n_checks"": 94, ""n_fail"": 0, ""n_records"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V47 external-record uniqueness lint; no biological claim"", ""synthetic"": false}"		PASS
external_markdown_index	scripts/v47_external_markdown_index_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v47_external_markdown_index_linter/external_markdown_index_lint.tsv"", ""n_checks"": 358, ""n_fail"": 0, ""n_markdown_files"": 60, ""overall_status"": ""PASS"", ""purpose"": ""V47 generated external Markdown source/provenance lint; no biological claim"", ""synthetic"": false}"		PASS
external_verifiable_intake	scripts/v47_external_verifiable_intake_linter.py lint	0	PASS	0	"{""n_checks"": 47, ""n_external_verifiable_records"": 0, ""n_fail"": 0, ""n_records_checked"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V47 external-verifiable intake lint; queueing infrastructure only, no claim validation"", ""synthetic"": false}"		PASS
public_index_crosslink	scripts/v48_public_index_crosslink_linter.py lint	0	PASS	0	"{""index"": ""/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md"", ""lint"": ""/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_public_index_crosslink_linter/public_index_crosslink_lint.tsv"", ""n_fail"": 0, ""n_links"": 56, ""overall_status"": ""PASS"", ""purpose"": ""V48 public external index crosslink lint; navigation only"", ""synthetic"": false}"		PASS
public_index_freshness	scripts/v48_public_index_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 50, ""n_fail"": 0, ""n_required_targets"": 50, ""overall_status"": ""PASS"", ""purpose"": ""V48 public external index freshness lint; navigation only; no biological claim"", ""synthetic"": false}"		PASS
external_layer_reader_brief_freshness	scripts/v48_external_layer_reader_brief_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 30, ""n_fail"": 0, ""n_required_links"": 10, ""n_required_sections"": 8, ""overall_status"": ""PASS"", ""purpose"": ""V48 external layer reader brief freshness lint; navigation only; no biological claim"", ""synthetic"": false}"		PASS
ai_core_tooling_health_freshness	scripts/v48_ai_core_tooling_health_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 21, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 AI Core tooling-health freshness lint; tooling/navigation only; no biological claim"", ""synthetic"": false}"		PASS
rpt_availability_claim	scripts/v48_rpt_availability_claim_linter.py lint	0	PASS	0	"{""n_checks"": 5, ""n_fail"": 0, ""n_targets"": 5, ""overall_status"": ""PASS"", ""purpose"": ""V48 RPT availability claim lint; tooling/navigation only; no biological claim"", ""synthetic"": false}"		PASS
model_lens_usage_boundary_freshness	scripts/v48_model_lens_usage_boundary_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 27, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 model-lens usage boundary freshness lint; navigation only; no biological claim"", ""synthetic"": false}"		PASS
model_evidence_claim	scripts/v48_model_evidence_claim_linter.py lint	0	PASS	0	"{""n_checks"": 8, ""n_fail"": 0, ""n_targets"": 8, ""overall_status"": ""PASS"", ""purpose"": ""V48 model-output evidence-claim lint; wording/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_locator_normalization	scripts/v48_source_locator_normalization_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_source_locator_normalization_linter/source_locator_normalization_lint.tsv"", ""n_checks"": 304, ""n_fail"": 0, ""n_records"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-locator normalization lint; no biological claim"", ""synthetic"": false}"		PASS
source_terms_metadata	scripts/v48_source_terms_metadata_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_source_terms_metadata_linter/source_terms_metadata_lint.tsv"", ""n_checks"": 79, ""n_fail"": 0, ""n_records"": 47, ""n_records_with_source_terms"": 8, ""n_warn"": 39, ""overall_status"": ""PASS"", ""purpose"": ""V48 source license/terms metadata lint; coverage report only unless malformed metadata is present"", ""synthetic"": false}"		PASS
source_terms_freshness	scripts/v48_source_terms_freshness_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_source_terms_freshness_linter/source_terms_freshness_lint.tsv"", ""n_checks"": 63, ""n_fail"": 0, ""n_records"": 47, ""n_warn"": 39, ""overall_status"": ""PASS"", ""purpose"": ""V48 source_terms freshness lint; provenance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_terms_coverage_freshness	scripts/v48_source_terms_coverage_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 188, ""n_coverage_rows"": 47, ""n_current_records"": 47, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-terms coverage freshness lint; provenance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
high_priority_source_terms_packet_freshness	scripts/v48_high_priority_source_terms_packet_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 90, ""n_expected_high_priority_records"": 9, ""n_fail"": 0, ""n_packet_records"": 9, ""overall_status"": ""PASS"", ""purpose"": ""V48 high-priority source_terms packet freshness lint; source-terms triage only; no claim validation"", ""synthetic"": false}"		PASS
high_priority_external_sourcing_plan_freshness	scripts/v48_high_priority_external_sourcing_plan_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 2, ""n_expected_rows"": 0, ""n_fail"": 0, ""n_observed_rows"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 high-priority external sourcing plan freshness lint; future intake/navigation only; no biological claim"", ""synthetic"": false}"		PASS
high_priority_source_search_query_freshness	scripts/v48_high_priority_source_search_query_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 3, ""n_expected_rows"": 0, ""n_fail"": 0, ""n_observed_rows"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 high-priority source-search query freshness lint; future search/navigation only; no biological claim"", ""synthetic"": false}"		PASS
high_priority_source_intake_checklist_freshness	scripts/v48_high_priority_source_intake_checklist_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 6, ""n_expected_rows"": 0, ""n_fail"": 0, ""n_observed_rows"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 high-priority source intake checklist freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_operator_quickstart_freshness	scripts/v48_source_intake_operator_quickstart_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 29, ""n_fail"": 0, ""n_required_links"": 9, ""n_required_sections"": 7, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake operator quickstart freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_package_manifest_freshness	scripts/v48_source_intake_package_manifest_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 34, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake package manifest freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_hit_acceptance_decision_tree_freshness	scripts/v48_source_hit_acceptance_decision_tree_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 33, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-hit acceptance decision tree freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_hit_access_terms_parking_queue_freshness	scripts/v48_source_hit_access_terms_parking_queue_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 34, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-hit access/terms parking queue freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_deduplication_intake_checklist_freshness	scripts/v48_source_deduplication_intake_checklist_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 34, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source de-duplication intake checklist freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
parked_source_release_checklist_freshness	scripts/v48_parked_source_release_checklist_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 31, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 parked source release checklist freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
parked_source_future_grounding_handoff_freshness	scripts/v48_parked_source_future_grounding_handoff_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 parked-source future-grounding handoff freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
