expected_index	step	artifact	position	status	detail
1	quickstart	docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	469	PASS	ordered and exists
2	access_terms	docs/validation/PACKAGE_CHECKSUM_INTAKE_CHECKLIST_V52.md	579	PASS	ordered and exists
3	safe_paths	docs/validation/RECEIVED_PACKAGE_FILE_NAMING_POLICY_V52.md	705	PASS	ordered and exists
4	intake_readme	analysis/received_package_intake/README.md	855	PASS	ordered and exists
5	package_id	docs/validation/PACKAGE_ID_VALIDATION_NOTE_V52.md	985	PASS	ordered and exists
6	metadata_policy	docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md	1110	PASS	ordered and exists
7	blocker_template	docs/validation/RECEIPT_BLOCKER_TEMPLATE_V52.md	1260	PASS	ordered and exists
8	manifest_template	docs/validation/INCOMING_PACKAGE_MANIFEST_TEMPLATE_V52.tsv	1382	PASS	ordered and exists
9	preflight	docs/validation/INCOMING_PACKAGE_PREFLIGHT_CHECKLIST_V52.md	1523	PASS	ordered and exists
10	route_classifier	docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_V52.tsv	1646	PASS	ordered and exists
11	operator_note	docs/validation/PACKAGE_ROUTE_CLASSIFIER_OPERATOR_NOTE_V52.md	1788	PASS	ordered and exists
12	decision_table	docs/validation/PACKAGE_ROUTE_CLASSIFIER_STATUS_DECISION_TABLE_V52.tsv	1935	PASS	ordered and exists
13	examples	docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_EXAMPLES_V52.tsv	2075	PASS	ordered and exists
14	field_dictionary	docs/validation/VALIDATION_PACKAGE_FIELD_DICTIONARY_V52.tsv	2182	PASS	ordered and exists
15	acceptance_criteria	docs/validation/TARGET_PACKAGE_ACCEPTANCE_CRITERIA_V52.tsv	2288	PASS	ordered and exists
16	safety_audit	docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	2404	PASS	ordered and exists
