contrast	feature	feature_type	n_case_samples	n_control_samples	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
Hashimoto thyroiditis_vs_control	hla_ii_apc	module	3	2	2.0997355887812055	0.40117661333513355	1.698558975446072	30.190407854697515	38.369063590473715	0.005369794631123573	0.024792629239188617
Hashimoto thyroiditis_vs_control	ifn_apc	module	3	2	1.5615904610734184	0.3321534399286733	1.229437021144745	17.340272785529656	23.27047664674337	0.0056816442006473915	0.024792629239188617
Hashimoto thyroiditis_vs_control	lysosomal_apc	module	3	2	0.9853494359853139	0.4946269226507578	0.4907225133345561	2.9262537731508496	5.656387940855006	0.027561405676147066	0.10176519018885072
Hashimoto thyroiditis_vs_control	mif_cd74_receptor_state	module	3	2	2.22032782162999	0.43003524305582314	1.7902925785741668	19.59045900928689	30.204780326525402	0.0003272728230005116	0.003141819100804911
Hashimoto thyroiditis_vs_control	CD44	gene	3	2	0.5334204806205921	0.2291911635977048	0.3042293170228873	1.6083821954141562	3.1222275226405958	0.08794343750745146	0.2198621074531098
Hashimoto thyroiditis_vs_control	CD74	gene	3	2	3.955170429625434	1.3726215925334537	2.5825488370919807	10.062120318418662	11.475630587296383	0.051436356286199574	0.16459634011583862
Hashimoto thyroiditis_vs_control	CIITA	gene	3	2	0.22297489700032128	0.01791207109594665	0.20506282590437463	1.7981433532899769	3.4695065010897355	0.06928695614586891	0.18941445157939818
Hashimoto thyroiditis_vs_control	CTSB	gene	3	2	2.7717064304791594	2.1405485139745934	0.631157916504566	0.9240160357079807	1.7929986218529916	0.21325838234511976	0.2841418443009949
Hashimoto thyroiditis_vs_control	CTSD	gene	3	2	1.4799011268618203	0.3781237938166425	1.1017773330451779	3.240638252805033	5.433968382265939	0.012611807028709138	0.050447228114836554
Hashimoto thyroiditis_vs_control	CTSS	gene	3	2	0.5974555430646178	0.06671767951841139	0.5307378635462064	22.502637330799658	42.97796935391635	0.00027837212892900656	0.003141819100804911
Hashimoto thyroiditis_vs_control	CXCL10	gene	3	2	0.3074512010945765	0.0026464271424106118	0.30480477395216593	1.5798852037162547	3.0720670288519907	0.09160921143879576	0.2198621074531098
Hashimoto thyroiditis_vs_control	CXCR4	gene	3	2	0.7159236707349166	0.05508014888924237	0.6608435218456742	1.964281570502549	3.7907816551233036	0.05879517311089819	0.17638551933269458
Hashimoto thyroiditis_vs_control	GBP1	gene	3	2	0.2816255268651211	0.178107324266496	0.1035182025986251	1.0142334669088813	1.1701286291292092	0.44185310850845616	0.4610641132262151
Hashimoto thyroiditis_vs_control	HLA-DPA1	gene	3	2	2.4163457804598587	0.2661084574881868	2.150237322971672	31.088672173329037	55.495243502925064	1.8906175110802928e-05	0.0009074964053185406
Hashimoto thyroiditis_vs_control	HLA-DPB1	gene	3	2	2.3444079111047667	0.2632040088238	2.0812039022809667	11.007974774332023	21.388153948109807	0.002128372568305958	0.01277023540983575
Hashimoto thyroiditis_vs_control	HLA-DRA	gene	3	2	2.8953462708648843	0.4278488252575611	2.4674974456073233	21.542468736794785	39.63394481590897	9.928082933098159e-05	0.002382739903943558
Hashimoto thyroiditis_vs_control	HLA-DRB1	gene	3	2	2.681680207999479	0.3961925048008132	2.285487703198666	11.09962487408344	16.718020973775133	0.001993381343209689	0.01277023540983575
Hashimoto thyroiditis_vs_control	IFI30	gene	3	2	1.2759679914117308	0.11527196614502552	1.1606960252667053	10.930225247761118	21.168847618488446	0.001980553213737859	0.01277023540983575
Hashimoto thyroiditis_vs_control	IRF1	gene	3	2	0.42171492611937317	0.05088673206520314	0.37082819405417	11.331107873994076	19.146667164171717	0.00032120726075905893	0.003141819100804911
Hashimoto thyroiditis_vs_control	LAMP1	gene	3	2	0.4276872186527865	0.5470181176012063	-0.1193308989484198	-0.46562847712231614	-0.8895727354880048	0.4596853684641945	0.46946590821875184
Hashimoto thyroiditis_vs_control	LAMP2	gene	3	2	0.26467868997167154	0.2104534862042764	0.05422520376739515	0.590904353527704	0.962185973477184	0.4107296845652485	0.4381116635362651
Hashimoto thyroiditis_vs_control	LAMP3	gene	3	2	0.0800490514554102	0.004254901295148583	0.07579415016026163	1.3269252794182274	2.57878694840065	0.12277307705001712	0.2688690684551587
Hashimoto thyroiditis_vs_control	RFX5	gene	3	2	0.1822236244136972	0.06434883334617347	0.11787479106752372	2.1179641297620875	3.8907729238114426	0.037576658085561834	0.12883425629335485
Hashimoto thyroiditis_vs_control	STAT1	gene	3	2	0.6737671346067485	0.11365214721842298	0.5601149873883255	5.392283927743702	9.858383144879468	0.003451046511106347	0.018405581392567184
Graves disease_vs_control	hla_ii_apc	module	3	2	1.0943111346698988	0.40117661333513355	0.6931345213347653	0.9500954684664104	1.84017833820055	0.2041459260592428	0.2841418443009949
Graves disease_vs_control	ifn_apc	module	3	2	0.8574867093518889	0.3321534399286733	0.5253332694232156	0.9274692387263214	1.7881658763749526	0.20945903291292756	0.2841418443009949
