analysis	dataset_path	n_original_donor_module_rows	n_unique_donor_module_rows	status
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	48	48	PASS
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	48	48	PASS
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	48	48	PASS
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	48	48	PASS
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	24	24	PASS
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	24	24	PASS
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	88	88	PASS
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	100	100	PASS
ra_blood_myeloid	data/raw_v3/cell_state/ra_binvignat_blood.h5ad	144	144	PASS
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	88	88	PASS
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	96	96	PASS
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	92	92	PASS
