variant	n_source_rows	n_dataset_labels	n_diseases	hla_mif_six_derived_metric_spearman	hla_n_diseases_tested	hla_n_trend_or_better	mif_n_diseases_tested	mif_n_trend_or_better
all_sources	170	15	10	0.942857142857143	9	6	10	7
direct_h5ad_only	108	12	6	0.9851843661437779	6	4	6	4
exclude_direct_h5ad	62	3	4	0.7647058823529412	3	2	4	3
leave_out:GSE111972	163	14	9	1.0	9	6	9	6
leave_out:GSE248205	160	14	8	0.898645105261295	7	5	8	6
leave_out:GSE315138	125	14	9	0.9276336570439175	8	5	9	6
leave_out:ibd_crohn_epithelial	161	14	10	0.942857142857143	9	5	10	6
leave_out:ibd_crohn_myeloid	161	14	10	0.942857142857143	9	6	10	7
leave_out:ibd_uc_epithelial	161	14	10	0.942857142857143	9	5	10	7
leave_out:ibd_uc_myeloid	161	14	10	0.942857142857143	9	6	10	7
leave_out:psoriasis_keratinocyte	161	14	10	0.942857142857143	9	6	10	7
leave_out:psoriasis_skin_apc	161	14	10	0.942857142857143	9	6	10	7
leave_out:ra_blood_myeloid	161	14	9	0.942857142857143	8	6	9	7
leave_out:sjogren_gland_apc	161	14	10	0.942857142857143	9	6	10	7
leave_out:sjogren_gland_epithelial	161	14	10	0.942857142857143	9	5	10	7
leave_out:t1d_acinar_cell	161	14	10	0.942857142857143	9	6	10	7
leave_out:t1d_beta_cell	161	14	10	0.942857142857143	9	6	10	7
leave_out:t1d_ductal_cell	161	14	10	0.942857142857143	9	6	10	7
