	gilt_lysosomal_apc	hla_ii_apc	ifn_apc	mif_cd74_receptor_state
IFNB:IFNAR1	-0.17534501381108877	-0.0237317624330505	-0.9120257369244987	0.12900320936376022
IFNB:IRF1	0.033936725496253005	0.16532601089039964	-0.12738221181628634	0.1929769380220816
IFNB:JAK1	-0.02965838107300726	0.185913469832017	-0.4537726900651681	0.13964600541501
IFNB:NFKB1	0.12162582738464388	0.290923081172435	0.11418634577342189	0.4683907521339112
IFNB:SOCS1	0.15455279708347583	0.25019003563806014	0.21807453691778145	0.1959641379354294
IFNB:STAT1	-0.0035999466992701346	0.351761596154161	-0.596922793494093	0.06412568878003265
IFNB:TYK2	-0.3211525137953055	0.0445702602441309	-0.9685865760305359	0.2453318945039896
IFNG:HLA-DQB1	0.0772177579784703	0.12861777375020203	0.07237731294388951	0.18036879517570262
IFNG:IFNGR1	-0.2363174965172781		-1.4695177743293015	0.21681747153105255
IFNG:IFNGR2	-0.20642982519293782		-1.4316646884515947	0.09421034056519076
IFNG:IRF1	0.018453495444484467	0.18098694681568336	-0.18728434373368516	0.08409105973728777
IFNG:JAK1	-0.17910469048564107		-0.8400517519029721	0.1078805729482414
IFNG:JAK2	-0.2055933585746881		-1.1081211892072969	0.14047439540435336
IFNG:NFKB1	0.18672924993039752	-0.10967345064506419	0.12897126349049398	0.1944401343592702
IFNG:RFX5	0.03475664840649403	-1.4850165969019382	0.03954974539117639	0.03652521995571252
IFNG:STAT1	-0.15691958692703614		-1.247869926236912	0.150837699442623
TNFA:CHUK	-0.0546809979920247	-0.37684726681951297	-0.3383916231848448	-0.06582044530185012
TNFA:IKBKB	0.009001622983573673	-0.23071284653504465	-0.2938795442926697	-0.1905863142489816
TNFA:IKBKG	0.008149394227744121	0.14823879124900752	-0.12015284892410182	
TNFA:IRF1	-0.018118199622856095	-0.06324583060237625	-0.24531109634506099	0.03585058064528152
TNFA:MAP3K7	-0.04517085813746197	-0.140940454423014	-0.16838419389624026	-0.06440728539254262
TNFA:NFKB1	0.06868702320084101	-0.0412948851325754	0.09630565782645982	-0.013953576654085859
TNFA:RELB	0.021711300944092363	0.043589059135292096	-0.013164451016322543	-0.04556317114813275
TNFA:TNFRSF1A	0.03334737779986764	-0.864973721811842	-0.4674212732728253	-0.03874139786393851
