contrast	favorable_context	unfavorable_context	hla_ii_apc	mif_cd74_receptor_state
GSE106992:etanercept:R_minus_NR	GSE106992|etanercept/ustekinumab|therapy=etanercept;response=R	GSE106992|etanercept/ustekinumab|therapy=etanercept;response=NR	0.16800539843824513	-0.271296599722748
GSE106992:ustekinumab:R_minus_NR	GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=R	GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=NR	-0.3888430300720209	-0.674154437121291
GSE235357:R_minus_NR	GSE235357|dimethyl fumarate|response=R	GSE235357|dimethyl fumarate|response=NR	0.21410973629871455	-0.8700132340946521
GSE250453:R_minus_NR	GSE250453|fingolimod|response=R	GSE250453|fingolimod|response=NR	0.821638641315928	-0.9970188562013986
GSE253006:b_plasma_like:Responder_minus_No_responder	GSE253006|tofacitinib|group=Responder;marker_compartment=b_plasma_like	GSE253006|tofacitinib|group=No responder;marker_compartment=b_plasma_like	-0.1835315449381709	-0.3663413140455414
GSE253006:epithelial_like:Responder_minus_No_responder	GSE253006|tofacitinib|group=Responder;marker_compartment=epithelial_like	GSE253006|tofacitinib|group=No responder;marker_compartment=epithelial_like	-0.2222525697645911	-0.3742645472032983
GSE253006:myeloid_apc_like:Responder_minus_No_responder	GSE253006|tofacitinib|group=Responder;marker_compartment=myeloid_apc_like	GSE253006|tofacitinib|group=No responder;marker_compartment=myeloid_apc_like	-0.0130112762111661	-0.3692956518538643
GSE253006:stromal_endothelial_like:Responder_minus_No_responder	GSE253006|tofacitinib|group=Responder;marker_compartment=stromal_endothelial_like	GSE253006|tofacitinib|group=No responder;marker_compartment=stromal_endothelial_like	0.021675425623105093	-0.3171433727841766
GSE253006:t_cell_like:Responder_minus_No_responder	GSE253006|tofacitinib|group=Responder;marker_compartment=t_cell_like	GSE253006|tofacitinib|group=No responder;marker_compartment=t_cell_like	-0.0586245131277924	0.20252605014345698
GSE24742:good_minus_poor	GSE24742|rituximab|response=good	GSE24742|rituximab|response=poor	-0.5840624951965931	-1.0099003349338471
