	hla_ii_apc	ifn_apc	lysosomal_apc	mif_cd74_receptor_state
GSE106992|etanercept/ustekinumab|therapy=etanercept;response=NR	-1.086859751088067	-1.9803588055335577	-1.1482414592045278	-0.08656608597201092
GSE106992|etanercept/ustekinumab|therapy=etanercept;response=R	-0.918854352649822	-2.5235495487219666	-1.4010476555518174	-0.3578626856947589
GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=NR	-1.1544738997911397	-1.9255434007258156	-1.0319543302689347	0.11227318362226733
GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=R	-1.5433169298631606	-2.4393785909674586	-1.2616681371883245	-0.5618812534990236
GSE183047|secukinumab|marker_compartment=keratinocyte_like	-0.004943171357004637	-0.0715241117885092	0.05915579513240747	-0.19778509671342331
GSE183047|secukinumab|marker_compartment=myeloid_apc_like	-0.07421719598038963	-0.15602217462202397	-0.17555627890685316	-0.22151024400480163
GSE183047|secukinumab|marker_compartment=t_cell_like	0.02241177862988807	-0.09653897105201878	0.013425200238618713	0.05746530760675317
GSE235357|dimethyl fumarate|response=NR	-0.5626833860082506	-1.6194149574448098	0.0397964651893382	-0.6804466770967735
GSE235357|dimethyl fumarate|response=R	-0.34857364970953614	-1.2960511837051347	0.5197324235283411	-1.5504599111914257
GSE24742|rituximab|response=good	-0.6974514184893393	-1.0482997428240506	-0.2016023063058933	-0.8409149802620689
GSE24742|rituximab|response=moderate	-0.47531854314326977	-0.4318755444356969	-0.06653283543315675	-0.14504714219890671
GSE24742|rituximab|response=poor	-0.11338892329274623	-0.005212183658133751	-0.1882850003112325	0.16898535467177833
GSE250453|fingolimod|response=NR	-2.871981964801433	-0.7077742909096902	-0.29791801326355666	-0.4131488049775774
GSE250453|fingolimod|response=R	-2.050343323485505	-0.6324245181929237	0.3430927161985056	-1.410167661178976
GSE253006|tofacitinib|group=No responder;marker_compartment=b_plasma_like	0.0981497809159322	0.29535229766682924	0.0400212350556096	0.1783350971969164
GSE253006|tofacitinib|group=No responder;marker_compartment=epithelial_like	0.07799052014259353	0.10950913454162213	0.06822280442166227	0.0992963023806722
GSE253006|tofacitinib|group=No responder;marker_compartment=myeloid_apc_like	0.08371936275513304	0.19179259665194587	0.015629761587768225	0.09162285669329898
GSE253006|tofacitinib|group=No responder;marker_compartment=stromal_endothelial_like	-0.08509473965381292	0.16168243791189063	-0.07134903376682866	0.07099282890707218
GSE253006|tofacitinib|group=No responder;marker_compartment=t_cell_like	0.005768128870088797	0.030795259621597175	-0.024492621465916024	-0.14687869669889245
GSE253006|tofacitinib|group=Responder;marker_compartment=b_plasma_like	-0.08538176402223879	-0.1553295251499697	-0.02716520050366995	-0.188006216848625
GSE253006|tofacitinib|group=Responder;marker_compartment=epithelial_like	-0.1442620496219976	-0.20453697858620207	-0.06528857104440255	-0.2749682448226261
GSE253006|tofacitinib|group=Responder;marker_compartment=myeloid_apc_like	0.07070808654396699	-0.22193749581419442	-0.1296401104793188	-0.2776727951605654
GSE253006|tofacitinib|group=Responder;marker_compartment=stromal_endothelial_like	-0.0634193140307078	-0.39327655709639986	-0.24830290012863143	-0.24615054387710456
GSE253006|tofacitinib|group=Responder;marker_compartment=t_cell_like	-0.05285638425770376	-0.17471137552180646	-0.0768578888272996	0.05564735344456462
