assumed_standardized_target_effect_each_primary_module	n_donors_per_context	replicates_per_seed	n_seeds	per_context_success_probability_mean	per_context_success_probability_min_seed	per_context_success_probability_max_seed	two_independent_context_joint_probability	target_gate	collateral_guard	synthetic_marker
0.5	8	3000	3	0.04488888888888889	0.04033333333333333	0.048666666666666664	0.0020150123456790124	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	12	3000	3	0.12966666666666668	0.12533333333333332	0.13533333333333333	0.016813444444444447	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	16	3000	3	0.12388888888888888	0.11666666666666667	0.13133333333333333	0.015348456790123454	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	20	3000	3	0.19655555555555557	0.19133333333333333	0.20466666666666666	0.03863408641975309	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	24	3000	3	0.23911111111111114	0.23333333333333334	0.24433333333333335	0.057174123456790134	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	32	3000	3	0.26222222222222225	0.25533333333333336	0.2713333333333333	0.06876049382716051	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	40	3000	3	0.3	0.2906666666666667	0.309	0.09	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	48	3000	3	0.31388888888888894	0.31133333333333335	0.31733333333333336	0.09852623456790127	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	64	3000	3	0.3164444444444445	0.31033333333333335	0.327	0.10013708641975311	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.5	96	3000	3	0.3344444444444445	0.32366666666666666	0.3476666666666667	0.11185308641975311	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
