lesion_stratum	endpoint	left_out_donor	status	foamy_beta
2	oxphos	MS01	estimated	-0.2137982723613594
2	oxphos	MS02	estimated	-0.23362902001345798
2	oxphos	MS05	estimated	-0.32428859495583146
2	oxphos	MS10	estimated	-0.2568593786395603
2	oxphos	MS13	estimated	-0.2079591622736583
2	oxphos	MS15	estimated	-0.2460099160536766
2	oxphos	MS17	estimated	-0.48129322951044873
2	oxphos	MS18	estimated	-0.12983916491098052
2	oxphos	MS19	estimated	-0.39093469672841197
2	oxphos	MS20	estimated	-0.2992146627853166
2	oxphos	MS23	estimated	-0.16893706042642254
2	oxphos	MS25	estimated	-0.07331639230187365
2	oxphos	MS27	estimated	-0.14966309591133198
2	lysosomal_unique	MS01	estimated	-0.01784833365470557
2	lysosomal_unique	MS02	estimated	0.0022152035232990697
2	lysosomal_unique	MS05	estimated	-0.06333954702445661
2	lysosomal_unique	MS10	estimated	0.04250165769959481
2	lysosomal_unique	MS13	estimated	-0.0975887636609136
2	lysosomal_unique	MS15	estimated	-0.011485215993969344
2	lysosomal_unique	MS17	estimated	-0.2526549185452692
2	lysosomal_unique	MS18	estimated	0.04420237462278945
2	lysosomal_unique	MS19	estimated	0.04398279111007186
2	lysosomal_unique	MS20	estimated	-0.05588292727921115
2	lysosomal_unique	MS23	estimated	-0.02084191424893478
2	lysosomal_unique	MS25	estimated	0.05046368421809738
2	lysosomal_unique	MS27	estimated	0.1417103609089615
3	oxphos	MS01	estimated	-0.5289454707144922
3	oxphos	MS02	estimated	-0.633242889353007
3	oxphos	MS03	estimated	-0.5994924795602596
3	oxphos	MS06	estimated	-0.4540820735306502
3	oxphos	MS08	estimated	-0.6385021954878662
3	oxphos	MS09	estimated	-0.7231514913721845
3	oxphos	MS16	estimated	-0.6552471600271061
3	oxphos	MS17	estimated	-0.8040561338199683
3	oxphos	MS18	estimated	-0.9096521617761646
3	oxphos	MS19	estimated	-0.6945412833344801
3	oxphos	MS21	estimated	-0.5651043729960137
3	oxphos	MS23	estimated	-0.4137284329566273
3	oxphos	MS26	estimated	-0.6529316768291944
3	oxphos	MS27	estimated	-0.4214052560998868
3	oxphos	MS28	estimated	-0.4635039837337751
3	lysosomal_unique	MS01	estimated	0.2941085431517009
3	lysosomal_unique	MS02	estimated	0.3046396043870046
3	lysosomal_unique	MS03	estimated	0.17186101913772345
3	lysosomal_unique	MS06	estimated	0.29662887463575205
3	lysosomal_unique	MS08	estimated	0.4914054389164465
3	lysosomal_unique	MS09	estimated	0.1945681353721911
3	lysosomal_unique	MS16	estimated	0.31099547758910195
3	lysosomal_unique	MS17	estimated	0.3670722160947264
3	lysosomal_unique	MS18	estimated	0.35678622627298173
3	lysosomal_unique	MS19	estimated	0.39067413463692957
3	lysosomal_unique	MS21	estimated	0.19025763299632026
3	lysosomal_unique	MS23	estimated	0.32887466091979056
3	lysosomal_unique	MS26	estimated	0.23682515351603162
3	lysosomal_unique	MS27	estimated	0.13984359112911293
3	lysosomal_unique	MS28	estimated	0.2717970922163275
