n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations	seed
800	800	47	0.05875	0.04446627494469538	0.07725108330681373	0.03625	0.0225	0.014800416956671336	0.002291730247014642	47.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	68.0	52.0	0.0	0.0	55401
800	800	478	0.5975	0.563129679912251	0.6309384392276421	0.5975	0.0	2.2013170603105054	0.3236140666609254	47.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	68.0	52.0	0.0	0.0	55401
800	800	38	0.0475	0.03480005831285475	0.06452482465328206	0.02625	0.02125	-0.039361458191898846	-0.004167824275096467	97.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	107.0	0.0	0.0	55401
800	800	689	0.86125	0.8355643198451779	0.8834829420962211	0.86125	0.0	2.9930602220768963	0.3046955314046176	98.0	406.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	136.0	109.5	0.0	0.0	55401
800	800	35	0.04375	0.03162362448958758	0.060237100048091796	0.02625	0.0175	-0.0420024264759707	-0.004257999306471364	94.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	104.5	0.0	0.0	55401
800	800	691	0.86375	0.8382329481169611	0.8857904194434097	0.86375	0.0	3.063372424973265	0.31464456441190936	95.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	134.0	105.0	0.0	0.0	55401
800	800	51	0.06375	0.04881779223829133	0.08285177725116102	0.02875	0.035	-0.0036643233991914942	-0.00027338267182439133	194.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	216.0	0.0	0.0	55401
800	800	795	0.99375	0.9854533537735638	0.9973275059733312	0.99375	0.0	4.301771957705347	0.31110769624076706	196.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	270.0	218.0	0.0	0.0	55401
800	800	39	0.04875	0.03586441780162572	0.06594851797399691	0.0225	0.02625	0.007570787213295306	0.0005938717201690087	156.0	1350.0	complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	173.0	0.0	0.0	55401
800	800	781	0.97625	0.9632045371458249	0.9847435832682687	0.97625	0.0	4.027734296447742	0.3223716859404308	158.0	1349.0	complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	225.0	175.0	0.0	0.0	55401
800	800	31	0.03875	0.027431519536182523	0.05447699376355362	0.015	0.02375	-0.013610045679938834	-0.0007603955400571451	323.5	1351.0	complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	448.0	360.0	0.0	0.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	5.573103008642951	0.31053118746212754	327.0	1349.0	complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	451.0	364.0	0.0	0.0	55401
800	800	41	0.05125	0.038000874036155985	0.06878816735843825	0.025	0.02625	0.007777792319834588	0.001103223089211921	42.0	405.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	67.0	52.0	5.0	0.0	55401
800	800	444	0.555	0.5203812011204514	0.5890931224969242	0.555	0.0	2.066411635636376	0.3245144614042487	43.0	405.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	67.0	52.0	5.0	0.0	55401
800	800	48	0.06	0.04555127089333948	0.07865414016765543	0.0375	0.0225	-0.017696038589847092	-0.0019577746740252447	88.0	405.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	109.0	11.0	0.0	55401
800	800	651	0.81375	0.785296238791033	0.8392050163899053	0.81375	0.0	2.8513712313399604	0.30483747960030244	88.0	405.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	108.0	11.0	0.0	55401
800	800	30	0.0375	0.026392096712790934	0.05302836377745939	0.01625	0.02125	-0.015295558242449141	-0.0016527853920669281	85.0	810.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	104.0	10.0	0.0	55401
800	800	675	0.84375	0.8169532116264817	0.8672613109821161	0.84375	0.0	2.9544542704722057	0.3204992994139605	85.0	811.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	106.0	11.0	0.0	55401
800	800	28	0.035	0.024324711932596804	0.050119642938681916	0.0175	0.0175	0.03561037576093083	0.00265386343384562	176.0	810.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	216.0	21.0	0.0	55401
800	800	787	0.98375	0.972397248033771	0.9904791892372375	0.98375	0.0	4.049552605651707	0.30699977128159217	177.0	810.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	269.0	218.0	21.0	0.0	55401
800	800	39	0.04875	0.03586441780162572	0.06594851797399691	0.03	0.01875	0.025249561366243088	0.002114517223582905	141.0	1349.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	175.0	17.0	0.0	55401
800	800	775	0.96875	0.9542750723897365	0.9787447311674423	0.96875	0.0	3.765237193990914	0.31861011363515174	142.0	1350.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	225.0	175.0	17.0	0.0	55401
800	800	51	0.06375	0.04881779223829133	0.08285177725116102	0.0325	0.03125	-0.026753187455595268	-0.0015808001350291442	293.0	1351.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	449.5	361.0	36.0	0.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	5.201471538337785	0.3046284205552868	294.0	1350.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	363.0	36.0	0.0	55401
800	800	63	0.07875	0.06203471192750583	0.09949149127577626	0.01125	0.0675	-0.46266920780023213	-0.07072551415307218	43.0	405.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	68.0	52.0	5.0	0.0	55401
800	800	270	0.3375	0.3055790153571029	0.37097411940974195	0.3375	0.0	1.533383659269375	0.23638463847212682	42.0	405.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	67.0	52.0	5.0	0.0	55401
800	800	92	0.115	0.09470945302633342	0.13897028165203718	0.0025	0.1125	-0.7816391783929904	-0.0844999297074508	88.0	406.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	11.0	0.0	55401
800	800	396	0.495	0.4604609062223737	0.5295868825396832	0.495	0.0	1.9310775921267105	0.2056031018433125	88.0	405.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	108.0	11.0	0.0	55401
800	800	89	0.11125	0.09129138845499783	0.13492418779491533	0.0025	0.10875	-0.7116960691587899	-0.07702835382399745	84.0	810.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	104.0	10.0	0.0	55401
800	800	464	0.58	0.5454961365286989	0.6137392432783929	0.58	0.0	2.197136077874596	0.23350113614337586	85.0	810.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	105.0	10.0	0.0	55401
800	800	188	0.235	0.20692826584616647	0.2656045385428419	0.00125	0.23375	-1.1424442898154372	-0.08648446563760497	175.0	811.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	269.0	217.0	21.0	0.0	55401
800	800	650	0.8125	0.7839832379239683	0.8380299644474843	0.8125	0.0	2.858170382376657	0.21495024939423124	177.0	810.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	271.0	218.0	22.0	0.0	55401
800	800	139	0.17375	0.1490700007711781	0.20154821595302552	0.00375	0.17	-1.002276475290374	-0.08254413792004227	142.0	1350.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	175.0	17.0	0.0	55401
