analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_significant_probability	maximum_seed_significant_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_observed_events_across_seeds	median_assigned_dropout_across_seeds	median_observed_pre_event_dropout_across_seeds
early_window_diagnostic	320	0.3	crossing	2.0	0.5	administrative_only	0.0	1500	1500	1.0	1341	0.894	0.8774024989848888	0.9085846096076082	0.882	0.904	0.894	0.0	3.1998628399271842	0.5131833421073357	288.0	49.0	0.0	0.0
late_landmark_diagnostic	320	0.3	crossing	2.0	0.5	administrative_only	0.0	1500	1500	1.0	1211	0.8073333333333333	0.7865996283045937	0.8264969149460681	0.802	0.812	0.0	0.8073333333333333	-2.8353435429207163	-0.504547177999868	239.0	38.0	0.0	0.0
whole_followup	320	0.3	crossing	2.0	0.5	administrative_only	0.0	1500	1500	1.0	191	0.12733333333333333	0.11141064622629665	0.1451599228038119	0.12	0.138	0.114	0.013333333333333334	0.6001947336646518	0.07162556233410242	288.0	86.0	0.0	0.0
early_window_diagnostic	320	0.3	crossing	2.0	0.5	event_risk_dependent	0.25	1500	1354	0.9026666666666666	618	0.412	0.387347557359362	0.43710202244738994	0.382	0.434	0.412	0.0	1.845532231880934	0.5330415889974828	288.0	15.0	0.25	0.25
late_landmark_diagnostic	320	0.3	crossing	2.0	0.5	event_risk_dependent	0.25	1500	1500	1.0	947	0.6313333333333333	0.6066121943405216	0.6553835085236439	0.598	0.666	0.0	0.6313333333333333	-2.3345239130708846	-0.5207898163410356	217.0	23.0	0.06944444444444445	0.06944444444444445
whole_followup	320	0.3	crossing	2.0	0.5	event_risk_dependent	0.25	1500	1500	1.0	215	0.14333333333333334	0.12651066677832365	0.16197816046873917	0.134	0.154	0.006666666666666667	0.13666666666666666	-0.6992147728753275	-0.13336210896009312	288.0	38.0	0.25	0.25
early_window_diagnostic	320	0.3	crossing	2.0	0.5	independent	0.25	1500	1500	1.0	1335	0.89	0.8731585444191344	0.9048489996191241	0.87	0.904	0.89	0.0	3.209236114468551	0.5162677835441506	288.0	46.0	0.2491038966044426	0.20598171701112877
late_landmark_diagnostic	320	0.3	crossing	2.0	0.5	independent	0.25	1500	1500	1.0	1090	0.7266666666666667	0.7035554198689427	0.7486199048712419	0.72	0.732	0.0	0.7266666666666667	-2.5697302606127406	-0.5069565851737163	211.0	31.0	0.1477832512315271	0.13551401869158877
whole_followup	320	0.3	crossing	2.0	0.5	independent	0.25	1500	1500	1.0	236	0.15733333333333333	0.13978498551865226	0.17663231766824544	0.146	0.168	0.15333333333333332	0.004	0.8561867460028916	0.10708860904885656	288.0	77.0	0.2491038966044426	0.20598171701112877
early_window_diagnostic	320	0.3	crossing	2.0	0.5	score_dependent	0.25	1500	1500	1.0	1314	0.876	0.8583543616679741	0.8917247064304494	0.862	0.886	0.876	0.0	3.14943326068535	0.5279439743135899	288.0	44.5	0.24957912457912457	0.18706518150806362
