analysis_route	event_probability_before_dropout	molecular_hazard_ratio_per_latent_sd	dropout_probability	assignment_strength	source_hazard_ratio	treatment_hazard_ratio	measurement_reliability	missing_rate	alpha	largest_n_simulated	power_at_largest_n	minimum_n_reaching_80pct
source_treatment_stratified	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.6013333333333334	not_reached
source_treatment_stratified	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.46266666666666667	not_reached
source_treatment_stratified	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.5493333333333333	not_reached
source_treatment_stratified	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.4146666666666667	not_reached
source_treatment_stratified	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.936	240
source_treatment_stratified	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.884	320
source_treatment_stratified	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.9453333333333334	240
source_treatment_stratified	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.8173333333333334	320
source_treatment_stratified	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.8666666666666667	320
source_treatment_stratified	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.744	not_reached
source_treatment_stratified	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.8253333333333334	320
source_treatment_stratified	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.6853333333333333	not_reached
source_treatment_stratified	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	1.0	120
source_treatment_stratified	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.9933333333333333	160
source_treatment_stratified	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.996	120
source_treatment_stratified	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.9866666666666667	160
unadjusted	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.6146666666666667	not_reached
unadjusted	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.8013333333333333	320
unadjusted	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.5426666666666666	not_reached
unadjusted	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.784	not_reached
unadjusted	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.9426666666666667	240
unadjusted	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.9893333333333333	160
unadjusted	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.948	240
unadjusted	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.984	160
unadjusted	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.868	320
unadjusted	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	0.9826666666666667	160
unadjusted	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.8173333333333334	320
unadjusted	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	0.964	240
unadjusted	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	320	0.9986666666666667	120
unadjusted	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	320	1.0	80
unadjusted	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	320	0.9933333333333333	120
unadjusted	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	320	1.0	80
