field	role	required_for	mandatory_for_selected_route	available	verified	n_nonmissing	source_file	issue	field_gate_pass	missing_action
subject_id	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
sample_id	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
visit_id	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
collection_date	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
days_from_baseline	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
compartment	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	P2_REJECT_IF_MISSING
cell_type_or_bulk	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
ms_course	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
course_adjudication_method	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
age_at_collection	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
sex	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
ancestry_or_genotype_pcs	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	GENETICS_ROLE_REJECT
edss_value	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
edss_assessment_date	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
edss_confirmed_change	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
t25fw_value	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
nine_hole_peg_value	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
progression_event	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
progression_definition	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
progression_confirmation_interval_days	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
pira_label	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
pira_definition	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_PIRA_ANALYSIS
relapse_onset_date	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_PIRA_IF_MISSING
relapse_recovery_date	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
steroid_start_date	P1	P1	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_PIRA_IF_MISSING
steroid_dose_and_route	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
infection_date_and_status	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
dmt_name	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
dmt_start_date	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
dmt_stop_date	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
dmt_dose_or_infusion_date	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
treatment_switch_reason	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
mri_date	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
new_enlarging_t2_count	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
gadolinium_enhancing_count	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
prl_or_slowly_expanding_lesion_id	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
prl_detection_protocol	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
prl_persistence_or_change	P1	P1	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REPORT_MISSING
expression_file	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
expression_scale	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
feature_annotation_file	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
feature_id_version	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
processing_batch	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
collection_site	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
library_or_array_platform	P1	P1;P2	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REJECT_ROLE
rin_or_quality_metric	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
library_depth_or_array_qc	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	REQUEST_ADDENDUM
cell_count_file	P1	P1;P2	False	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	P2_REJECT_IF_BULK_AND_MISSING
data_use_terms	P1	all	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	QUARANTINE_ONLY
sha256	P1	all	True	True	True	24	analysis/v54_progression_p1_intake_to_lock/runs/reference_lock/inputs/SYNTHETIC_ONLY.tsv	none	True	QUARANTINE_ONLY
