design	analysis_route	n_per_outcome_group_per_compartment	n_unique_subjects	n_samples	interaction_effect_sd	paired_residual_correlation	composition_imbalance	composition_reliability	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_interaction_estimate_across_seeds	median_interaction_se_across_seeds	maximum_design_condition
paired	composition_adjusted	10	20	40	0.0	0.0	0.0	0.7	0.05	750	750	1.0	0.05466666666666667	0.040550225604286796	0.07332180652695748	0.044	0.068	-0.04023042822975899	0.6605521524845859	25.231442895941722
paired	composition_adjusted	10	20	40	0.0	0.0	0.0	1.0	0.05	750	750	1.0	0.04666666666666667	0.03374375637979117	0.06420980926279282	0.032	0.056	0.00738110539109485	0.6350743581346212	13.82084261718916
paired	composition_adjusted	10	20	40	0.0	0.0	0.5	0.7	0.05	750	750	1.0	0.06933333333333333	0.05326235016321469	0.08979353719724008	0.052	0.08	0.17942903719766734	0.6758325901689005	25.40320863092017
paired	composition_adjusted	10	20	40	0.0	0.0	0.5	1.0	0.05	750	750	1.0	0.050666666666666665	0.03713392397865151	0.06877887490826262	0.036	0.072	0.04487230240278012	0.644797281945453	23.15875938973011
paired	composition_adjusted	10	20	40	0.0	0.5	0.0	0.7	0.05	750	750	1.0	0.044	0.03149969729595624	0.06114771285040764	0.036	0.048	0.007994075385953259	0.48201686932879995	21.647317485168053
paired	composition_adjusted	10	20	40	0.0	0.5	0.0	1.0	0.05	750	750	1.0	0.044	0.03149969729595624	0.06114771285040764	0.032	0.056	0.004304317350650233	0.4495096809471125	14.947651242459653
paired	composition_adjusted	10	20	40	0.0	0.5	0.5	0.7	0.05	750	750	1.0	0.056	0.04169433607579553	0.07483077380355879	0.04	0.084	0.16595096643276666	0.5033954062347827	23.777305157100933
paired	composition_adjusted	10	20	40	0.0	0.5	0.5	1.0	0.05	750	750	1.0	0.04533333333333334	0.03262003557583651	0.06268045231863743	0.036	0.06	0.008313351286286796	0.45614255566451634	20.215387538951532
paired	composition_adjusted	10	20	40	0.0	0.8	0.0	0.7	0.05	750	750	1.0	0.04933333333333333	0.036000821007074746	0.06725890013172933	0.036	0.068	0.027062106962356322	0.33957761997250246	16.943189494788136
paired	composition_adjusted	10	20	40	0.0	0.8	0.0	1.0	0.05	750	750	1.0	0.044	0.03149969729595624	0.06114771285040764	0.024	0.056	0.005974149659336892	0.2887932296353457	15.42491745710328
paired	composition_adjusted	10	20	40	0.0	0.8	0.5	0.7	0.05	750	750	1.0	0.064	0.048609354814637365	0.08383422155337723	0.056	0.076	0.15770377395640514	0.3465408172359612	25.64865746873776
paired	composition_adjusted	10	20	40	0.0	0.8	0.5	1.0	0.05	750	750	1.0	0.042666666666666665	0.030382884716889838	0.059611447681364005	0.04	0.048	0.036364354288473066	0.29797448418837735	21.397697068772473
paired	composition_adjusted	10	20	40	0.4	0.0	0.0	0.7	0.05	750	750	1.0	0.08266666666666667	0.0650207424573	0.10456592238425527	0.068	0.108	0.41312333444746485	0.6703273706553778	19.594027255127973
paired	composition_adjusted	10	20	40	0.4	0.0	0.0	1.0	0.05	750	750	1.0	0.092	0.07334244284087031	0.11481576623745528	0.08	0.108	0.42114688459915384	0.629549998064117	14.697034853773548
paired	composition_adjusted	10	20	40	0.4	0.0	0.5	0.7	0.05	750	750	1.0	0.13466666666666666	0.1120887793448195	0.16096791767302757	0.124	0.148	0.5676050260382384	0.6674476209251492	18.917332919914365
paired	composition_adjusted	10	20	40	0.4	0.0	0.5	1.0	0.05	750	750	1.0	0.08266666666666667	0.0650207424573	0.10456592238425527	0.072	0.088	0.39975284420457846	0.6588262920302286	19.26808276208111
paired	composition_adjusted	10	20	40	0.4	0.5	0.0	0.7	0.05	750	750	1.0	0.10133333333333333	0.08172741660079268	0.12500233671430325	0.092	0.112	0.4477307545882854	0.4820368637614789	17.44751049290875
paired	composition_adjusted	10	20	40	0.4	0.5	0.0	1.0	0.05	750	750	1.0	0.116	0.09501388908825027	0.14089971945605617	0.092	0.152	0.3710105195166939	0.45679987845115966	14.563349102723503
paired	composition_adjusted	10	20	40	0.4	0.5	0.5	0.7	0.05	750	750	1.0	0.16933333333333334	0.14419265273792353	0.19784406573078478	0.156	0.184	0.5246867019940198	0.48607535768267596	23.251972995352325
paired	composition_adjusted	10	20	40	0.4	0.5	0.5	1.0	0.05	750	750	1.0	0.152	0.12808330226976739	0.1794634054735103	0.132	0.184	0.46117657717972255	0.4712741235120599	25.669384546434696
paired	composition_adjusted	10	20	40	0.4	0.8	0.0	0.7	0.05	750	750	1.0	0.17333333333333334	0.1479249463774906	0.2020710053355479	0.156	0.192	0.386945582609251	0.34189344596836646	19.94109469981671
paired	composition_adjusted	10	20	40	0.4	0.8	0.0	1.0	0.05	750	750	1.0	0.248	0.21842959630705144	0.2801387093001496	0.224	0.268	0.39347827228754534	0.2873722662315735	17.12028985193858
paired	composition_adjusted	10	20	40	0.4	0.8	0.5	0.7	0.05	750	750	1.0	0.2906666666666667	0.25930197899981644	0.32416481454690615	0.268	0.332	0.5029280740524531	0.35066403522551765	30.543450733978403
paired	composition_adjusted	10	20	40	0.4	0.8	0.5	1.0	0.05	750	750	1.0	0.26266666666666666	0.2324374163360038	0.29531474450040773	0.252	0.272	0.4387491638117863	0.29751965686810045	32.05060551698406
paired	composition_adjusted	10	20	40	0.7	0.0	0.0	0.7	0.05	750	750	1.0	0.18933333333333333	0.16290487064442952	0.21892801404592951	0.184	0.196	0.7406010065736904	0.6558618892061361	17.244045271668384
paired	composition_adjusted	10	20	40	0.7	0.0	0.0	1.0	0.05	750	750	1.0	0.18266666666666667	0.1566536508917158	0.21191384505809302	0.16	0.216	0.7323387131172822	0.6358683084303353	13.612727221743206
paired	composition_adjusted	10	20	40	0.7	0.0	0.5	0.7	0.05	750	750	1.0	0.19866666666666666	0.17167841237499826	0.2287260165521311	0.176	0.228	0.8215348689447188	0.6715774904655267	22.450391059771185
paired	composition_adjusted	10	20	40	0.7	0.0	0.5	1.0	0.05	750	750	1.0	0.15733333333333333	0.1330285223565666	0.1851304963791513	0.132	0.172	0.758455374193876	0.6572331173484021	26.921375477994864
paired	composition_adjusted	10	20	40	0.7	0.5	0.0	0.7	0.05	750	750	1.0	0.27466666666666667	0.24393174419198893	0.30769811637741307	0.26	0.292	0.7304270863172436	0.4907982706338313	20.34909935872132
paired	composition_adjusted	10	20	40	0.7	0.5	0.0	1.0	0.05	750	750	1.0	0.31066666666666665	0.278582717778615	0.3446802419897582	0.296	0.32	0.6834532986275444	0.4557739654447991	20.721508428428876
paired	composition_adjusted	10	20	40	0.7	0.5	0.5	0.7	0.05	750	750	1.0	0.364	0.3303391606416829	0.3990469090510923	0.344	0.388	0.8183048323745664	0.491509387785705	23.00613397131837
