event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	alpha	minimum_n_noise_0	power_n240_noise_0	minimum_n_noise_05	power_n240_noise_05	minimum_n_noise_10	power_n240_noise_10
0.15	1.25	0.0	1	0.7	0.05	not_reached	0.1666666666666666	not_reached	0.136	not_reached	0.1066666666666666
0.15	1.25	0.0	2	0.7	0.05	not_reached	0.1893333333333333	not_reached	0.1446666666666666	not_reached	0.1233333333333333
0.15	1.25	0.2	1	0.7	0.05	not_reached	0.1393333333333333	not_reached	0.0913333333333333	not_reached	0.0746666666666666
0.15	1.25	0.2	2	0.7	0.05	not_reached	0.1546666666666666	not_reached	0.1233333333333333	not_reached	0.1046666666666666
0.15	1.5	0.0	1	0.7	0.05	not_reached	0.4453333333333333	not_reached	0.3446666666666667	not_reached	0.262
0.15	1.5	0.0	2	0.7	0.05	not_reached	0.5086666666666667	not_reached	0.3513333333333333	not_reached	0.2686666666666666
0.15	1.5	0.2	1	0.7	0.05	not_reached	0.3573333333333333	not_reached	0.2526666666666666	not_reached	0.192
0.15	1.5	0.2	2	0.7	0.05	not_reached	0.4386666666666666	not_reached	0.3266666666666666	not_reached	0.2226666666666666
0.15	2.0	0.0	1	0.7	0.05	240	0.8746666666666667	not_reached	0.7106666666666667	not_reached	0.576
0.15	2.0	0.0	2	0.7	0.05	240	0.9026666666666666	not_reached	0.7926666666666666	not_reached	0.6386666666666667
0.15	2.0	0.2	1	0.7	0.05	not_reached	0.7586666666666667	not_reached	0.602	not_reached	0.4513333333333333
0.15	2.0	0.2	2	0.7	0.05	240	0.834	not_reached	0.6626666666666666	not_reached	0.516
0.3	1.25	0.0	1	0.7	0.05	not_reached	0.2406666666666666	not_reached	0.1966666666666666	not_reached	0.162
0.3	1.25	0.0	2	0.7	0.05	not_reached	0.2833333333333333	not_reached	0.2353333333333333	not_reached	0.18
0.3	1.25	0.2	1	0.7	0.05	not_reached	0.212	not_reached	0.162	not_reached	0.122
0.3	1.25	0.2	2	0.7	0.05	not_reached	0.254	not_reached	0.1953333333333333	not_reached	0.164
0.3	1.5	0.0	1	0.7	0.05	not_reached	0.6513333333333333	not_reached	0.5313333333333333	not_reached	0.4353333333333333
0.3	1.5	0.0	2	0.7	0.05	not_reached	0.7233333333333334	not_reached	0.6046666666666667	not_reached	0.504
0.3	1.5	0.2	1	0.7	0.05	not_reached	0.5553333333333333	not_reached	0.4406666666666666	not_reached	0.3393333333333333
0.3	1.5	0.2	2	0.7	0.05	not_reached	0.608	not_reached	0.532	not_reached	0.444
0.3	2.0	0.0	1	0.7	0.05	160	0.97	240	0.9313333333333332	240	0.8446666666666667
0.3	2.0	0.0	2	0.7	0.05	120	0.9753333333333334	160	0.9573333333333334	240	0.8926666666666667
0.3	2.0	0.2	1	0.7	0.05	160	0.9313333333333332	240	0.8526666666666667	not_reached	0.7553333333333333
0.3	2.0	0.2	2	0.7	0.05	160	0.9573333333333334	240	0.9026666666666666	240	0.802
