n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	label_noise	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n_across_seeds	median_events_across_seeds	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability
40	0.15	1.0	0.0	1	0.7	0.1	0.05	1500	1432	0.9546666666666667	40.0	9.0	0.034666666666666665	0.026533490787242278	0.0451771660696733	0.026	0.04
40	0.15	1.0	0.0	2	0.7	0.1	0.05	1500	1433	0.9553333333333334	40.0	9.0	0.03133333333333333	0.023644330844925662	0.041416688883457786	0.028	0.036
40	0.15	1.0	0.2	1	0.7	0.1	0.05	1500	1284	0.856	32.0	7.0	0.027333333333333334	0.02021183428351895	0.03686962089062596	0.016	0.034
40	0.15	1.0	0.2	2	0.7	0.1	0.05	1500	1292	0.8613333333333333	32.0	7.0	0.024666666666666667	0.017948070059721124	0.033813675411598076	0.018	0.032
40	0.15	1.25	0.0	1	0.7	0.1	0.05	1500	1433	0.9553333333333334	40.0	9.0	0.032	0.0242202185354456	0.042170728618644286	0.022	0.04
40	0.15	1.25	0.0	2	0.7	0.1	0.05	1500	1439	0.9593333333333334	40.0	9.0	0.032	0.0242202185354456	0.042170728618644286	0.024	0.038
40	0.15	1.25	0.2	1	0.7	0.1	0.05	1500	1293	0.862	32.0	7.0	0.022	0.01570756221797206	0.030734473550521446	0.008	0.032
40	0.15	1.25	0.2	2	0.7	0.1	0.05	1500	1307	0.8713333333333333	32.0	7.0	0.025333333333333333	0.01851196864747831	0.034579704249547316	0.024	0.028
40	0.15	1.5	0.0	1	0.7	0.1	0.05	1500	1427	0.9513333333333334	40.0	9.0	0.050666666666666665	0.040670651803700913	0.06295826327016886	0.036	0.068
40	0.15	1.5	0.0	2	0.7	0.1	0.05	1500	1446	0.964	40.0	9.0	0.07066666666666667	0.058764922834676686	0.08476181501038582	0.064	0.084
40	0.15	1.5	0.2	1	0.7	0.1	0.05	1500	1276	0.8506666666666667	32.0	7.0	0.03866666666666667	0.030029770987519036	0.049660450423635094	0.036	0.04
40	0.15	1.5	0.2	2	0.7	0.1	0.05	1500	1272	0.848	32.0	7.0	0.042666666666666665	0.03355366749284015	0.054116118472552516	0.034	0.052
40	0.15	2.0	0.0	1	0.7	0.1	0.05	1500	1434	0.956	40.0	9.0	0.10266666666666667	0.08830761670173384	0.11905563757723706	0.1	0.108
40	0.15	2.0	0.0	2	0.7	0.1	0.05	1500	1442	0.9613333333333334	40.0	9.0	0.112	0.09702127945789121	0.12896095878096964	0.098	0.12
40	0.15	2.0	0.2	1	0.7	0.1	0.05	1500	1294	0.8626666666666667	32.0	7.0	0.07	0.05815622865824503	0.08404058176111108	0.054	0.086
40	0.15	2.0	0.2	2	0.7	0.1	0.05	1500	1287	0.858	32.0	7.0	0.08266666666666667	0.06977397936285945	0.0976914521449187	0.066	0.096
40	0.3	1.0	0.0	1	0.7	0.1	0.05	1500	1499	0.9993333333333333	40.0	13.0	0.03933333333333333	0.030615277481382798	0.05040487135547774	0.026	0.054
40	0.3	1.0	0.0	2	0.7	0.1	0.05	1500	1498	0.9986666666666667	40.0	14.0	0.04	0.031201530510343935	0.05114854575222304	0.032	0.046
40	0.3	1.0	0.2	1	0.7	0.1	0.05	1500	1486	0.9906666666666667	32.0	11.0	0.04	0.031201530510343935	0.05114854575222304	0.038	0.044
40	0.3	1.0	0.2	2	0.7	0.1	0.05	1500	1488	0.992	32.0	11.0	0.038	0.029445029308207155	0.04891526467724054	0.036	0.04
40	0.3	1.25	0.0	1	0.7	0.1	0.05	1500	1499	0.9993333333333333	40.0	14.0	0.046	0.03650872245690122	0.05781070063702358	0.038	0.052
40	0.3	1.25	0.0	2	0.7	0.1	0.05	1500	1498	0.9986666666666667	40.0	14.0	0.052	0.04186463169739715	0.06442413822788547	0.046	0.056
40	0.3	1.25	0.2	1	0.7	0.1	0.05	1500	1491	0.994	32.0	11.0	0.044	0.03473379071821657	0.055595850098588945	0.028	0.054
40	0.3	1.25	0.2	2	0.7	0.1	0.05	1500	1482	0.988	32.0	11.0	0.038	0.029445029308207155	0.04891526467724054	0.024	0.054
