artifact	key	operator	expected	observed	pass
analysis/v54_progressive_stage_modules/summary.json	n_supported_modules	eq	0	0	True
analysis/v54_progression_lesion_state/summary.json	n_orthogonally_consistent_needs_data	eq	0	0	True
analysis/v54_transition_identifiability/summary.json	n_transition_identifiable	eq	0	0	True
analysis/v54_progression_intervention_direction_map/summary.json	n_target_revisit	eq	0	0	True
analysis/v54_progression_intervention_direction_map/summary.json	alphafold_context_used	eq	false	false	True
analysis/v54_multilineage_progression_review/summary.json	objections_changing_progression_or_target_verdict	eq	0	0	True
analysis/v54_post_result_morphology_multiplicity/summary.json	fully_adjusted_lysosomal_specificity_retained	eq	false	false	True
analysis/v54_post_result_morphology_multiplicity/summary.json	mutually_adjusted_two_endpoint_state_retained	eq	false	false	True
analysis/v54_foamy_donor_estimand_audit/summary.json	supported_within_donor_endpoints	eq	[]	[]	True
analysis/v54_progression_p2_interaction_power/summary.json	verdict	eq	"""P2_ROUTE_CONDITIONALLY_READY_REQUIRES_HIGH_FIDELITY_COMPOSITION"""	"""P2_ROUTE_CONDITIONALLY_READY_REQUIRES_HIGH_FIDELITY_COMPOSITION"""	True
analysis/v54_progression_p2_interaction_power/summary.json	calibration_families.2.maximum	gt	0.2	0.22266666666666668	True
analysis/v54_progression_event_time_assumption_robustness/summary.json	invalid_censoring_mechanisms	contains	"""joint_score_event_risk"""	"[""joint_score_event_risk""]"	True
analysis/v54_progression_competing_risk_robustness/summary.json	n_unique_simulated_cohorts	eq	129600	129600	True
analysis/v54_progression_competing_risk_robustness/summary.json	strict_cell_flag_but_family_compatible_mechanisms	contains	"""independent"""	"[""independent""]"	True
analysis/v54_progression_competing_risk_robustness/summary.json	invalid_competing_event_mechanisms	contains	"""joint_score_progression_risk"""	"[""joint_score_progression_risk""]"	True
analysis/v54_progression_visit_schedule_robustness/summary.json	n_unique_simulated_cohorts	eq	172800	172800	True
analysis/v54_progression_visit_schedule_robustness/summary.json	invalid_observed_route_mechanisms	contains	"""detected_visit_time|score_dependent_20pct"""	"[""detected_visit_time|joint_score_progression_risk_20pct"", ""detected_visit_time|score_dependent_20pct"", ""midpoint_imputed_time|joint_score_progression_risk_20pct"", ""midpoint_imputed_time|score_dependent_20pct""]"	True
analysis/v54_progression_visit_schedule_robustness/summary.json	invalid_observed_route_mechanisms	contains	"""detected_visit_time|joint_score_progression_risk_20pct"""	"[""detected_visit_time|joint_score_progression_risk_20pct"", ""detected_visit_time|score_dependent_20pct"", ""midpoint_imputed_time|joint_score_progression_risk_20pct"", ""midpoint_imputed_time|score_dependent_20pct""]"	True
analysis/v54_progression_visit_schedule_robustness/reference_check/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_repeated_score_reliability/summary.json	n_unique_simulated_cohorts	eq	216000	216000	True
analysis/v54_progression_repeated_score_reliability/summary.json	invalid_measurement_plans	eq	[]	[]	True
analysis/v54_progression_repeated_score_reliability/summary.json	n_materially_useful_repeat_cells	eq	16	16	True
analysis/v54_progression_repeated_score_reliability/summary.json	verdict	eq	"""REPEATS_HELP_ONLY_WHEN_ERROR_IS_SUFFICIENTLY_INDEPENDENT_AND_BASE_RELIABILITY_IS_LOW"""	"""REPEATS_HELP_ONLY_WHEN_ERROR_IS_SUFFICIENTLY_INDEPENDENT_AND_BASE_RELIABILITY_IS_LOW"""	True
analysis/v54_progression_multisite_transportability/summary.json	n_unique_simulated_cohorts	eq	115200	115200	True
analysis/v54_progression_multisite_transportability/summary.json	n_pooled_invalid_null_families	eq	2	2	True
analysis/v54_progression_multisite_transportability/summary.json	n_stratified_invalid_null_families	eq	0	0	True
analysis/v54_progression_multisite_transportability/summary.json	n_transport_ready_designs	eq	2	2	True
analysis/v54_progression_multisite_transportability/reference_check/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_design_synthesis/summary.json	n_requirements	eq	16	16	True
analysis/v54_progression_design_synthesis/summary.json	reference_total_n	eq	450	450	True
analysis/v54_progression_design_synthesis/summary.json	current_known_p1_eligible_cohorts	eq	0	0	True
analysis/v54_progression_design_synthesis/summary.json	verdict	eq	"""REFERENCE_DESIGN_SPECIFIED_BUT_NO_CURRENT_COHORT_ELIGIBLE"""	"""REFERENCE_DESIGN_SPECIFIED_BUT_NO_CURRENT_COHORT_ELIGIBLE"""	True
analysis/v54_progression_site_score_harmonization/summary.json	n_unique_simulated_cohorts	eq	129600	129600	True
analysis/v54_progression_site_score_harmonization/summary.json	n_invalid_null_families	eq	0	0	True
analysis/v54_progression_site_score_harmonization/summary.json	n_material_harmonization_gains	eq	6	6	True
analysis/v54_progression_site_score_harmonization/summary.json	verdict	eq	"""WITHIN_SITE_SCALING_IS_REQUIRED_WHEN_ASSAY_SCALES_DIFFER"""	"""WITHIN_SITE_SCALING_IS_REQUIRED_WHEN_ASSAY_SCALES_DIFFER"""	True
analysis/v54_progression_site_score_calibration_gate/summary.json	n_fixtures	eq	10	10	True
analysis/v54_progression_site_score_calibration_gate/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_enrollment_inflation/summary.json	n_synthetic_cohort_replicates	eq	122805000	122805000	True
analysis/v54_progression_enrollment_inflation/summary.json	reference_scenario.gross_total	eq	690	690	True
analysis/v54_progression_enrollment_inflation/summary.json	severe_loss_scenario.gross_total	eq	990	990	True
analysis/v54_progression_enrollment_inflation/summary.json	low_event_scenario.gross_total	eq	1380	1380	True
analysis/v54_progression_enrollment_inflation/summary.json	verdict	eq	"""CONDITIONAL_ENROLLMENT_LOOKUP_COMPLETE_NO_UNIVERSAL_N"""	"""CONDITIONAL_ENROLLMENT_LOOKUP_COMPLETE_NO_UNIVERSAL_N"""	True
analysis/v54_progression_blinded_feasibility/summary.json	n_fixtures	eq	9	9	True
analysis/v54_progression_blinded_feasibility/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_information_monitor/summary.json	n_fixtures	eq	10	10	True
analysis/v54_progression_information_monitor/summary.json	efficacy_stopping_authority	eq	false	false	True
analysis/v54_progression_information_monitor/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_treatment_switch_estimand/summary.json	n_unique_simulated_cohorts	eq	72000	72000	True
analysis/v54_progression_treatment_switch_estimand/summary.json	n_invalid_null_families	eq	3	3	True
analysis/v54_progression_treatment_switch_estimand/summary.json	n_strict_cell_flag_but_family_compatible	eq	2	2	True
