latent_event_probability	molecular_progression_hr_per_latent_sd	single_measurement_reliability	planned_measurements	measurement_error_correlation	null_calibrated	minimum_n_reaching_80pct	power_at_n320	empirical_reliability_at_n320
0.15	1.5	0.4	1	0.0	True	not_reached	0.25583333333333336	0.39934011574708034
0.15	1.5	0.4	2	0.0	True	not_reached	0.34833333333333333	0.5318181623097417
0.15	1.5	0.4	2	0.5	False	not_reached	0.3025	0.45747874028277485
0.15	1.5	0.4	3	0.0	True	not_reached	0.4075	0.6291868880901648
0.15	1.5	0.4	3	0.5	True	not_reached	0.34	0.49061643673222954
0.15	1.5	0.7	1	0.0	True	not_reached	0.43666666666666665	0.7008717837436922
0.15	1.5	0.7	2	0.0	False	not_reached	0.4975	0.799651505124263
0.15	1.5	0.7	2	0.5	True	not_reached	0.4725	0.7463853988446956
0.15	1.5	0.7	3	0.0	False	not_reached	0.5291666666666667	0.8565081307837871
0.15	1.5	0.7	3	0.5	False	not_reached	0.49916666666666665	0.7713895032223828
0.15	1.7	0.4	1	0.0	True	not_reached	0.3616666666666667	0.40195298246475425
0.15	1.7	0.4	2	0.0	True	not_reached	0.5441666666666667	0.5276876364350076
0.15	1.7	0.4	2	0.5	False	not_reached	0.4558333333333333	0.45609924135177626
0.15	1.7	0.4	3	0.0	True	not_reached	0.6133333333333333	0.6278702073801365
0.15	1.7	0.4	3	0.5	True	not_reached	0.5066666666666667	0.49172278599372515
0.15	1.7	0.7	1	0.0	True	not_reached	0.6225	0.7006951758577378
0.15	1.7	0.7	2	0.0	False	not_reached	0.755	0.7983483744337111
0.15	1.7	0.7	2	0.5	True	not_reached	0.7041666666666667	0.7464558605531304
0.15	1.7	0.7	3	0.0	False	not_reached	0.7991666666666667	0.8571809725867657
0.15	1.7	0.7	3	0.5	False	not_reached	0.7108333333333333	0.7708335785505052
0.3	1.5	0.4	1	0.0	True	not_reached	0.4033333333333333	0.39820164707224104
0.3	1.5	0.4	2	0.0	True	not_reached	0.5841666666666666	0.53038763972671
0.3	1.5	0.4	2	0.5	False	not_reached	0.4775	0.45637789336886264
0.3	1.5	0.4	3	0.0	True	not_reached	0.6683333333333333	0.6324399922097801
0.3	1.5	0.4	3	0.5	True	not_reached	0.5016666666666667	0.4871600009847139
0.3	1.5	0.7	1	0.0	True	not_reached	0.6625	0.7004734801484997
0.3	1.5	0.7	2	0.0	False	not_reached	0.7566666666666667	0.7983495653303618
0.3	1.5	0.7	2	0.5	True	not_reached	0.74	0.7449210622699922
0.3	1.5	0.7	3	0.0	False	not_reached	0.7891666666666667	0.8562197543913141
0.3	1.5	0.7	3	0.5	False	not_reached	0.7425	0.7698326563145383
0.3	1.7	0.4	1	0.0	True	not_reached	0.5783333333333334	0.39751499690658554
0.3	1.7	0.4	2	0.0	True	not_reached	0.7808333333333334	0.5314890676903548
0.3	1.7	0.4	2	0.5	False	not_reached	0.6925	0.4560027488025959
0.3	1.7	0.4	3	0.0	True	320	0.8466666666666667	0.6343826821447758
0.3	1.7	0.4	3	0.5	True	not_reached	0.7483333333333333	0.4909564331474403
0.3	1.7	0.7	1	0.0	True	320	0.8483333333333334	0.7003899999622025
0.3	1.7	0.7	2	0.0	False	not_reached	0.9516666666666667	0.7983170524284128
0.3	1.7	0.7	2	0.5	True	240	0.9091666666666667	0.7455582969432346
0.3	1.7	0.7	3	0.0	False	not_reached	0.9558333333333333	0.8566555017389414
0.3	1.7	0.7	3	0.5	False	not_reached	0.9283333333333333	0.7713321644131398
