single_measurement_reliability	planned_measurements	measurement_error_correlation	plan	n_null_cells	median_null_probability	maximum_null_probability	maximum_count	maximum_total	maximum_ci_low	maximum_ci_high	family_probability_maximum_at_least_observed	strict_cell_flag	invalid_by_frozen_rule
0.4	1	0.0	k1|error_corr_0.0	6	0.050833333333333335	0.059166666666666666	71	1200	0.0471715395740472	0.07397519262403075	0.41194221070972936	False	False
0.4	2	0.0	k2|error_corr_0.0	6	0.055	0.0575	69	1200	0.04568605530313232	0.07213798023028808	0.5694819663285983	False	False
0.4	2	0.5	k2|error_corr_0.5	6	0.05333333333333334	0.06333333333333334	76	1200	0.050897824447329904	0.07855564941239193	0.1300300660450029	True	False
0.4	3	0.0	k3|error_corr_0.0	6	0.045	0.050833333333333335	61	1200	0.0397759124281339	0.0647573364466563	0.9767414295249519	False	False
0.4	3	0.5	k3|error_corr_0.5	6	0.050833333333333335	0.056666666666666664	68	1200	0.044944448197728686	0.07121823900336294	0.6488430814938582	False	False
0.7	1	0.0	k1|error_corr_0.0	6	0.04958333333333333	0.06166666666666667	74	1200	0.04940522288254483	0.07672555431251947	0.21790582401395275	False	False
0.7	2	0.0	k2|error_corr_0.0	6	0.04875	0.065	78	1200	0.052393091788581946	0.08038307873579742	0.07268083601121678	True	False
0.7	2	0.5	k2|error_corr_0.5	6	0.05375	0.058333333333333334	70	1200	0.0464284241141606	0.07305695975158857	0.4894316308209765	False	False
0.7	3	0.0	k3|error_corr_0.0	6	0.050416666666666665	0.06333333333333334	76	1200	0.050897824447329904	0.07855564941239193	0.1300300660450029	True	False
0.7	3	0.5	k3|error_corr_0.5	6	0.051250000000000004	0.0625	75	1200	0.050151184342747165	0.07764094118464589	0.1697804948010776	True	False
