latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	minimum_n_reaching_80pct	power_at_n320	median_events_at_n320	median_unconfirmed_at_n320
0.15	1.7	0.25	complete	detected_visit_time	not_reached	0.5666666666666667	39.0	4.0
0.15	1.7	0.25	complete	midpoint_imputed_time	not_reached	0.5666666666666667	39.0	4.0
0.15	1.7	0.25	independent_20pct	detected_visit_time	not_reached	0.5433333333333333	36.0	7.0
0.15	1.7	0.25	independent_20pct	midpoint_imputed_time	not_reached	0.5491666666666667	36.0	7.0
0.15	1.7	0.5	complete	detected_visit_time	not_reached	0.5133333333333333	34.0	9.0
0.15	1.7	0.5	complete	midpoint_imputed_time	not_reached	0.5133333333333333	34.0	9.0
0.15	1.7	0.5	independent_20pct	detected_visit_time	not_reached	0.43916666666666665	29.0	15.0
0.15	1.7	0.5	independent_20pct	midpoint_imputed_time	not_reached	0.445	29.0	15.0
0.15	1.7	1.0	complete	detected_visit_time	not_reached	0.36833333333333335	23.0	20.0
0.15	1.7	1.0	complete	midpoint_imputed_time	not_reached	0.36833333333333335	23.0	20.0
0.15	1.7	1.0	independent_20pct	detected_visit_time	not_reached	0.23	15.0	28.0
0.15	1.7	1.0	independent_20pct	midpoint_imputed_time	not_reached	0.23	15.0	28.0
0.3	1.7	0.25	complete	detected_visit_time	320	0.8291666666666667	79.0	8.0
0.3	1.7	0.25	complete	midpoint_imputed_time	320	0.8291666666666667	79.0	8.0
0.3	1.7	0.25	independent_20pct	detected_visit_time	not_reached	0.7883333333333333	74.0	12.0
0.3	1.7	0.25	independent_20pct	midpoint_imputed_time	not_reached	0.7941666666666667	74.0	12.0
0.3	1.7	0.5	complete	detected_visit_time	not_reached	0.7733333333333333	70.0	16.0
0.3	1.7	0.5	complete	midpoint_imputed_time	not_reached	0.7733333333333333	70.0	16.0
0.3	1.7	0.5	independent_20pct	detected_visit_time	not_reached	0.7058333333333333	60.0	26.0
0.3	1.7	0.5	independent_20pct	midpoint_imputed_time	not_reached	0.7183333333333334	60.0	26.0
0.3	1.7	1.0	complete	detected_visit_time	not_reached	0.5916666666666667	51.0	35.0
0.3	1.7	1.0	complete	midpoint_imputed_time	not_reached	0.5916666666666667	51.0	35.0
0.3	1.7	1.0	independent_20pct	detected_visit_time	not_reached	0.39916666666666667	33.0	54.0
0.3	1.7	1.0	independent_20pct	midpoint_imputed_time	not_reached	0.39916666666666667	33.0	54.0
