n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_analyzed_events_across_seeds	median_latent_events_across_seeds	median_unconfirmed_latent_events_across_seeds	median_detection_delay_across_seeds	achieved_missing_visit_probability
120	0.15	1.0	0.25	complete	ascertained_latent_time_oracle	1200	1121	0.9341666666666667	50	0.041666666666666664	0.03174687775074607	0.0545115394684276	0.03	0.0475	0.024166666666666666	0.0175	0.07817137409526417	0.02372528138618001	108.0	14.0	16.0	2.0	0.12480322503165242	0.0
120	0.15	1.0	0.25	complete	detected_visit_time	1200	1121	0.9341666666666667	49	0.04083333333333333	0.03102354197066147	0.05357352691618343	0.03	0.0475	0.024166666666666666	0.016666666666666666	0.08739858688497051	0.024336014051350146	108.0	14.0	16.0	2.0	0.12480322503165242	0.0
120	0.15	1.0	0.25	complete	full_latent_time_oracle	1200	1161	0.9675	49	0.04083333333333333	0.03102354197066147	0.05357352691618343	0.0275	0.0525	0.025	0.015833333333333335	0.048753549025605	0.013047960344368201	108.0	16.0	16.0	2.0	0.12480322503165242	0.0
120	0.15	1.0	0.25	complete	midpoint_imputed_time	1200	1121	0.9341666666666667	49	0.04083333333333333	0.03102354197066147	0.05357352691618343	0.03	0.0475	0.024166666666666666	0.016666666666666666	0.08739858688497051	0.024336014051350146	108.0	14.0	16.0	2.0	0.12480322503165242	0.0
120	0.15	1.0	0.25	independent_20pct	ascertained_latent_time_oracle	1200	1057	0.8808333333333334	47	0.03916666666666667	0.029580595279676058	0.05169377694251129	0.0225	0.055	0.016666666666666666	0.0225	0.03985614173052814	0.01108761523013192	108.0	13.0	16.0	3.0	0.15449259669777965	0.20042187499999997
120	0.15	1.0	0.25	independent_20pct	detected_visit_time	1200	1057	0.8808333333333334	44	0.03666666666666667	0.027426059843153	0.048864267382048014	0.0225	0.05	0.015	0.021666666666666667	0.02874868786244835	0.008265126927455685	108.0	13.0	16.0	3.0	0.15449259669777965	0.20042187499999997
120	0.15	1.0	0.25	independent_20pct	full_latent_time_oracle	1200	1172	0.9766666666666667	44	0.03666666666666667	0.027426059843153	0.048864267382048014	0.0325	0.0425	0.015833333333333335	0.020833333333333332	0.0051011719598346335	0.0017493374861926574	108.0	16.0	16.0	3.0	0.15449259669777965	0.20042187499999997
120	0.15	1.0	0.25	independent_20pct	midpoint_imputed_time	1200	1057	0.8808333333333334	49	0.04083333333333333	0.03102354197066147	0.05357352691618343	0.03	0.0525	0.016666666666666666	0.024166666666666666	0.047064179639545935	0.013392578567747048	108.0	13.0	16.0	3.0	0.15449259669777965	0.20042187499999997
120	0.15	1.0	0.25	joint_score_progression_risk_20pct	ascertained_latent_time_oracle	1200	885	0.7375	65	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.04	0.07	0.006666666666666667	0.0475	-0.3698086495741849	-0.12042447648444408	108.0	12.0	16.0	4.0	0.14638476626898891	0.20044618055555555
120	0.15	1.0	0.25	joint_score_progression_risk_20pct	detected_visit_time	1200	885	0.7375	60	0.05	0.039041012521836546	0.06383088802062488	0.035	0.0675	0.005833333333333334	0.04416666666666667	-0.3712823404137224	-0.11996573450089543	108.0	12.0	16.0	4.0	0.14638476626898891	0.20044618055555555
