document	acronym	count	found_in_glossary
README.md	AUC	1	yes
README.md	FAQ	2	no
README.md	MS	3	yes
README.md	SVG	1	yes
COLLABORATOR_BRIEF_V55.md	APC	2	yes
COLLABORATOR_BRIEF_V55.md	CD44	1	yes
COLLABORATOR_BRIEF_V55.md	CXCR4	1	yes
COLLABORATOR_BRIEF_V55.md	GPR25	1	yes
COLLABORATOR_BRIEF_V55.md	HLA-II	1	yes
COLLABORATOR_BRIEF_V55.md	HTML	1	yes
COLLABORATOR_BRIEF_V55.md	KIF21B	1	yes
COLLABORATOR_BRIEF_V55.md	MS	1	yes
COLLABORATOR_BRIEF_V55.md	MS-UC	1	yes
COLLABORATOR_BRIEF_V55.md	PTGER4	1	yes
COLLABORATOR_BRIEF_V55.md	ZMIZ1	1	yes
MS_RESEARCH_EXPLAINED.md	AI	1	yes
MS_RESEARCH_EXPLAINED.md	APC	3	yes
MS_RESEARCH_EXPLAINED.md	AUC	2	yes
MS_RESEARCH_EXPLAINED.md	CD44	3	yes
MS_RESEARCH_EXPLAINED.md	CD74	1	yes
MS_RESEARCH_EXPLAINED.md	CXCR4	3	yes
MS_RESEARCH_EXPLAINED.md	GPR25	3	yes
MS_RESEARCH_EXPLAINED.md	HLA-II	2	yes
MS_RESEARCH_EXPLAINED.md	IFN	1	yes
MS_RESEARCH_EXPLAINED.md	KIF21B	2	yes
MS_RESEARCH_EXPLAINED.md	MIF	1	yes
MS_RESEARCH_EXPLAINED.md	MS	11	yes
MS_RESEARCH_EXPLAINED.md	OXPHOS	1	yes
MS_RESEARCH_EXPLAINED.md	PTGER4	2	yes
MS_RESEARCH_EXPLAINED.md	QTL	1	yes
MS_RESEARCH_EXPLAINED.md	STAT1	1	yes
MS_RESEARCH_EXPLAINED.md	ZMIZ1	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	APC	3	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	CD44	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	CD74	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	CXCR4	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	GEO	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	GPCR	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	GPR25	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	HLA-II	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	ID	1	no
OPEN_PROBLEMS_FOR_COLLABORATORS.md	IFN	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	KIF21B	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	MIF	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	MS	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	PBMC	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	PTGER4	2	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	QTL	1	yes
OPEN_PROBLEMS_FOR_COLLABORATORS.md	ZMIZ1	1	yes
HOW_TO_CONTRIBUTE_IDEAS.md	AI	2	yes
HOW_TO_CONTRIBUTE_IDEAS.md	CV	1	yes
HOW_TO_CONTRIBUTE_IDEAS.md	URL	2	no
WORKED_SUBMISSION_LIFECYCLE.md	ID	1	no
WORKED_SUBMISSION_LIFECYCLE.md	MS	1	yes
REVIEW_RESPONSE_TEMPLATES.md	ID	1	no
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	APC	2	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	GPR25	3	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	HLA-II	2	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	KIF21B	1	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	MS	2	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	MS-UC	1	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	OXPHOS	1	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	PTGER4	2	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	QTL	1	yes
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	STAT1	1	yes
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	APC	1	yes
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	AUC	6	yes
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	FDR	1	yes
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	FWER	1	yes
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	HLA-II	1	yes
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	MS	3	yes
CASE_STUDY_BRAIN_BANK_CONFOUND.md	CD44	5	yes
CASE_STUDY_BRAIN_BANK_CONFOUND.md	CXCR4	5	yes
CASE_STUDY_BRAIN_BANK_CONFOUND.md	MS	13	yes
CASE_STUDY_GENETICS_REVERSALS.md	CSF	1	yes
CASE_STUDY_GENETICS_REVERSALS.md	GPR25	24	yes
CASE_STUDY_GENETICS_REVERSALS.md	KIF21B	11	yes
CASE_STUDY_GENETICS_REVERSALS.md	MS	13	yes
CASE_STUDY_GENETICS_REVERSALS.md	PTGER4	13	yes
CASE_STUDY_GENETICS_REVERSALS.md	QTL	6	yes
CASE_STUDY_MONITOR_VS_TARGET.md	APC	2	yes
CASE_STUDY_MONITOR_VS_TARGET.md	HLA-II	2	yes
CASE_STUDY_MONITOR_VS_TARGET.md	IFN	1	yes
CASE_STUDY_MONITOR_VS_TARGET.md	MS	7	yes
CASE_STUDY_MONITOR_VS_TARGET.md	STAT1	1	yes
CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md	CD44	2	yes
CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md	CSF	1	yes
CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md	CXCR4	2	yes
CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md	EDSS	1	yes
