n_participants	module_correlation	planted_standardized_paired_change	max_t_critical	power_mean	power_min_seed	power_max_seed	replicates	synthetic	causal_boundary
8	0.0	0.4	4.49583323063345	0.014133333333333333	0.0128	0.0156	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.0	0.6	4.49583323063345	0.03933333333333334	0.0368	0.0442	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.0	0.8	4.49583323063345	0.08473333333333333	0.0782	0.0896	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.0	1.0	4.49583323063345	0.16313333333333332	0.159	0.1666	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.0	1.2	4.49583323063345	0.27726666666666666	0.2734	0.2798	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.5	0.4	4.405339440913916	0.016666666666666666	0.015	0.019	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.5	0.6	4.405339440913916	0.04126666666666667	0.0374	0.0438	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.5	0.8	4.405339440913916	0.09713333333333334	0.0962	0.0988	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.5	1.0	4.405339440913916	0.17900000000000002	0.17	0.1866	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.5	1.2	4.405339440913916	0.2866	0.2816	0.2896	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.8	0.4	4.270306426394137	0.019866666666666664	0.0174	0.022	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.8	0.6	4.270306426394137	0.04673333333333333	0.0428	0.0504	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.8	0.8	4.270306426394137	0.107	0.1008	0.1114	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.8	1.0	4.270306426394137	0.1966	0.193	0.2	15000	True	temporal trajectory only; no treatment-effect attribution
8	0.8	1.2	4.270306426394137	0.3161333333333333	0.313	0.3196	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.0	0.4	4.057481286097267	0.0238	0.0234	0.0242	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.0	0.6	4.057481286097267	0.06393333333333334	0.058	0.0684	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.0	0.8	4.057481286097267	0.1567333333333333	0.1514	0.162	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.0	1.0	4.057481286097267	0.29519999999999996	0.287	0.3068	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.0	1.2	4.057481286097267	0.46546666666666664	0.4588	0.4768	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.5	0.4	3.9900141121376915	0.025333333333333333	0.0234	0.0272	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.5	0.6	3.9900141121376915	0.07153333333333332	0.0662	0.0776	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.5	0.8	3.9900141121376915	0.15833333333333335	0.1574	0.1598	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.5	1.0	3.9900141121376915	0.30519999999999997	0.301	0.3076	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.5	1.2	3.9900141121376915	0.4821333333333333	0.4782	0.4862	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.8	0.4	3.807213731985914	0.030666666666666665	0.0302	0.031	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.8	0.6	3.807213731985914	0.08733333333333333	0.0846	0.0892	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.8	0.8	3.807213731985914	0.18993333333333332	0.1864	0.1948	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.8	1.0	3.807213731985914	0.34813333333333335	0.3394	0.3556	15000	True	temporal trajectory only; no treatment-effect attribution
10	0.8	1.2	3.807213731985914	0.5353333333333334	0.53	0.5392	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.0	0.4	3.6076003154871175	0.0476	0.0456	0.0506	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.0	0.6	3.6076003154871175	0.1605333333333333	0.1586	0.1624	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.0	0.8	3.6076003154871175	0.36060000000000003	0.3592	0.3614	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.0	1.0	3.6076003154871175	0.6038	0.5984	0.6066	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.0	1.2	3.6076003154871175	0.8236666666666667	0.8208	0.826	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.5	0.4	3.5165700998360125	0.056	0.0552	0.057	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.5	0.6	3.5165700998360125	0.17753333333333335	0.171	0.1832	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.5	0.8	3.5165700998360125	0.3877333333333333	0.3858	0.3894	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.5	1.0	3.5165700998360125	0.6405333333333334	0.634	0.6476	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.5	1.2	3.5165700998360125	0.8393333333333333	0.838	0.8408	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.8	0.4	3.3418568448121495	0.06946666666666666	0.0672	0.0716	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.8	0.6	3.3418568448121495	0.20879999999999999	0.204	0.2168	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.8	0.8	3.3418568448121495	0.44480000000000003	0.4412	0.4504	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.8	1.0	3.3418568448121495	0.6906	0.6856	0.6932	15000	True	temporal trajectory only; no treatment-effect attribution
15	0.8	1.2	3.3418568448121495	0.8761333333333333	0.874	0.8802	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.0	0.4	3.4117452384889777	0.07646666666666667	0.0684	0.0814	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.0	0.6	3.4117452384889777	0.2778	0.2698	0.2828	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.0	0.8	3.4117452384889777	0.5761999999999999	0.5726	0.582	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.0	1.0	3.4117452384889777	0.8316666666666667	0.8252	0.8386	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.0	1.2	3.4117452384889777	0.9621333333333334	0.9606	0.9644	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.5	0.4	3.339145659286383	0.09273333333333333	0.0864	0.099	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.5	0.6	3.339145659286383	0.29540000000000005	0.2914	0.3022	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.5	0.8	3.339145659286383	0.5915333333333334	0.5904	0.5938	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.5	1.0	3.339145659286383	0.8510666666666666	0.847	0.8568	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.5	1.2	3.339145659286383	0.9672000000000001	0.9636	0.9704	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.8	0.4	3.1279160508566908	0.128	0.126	0.1312	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.8	0.6	3.1279160508566908	0.35840000000000005	0.3462	0.372	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.8	0.8	3.1279160508566908	0.665	0.6608	0.6672	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.8	1.0	3.1279160508566908	0.8956666666666667	0.8944	0.8976	15000	True	temporal trajectory only; no treatment-effect attribution
20	0.8	1.2	3.1279160508566908	0.9768666666666667	0.975	0.9778	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.0	0.4	3.2579795877071236	0.1726	0.1664	0.1758	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.0	0.6	3.2579795877071236	0.5193333333333333	0.5142	0.5286	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.0	0.8	3.2579795877071236	0.8548	0.8532	0.8578	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.0	1.0	3.2579795877071236	0.9813999999999999	0.9782	0.983	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.0	1.2	3.2579795877071236	0.9991333333333333	0.9988	0.9998	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.5	0.4	3.1614294259465936	0.18846666666666667	0.1846	0.1932	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.5	0.6	3.1614294259465936	0.5556	0.5492	0.5654	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.5	0.8	3.1614294259465936	0.8837333333333334	0.8808	0.887	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.5	1.0	3.1614294259465936	0.9843333333333334	0.9828	0.9862	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.5	1.2	3.1614294259465936	0.9989333333333333	0.9986	0.9994	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.8	0.4	2.9630334054650933	0.24619999999999997	0.2382	0.262	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.8	0.6	2.9630334054650933	0.6372	0.632	0.6412	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.8	0.8	2.9630334054650933	0.9119333333333334	0.9084	0.914	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.8	1.0	2.9630334054650933	0.9908	0.9904	0.9912	15000	True	temporal trajectory only; no treatment-effect attribution
30	0.8	1.2	2.9630334054650933	0.9997333333333334	0.9994	1.0	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.0	0.4	3.1909892027344564	0.27013333333333334	0.2636	0.2742	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.0	0.6	3.1909892027344564	0.7279333333333334	0.7184	0.737	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.0	0.8	3.1909892027344564	0.9610666666666666	0.96	0.9626	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.0	1.0	3.1909892027344564	0.9982666666666667	0.9976	0.9986	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.0	1.2	3.1909892027344564	1.0	1.0	1.0	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.5	0.4	3.091075306659003	0.3084	0.3048	0.314	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.5	0.6	3.091075306659003	0.7543333333333333	0.7536	0.7554	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.5	0.8	3.091075306659003	0.9701333333333334	0.9694	0.9712	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.5	1.0	3.091075306659003	0.9988666666666667	0.9986	0.9994	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.5	1.2	3.091075306659003	1.0	1.0	1.0	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.8	0.4	2.8731673983152493	0.3844	0.3794	0.3898	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.8	0.6	2.8731673983152493	0.8201333333333333	0.8174	0.824	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.8	0.8	2.8731673983152493	0.9818666666666666	0.9808	0.9836	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.8	1.0	2.8731673983152493	0.9998	0.9996	1.0	15000	True	temporal trajectory only; no treatment-effect attribution
40	0.8	1.2	2.8731673983152493	1.0	1.0	1.0	15000	True	temporal trajectory only; no treatment-effect attribution
