seed	effect_scale	true_noise_multiplier	check	status
57401	0.80	0.75	context_harm_le_0.05	PASS
57401	0.80	0.75	any_uniform_rescue_ge_0.80	PASS
57401	0.80	0.75	precision_ge_0.90	PASS
57401	0.80	0.75	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	0.80	0.75	abstention_le_0.10	PASS
57401	0.80	1.00	context_harm_le_0.05	PASS
57401	0.80	1.00	any_uniform_rescue_ge_0.80	PASS
57401	0.80	1.00	precision_ge_0.90	PASS
57401	0.80	1.00	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	0.80	1.00	abstention_le_0.10	PASS
57401	0.80	1.25	context_harm_le_0.05	PASS
57401	0.80	1.25	any_uniform_rescue_ge_0.80	PASS
57401	0.80	1.25	precision_ge_0.90	PASS
57401	0.80	1.25	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	0.80	1.25	abstention_le_0.10	PASS
57401	0.80	1.50	context_harm_le_0.05	PASS
57401	0.80	1.50	any_uniform_rescue_ge_0.80	PASS
57401	0.80	1.50	precision_ge_0.90	PASS
57401	0.80	1.50	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	0.80	1.50	abstention_le_0.10	PASS
57401	1.00	0.75	context_harm_le_0.05	PASS
57401	1.00	0.75	any_uniform_rescue_ge_0.80	PASS
57401	1.00	0.75	precision_ge_0.90	PASS
57401	1.00	0.75	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	1.00	0.75	abstention_le_0.10	PASS
57401	1.00	1.00	context_harm_le_0.05	PASS
57401	1.00	1.00	any_uniform_rescue_ge_0.80	PASS
57401	1.00	1.00	precision_ge_0.90	PASS
57401	1.00	1.00	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	1.00	1.00	abstention_le_0.10	PASS
57401	1.00	1.25	context_harm_le_0.05	PASS
57401	1.00	1.25	any_uniform_rescue_ge_0.80	PASS
57401	1.00	1.25	precision_ge_0.90	PASS
57401	1.00	1.25	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	1.00	1.25	abstention_le_0.10	PASS
57401	1.00	1.50	context_harm_le_0.05	PASS
57401	1.00	1.50	any_uniform_rescue_ge_0.80	PASS
57401	1.00	1.50	precision_ge_0.90	PASS
57401	1.00	1.50	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57401	1.00	1.50	abstention_le_0.10	PASS
57402	0.80	0.75	context_harm_le_0.05	PASS
57402	0.80	0.75	any_uniform_rescue_ge_0.80	PASS
57402	0.80	0.75	precision_ge_0.90	PASS
57402	0.80	0.75	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	0.80	0.75	abstention_le_0.10	PASS
57402	0.80	1.00	context_harm_le_0.05	PASS
57402	0.80	1.00	any_uniform_rescue_ge_0.80	PASS
57402	0.80	1.00	precision_ge_0.90	PASS
57402	0.80	1.00	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	0.80	1.00	abstention_le_0.10	PASS
57402	0.80	1.25	context_harm_le_0.05	PASS
57402	0.80	1.25	any_uniform_rescue_ge_0.80	PASS
57402	0.80	1.25	precision_ge_0.90	PASS
57402	0.80	1.25	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	0.80	1.25	abstention_le_0.10	PASS
57402	0.80	1.50	context_harm_le_0.05	PASS
57402	0.80	1.50	any_uniform_rescue_ge_0.80	PASS
57402	0.80	1.50	precision_ge_0.90	PASS
57402	0.80	1.50	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	0.80	1.50	abstention_le_0.10	PASS
57402	1.00	0.75	context_harm_le_0.05	PASS
57402	1.00	0.75	any_uniform_rescue_ge_0.80	PASS
57402	1.00	0.75	precision_ge_0.90	PASS
57402	1.00	0.75	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	1.00	0.75	abstention_le_0.10	PASS
57402	1.00	1.00	context_harm_le_0.05	PASS
57402	1.00	1.00	any_uniform_rescue_ge_0.80	PASS
57402	1.00	1.00	precision_ge_0.90	PASS
57402	1.00	1.00	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	1.00	1.00	abstention_le_0.10	PASS
57402	1.00	1.25	context_harm_le_0.05	PASS
57402	1.00	1.25	any_uniform_rescue_ge_0.80	PASS
57402	1.00	1.25	precision_ge_0.90	PASS
57402	1.00	1.25	uniform_rescue_loss_vs_oracle_le_0.10	PASS
57402	1.00	1.25	abstention_le_0.10	PASS
57402	1.00	1.50	context_harm_le_0.05	PASS
57402	1.00	1.50	any_uniform_rescue_ge_0.80	PASS
57402	1.00	1.50	precision_ge_0.90	PASS
57402	1.00	1.50	uniform_rescue_loss_vs_oracle_le_0.10	PASS
