seed	cell_state	metric	n_patients	n_remission	n_nonremission	both_labels_in_each_disease	estimable
57121	Mono_macro	max_lifetime	4	0	4	False	False
57121	Mono_macro	persistence_entropy	4	0	4	False	False
57121	Mono_macro	q90_median_ratio	4	0	4	False	False
57121	Mono_macro	total_persistence	4	0	4	False	False
57122	Mono_macro	max_lifetime	4	0	4	False	False
57122	Mono_macro	persistence_entropy	4	0	4	False	False
57122	Mono_macro	q90_median_ratio	4	0	4	False	False
57122	Mono_macro	total_persistence	4	0	4	False	False
57123	Mono_macro	max_lifetime	4	0	4	False	False
57123	Mono_macro	persistence_entropy	4	0	4	False	False
57123	Mono_macro	q90_median_ratio	4	0	4	False	False
57123	Mono_macro	total_persistence	4	0	4	False	False
