seed	donors	effect_scale	check	status
57101	16	0.80	reversal_promotion_le_0.05	PASS
57101	16	0.80	any_uniform_rescue_ge_0.80	FAIL
57101	16	0.80	precision_ge_0.90	PASS
57101	16	0.80	reversal_below_pooled	PASS
57101	16	0.80	uniform_rescue_loss_le_0.10	FAIL
57101	16	1.00	reversal_promotion_le_0.05	PASS
57101	16	1.00	any_uniform_rescue_ge_0.80	FAIL
57101	16	1.00	precision_ge_0.90	PASS
57101	16	1.00	reversal_below_pooled	FAIL
57101	16	1.00	uniform_rescue_loss_le_0.10	FAIL
57101	24	0.80	reversal_promotion_le_0.05	PASS
57101	24	0.80	any_uniform_rescue_ge_0.80	FAIL
57101	24	0.80	precision_ge_0.90	PASS
57101	24	0.80	reversal_below_pooled	PASS
57101	24	0.80	uniform_rescue_loss_le_0.10	FAIL
57101	24	1.00	reversal_promotion_le_0.05	PASS
57101	24	1.00	any_uniform_rescue_ge_0.80	FAIL
57101	24	1.00	precision_ge_0.90	PASS
57101	24	1.00	reversal_below_pooled	PASS
57101	24	1.00	uniform_rescue_loss_le_0.10	FAIL
57102	16	0.80	reversal_promotion_le_0.05	PASS
57102	16	0.80	any_uniform_rescue_ge_0.80	FAIL
57102	16	0.80	precision_ge_0.90	PASS
57102	16	0.80	reversal_below_pooled	FAIL
57102	16	0.80	uniform_rescue_loss_le_0.10	FAIL
57102	16	1.00	reversal_promotion_le_0.05	PASS
57102	16	1.00	any_uniform_rescue_ge_0.80	FAIL
57102	16	1.00	precision_ge_0.90	PASS
57102	16	1.00	reversal_below_pooled	FAIL
57102	16	1.00	uniform_rescue_loss_le_0.10	FAIL
57102	24	0.80	reversal_promotion_le_0.05	PASS
57102	24	0.80	any_uniform_rescue_ge_0.80	FAIL
57102	24	0.80	precision_ge_0.90	PASS
57102	24	0.80	reversal_below_pooled	PASS
57102	24	0.80	uniform_rescue_loss_le_0.10	FAIL
57102	24	1.00	reversal_promotion_le_0.05	PASS
57102	24	1.00	any_uniform_rescue_ge_0.80	FAIL
57102	24	1.00	precision_ge_0.90	PASS
57102	24	1.00	reversal_below_pooled	PASS
57102	24	1.00	uniform_rescue_loss_le_0.10	FAIL
57103	16	0.80	reversal_promotion_le_0.05	PASS
57103	16	0.80	any_uniform_rescue_ge_0.80	FAIL
57103	16	0.80	precision_ge_0.90	PASS
57103	16	0.80	reversal_below_pooled	FAIL
57103	16	0.80	uniform_rescue_loss_le_0.10	FAIL
57103	16	1.00	reversal_promotion_le_0.05	PASS
57103	16	1.00	any_uniform_rescue_ge_0.80	FAIL
57103	16	1.00	precision_ge_0.90	PASS
57103	16	1.00	reversal_below_pooled	FAIL
57103	16	1.00	uniform_rescue_loss_le_0.10	FAIL
57103	24	0.80	reversal_promotion_le_0.05	PASS
57103	24	0.80	any_uniform_rescue_ge_0.80	FAIL
57103	24	0.80	precision_ge_0.90	PASS
57103	24	0.80	reversal_below_pooled	PASS
57103	24	0.80	uniform_rescue_loss_le_0.10	FAIL
57103	24	1.00	reversal_promotion_le_0.05	PASS
57103	24	1.00	any_uniform_rescue_ge_0.80	FAIL
57103	24	1.00	precision_ge_0.90	PASS
57103	24	1.00	reversal_below_pooled	PASS
57103	24	1.00	uniform_rescue_loss_le_0.10	FAIL
