seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57061	12	0.80	averaged_endpoint	broad_rescue	0.999625
57061	12	0.80	averaged_endpoint	narrow_one_endpoint	0.268375
57061	12	0.80	averaged_endpoint	tradeoff	0.169500
57061	12	0.80	averaged_endpoint	toxic_pseudorescue	0.000250
57061	12	0.80	averaged_endpoint	null	0.003750
57061	12	0.80	replicated_broad_rescue	broad_rescue	0.514125
57061	12	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000125
57061	12	0.80	replicated_broad_rescue	tradeoff	0.000000
57061	12	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	12	0.80	replicated_broad_rescue	null	0.000000
57061	12	1.00	averaged_endpoint	broad_rescue	0.999750
57061	12	1.00	averaged_endpoint	narrow_one_endpoint	0.451625
57061	12	1.00	averaged_endpoint	tradeoff	0.284875
57061	12	1.00	averaged_endpoint	toxic_pseudorescue	0.000250
57061	12	1.00	averaged_endpoint	null	0.003250
57061	12	1.00	replicated_broad_rescue	broad_rescue	0.540625
57061	12	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57061	12	1.00	replicated_broad_rescue	tradeoff	0.000000
57061	12	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	12	1.00	replicated_broad_rescue	null	0.000000
57061	14	0.80	averaged_endpoint	broad_rescue	0.999750
57061	14	0.80	averaged_endpoint	narrow_one_endpoint	0.347625
57061	14	0.80	averaged_endpoint	tradeoff	0.220125
57061	14	0.80	averaged_endpoint	toxic_pseudorescue	0.000000
57061	14	0.80	averaged_endpoint	null	0.004313
57061	14	0.80	replicated_broad_rescue	broad_rescue	0.662250
57061	14	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	14	0.80	replicated_broad_rescue	tradeoff	0.000000
57061	14	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	14	0.80	replicated_broad_rescue	null	0.000000
57061	14	1.00	averaged_endpoint	broad_rescue	0.999500
57061	14	1.00	averaged_endpoint	narrow_one_endpoint	0.594875
57061	14	1.00	averaged_endpoint	tradeoff	0.379125
57061	14	1.00	averaged_endpoint	toxic_pseudorescue	0.000250
57061	14	1.00	averaged_endpoint	null	0.004562
57061	14	1.00	replicated_broad_rescue	broad_rescue	0.666750
57061	14	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57061	14	1.00	replicated_broad_rescue	tradeoff	0.000000
