n_train_donor_pairs	n_test_donor_pairs	seed	n_screens	safety_scale_probability	any_scale_probability	batch_abstention_probability
12	8	20260831	500	0.134	0.828	0.0
12	8	20260832	500	0.146	0.84	0.0
12	8	20260833	500	0.138	0.822	0.0
12	12	20260831	500	0.258	0.878	0.0
12	12	20260832	500	0.236	0.856	0.0
12	12	20260833	500	0.244	0.878	0.0
16	12	20260831	500	0.358	0.926	0.0
16	12	20260832	500	0.344	0.916	0.0
16	12	20260833	500	0.29	0.904	0.0
16	16	20260831	500	0.42	0.936	0.0
16	16	20260832	500	0.432	0.922	0.0
16	16	20260833	500	0.4	0.91	0.0
20	16	20260831	500	0.558	0.952	0.0
20	16	20260832	500	0.524	0.948	0.0
20	16	20260833	500	0.516	0.954	0.0
24	20	20260831	500	0.684	0.976	0.0
24	20	20260832	500	0.666	0.978	0.0
24	20	20260833	500	0.692	0.98	0.0
32	24	20260831	500	0.826	0.988	0.0
32	24	20260832	500	0.85	0.988	0.0
32	24	20260833	500	0.844	0.992	0.0
40	32	20260831	500	0.956	0.998	0.0
40	32	20260832	500	0.94	0.996	0.0
40	32	20260833	500	0.96	1.0	0.0
