seed	effect_scale	confirm_donors_per_context	method	truth_class	candidate_selection_probability
57201	0.80	4	discovery_nomination	context_harm	0.304250
57201	0.80	4	discovery_nomination	null	0.000000
57201	0.80	4	discovery_nomination	toxic_pseudorescue	0.000000
57201	0.80	4	discovery_nomination	tradeoff	0.000000
57201	0.80	4	discovery_nomination	uniform_broad_rescue	0.524000
57201	0.80	4	independent_confirmation	context_harm	0.000000
57201	0.80	4	independent_confirmation	null	0.000000
57201	0.80	4	independent_confirmation	toxic_pseudorescue	0.000000
57201	0.80	4	independent_confirmation	tradeoff	0.000000
57201	0.80	4	independent_confirmation	uniform_broad_rescue	0.000000
57201	0.80	6	discovery_nomination	context_harm	0.304250
57201	0.80	6	discovery_nomination	null	0.000000
57201	0.80	6	discovery_nomination	toxic_pseudorescue	0.000000
57201	0.80	6	discovery_nomination	tradeoff	0.000000
57201	0.80	6	discovery_nomination	uniform_broad_rescue	0.524000
57201	0.80	6	independent_confirmation	context_harm	0.000000
57201	0.80	6	independent_confirmation	null	0.000000
57201	0.80	6	independent_confirmation	toxic_pseudorescue	0.000000
57201	0.80	6	independent_confirmation	tradeoff	0.000000
57201	0.80	6	independent_confirmation	uniform_broad_rescue	0.000000
57201	0.80	8	discovery_nomination	context_harm	0.304250
57201	0.80	8	discovery_nomination	null	0.000000
57201	0.80	8	discovery_nomination	toxic_pseudorescue	0.000000
57201	0.80	8	discovery_nomination	tradeoff	0.000000
57201	0.80	8	discovery_nomination	uniform_broad_rescue	0.524000
57201	0.80	8	independent_confirmation	context_harm	0.000000
57201	0.80	8	independent_confirmation	null	0.000000
57201	0.80	8	independent_confirmation	toxic_pseudorescue	0.000000
57201	0.80	8	independent_confirmation	tradeoff	0.000000
57201	0.80	8	independent_confirmation	uniform_broad_rescue	0.011000
57201	1.00	4	discovery_nomination	context_harm	0.327250
57201	1.00	4	discovery_nomination	null	0.000000
57201	1.00	4	discovery_nomination	toxic_pseudorescue	0.000000
57201	1.00	4	discovery_nomination	tradeoff	0.000000
57201	1.00	4	discovery_nomination	uniform_broad_rescue	0.543250
57201	1.00	4	independent_confirmation	context_harm	0.000000
57201	1.00	4	independent_confirmation	null	0.000000
57201	1.00	4	independent_confirmation	toxic_pseudorescue	0.000000
57201	1.00	4	independent_confirmation	tradeoff	0.000000
