seed	effect_scale	confirm_donors_per_context	confirm_total_donors	method	prob_any_uniform_rescue	prob_any_context_harm	prob_any_other_false	uniform_rescue_recall	selection_precision	mean_n_selected
57201	0.80	4	8	discovery_nomination	0.932000	0.813000	0.000000	0.524000	0.632659	3.313000
57201	0.80	4	8	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57201	0.80	6	12	discovery_nomination	0.932000	0.813000	0.000000	0.524000	0.632659	3.313000
57201	0.80	6	12	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57201	0.80	8	16	discovery_nomination	0.932000	0.813000	0.000000	0.524000	0.632659	3.313000
57201	0.80	8	16	independent_confirmation	0.043000	0.000000	0.000000	0.011000	1.000000	0.044000
57201	1.00	4	8	discovery_nomination	0.945000	0.837000	0.000000	0.543250	0.624067	3.482000
57201	1.00	4	8	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57201	1.00	6	12	discovery_nomination	0.945000	0.837000	0.000000	0.543250	0.624067	3.482000
57201	1.00	6	12	independent_confirmation	0.001000	0.000000	0.000000	0.000250	1.000000	0.001000
57201	1.00	8	16	discovery_nomination	0.945000	0.837000	0.000000	0.543250	0.624067	3.482000
57201	1.00	8	16	independent_confirmation	0.059000	0.000000	0.000000	0.014750	1.000000	0.059000
57202	0.80	4	8	discovery_nomination	0.923000	0.822000	0.000000	0.500000	0.618047	3.236000
57202	0.80	4	8	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57202	0.80	6	12	discovery_nomination	0.923000	0.822000	0.000000	0.500000	0.618047	3.236000
57202	0.80	6	12	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57202	0.80	8	16	discovery_nomination	0.923000	0.822000	0.000000	0.500000	0.618047	3.236000
57202	0.80	8	16	independent_confirmation	0.030000	0.000000	0.000000	0.007750	1.000000	0.031000
57202	1.00	4	8	discovery_nomination	0.955000	0.835000	0.000000	0.561000	0.635694	3.530000
57202	1.00	4	8	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57202	1.00	6	12	discovery_nomination	0.955000	0.835000	0.000000	0.561000	0.635694	3.530000
57202	1.00	6	12	independent_confirmation	0.002000	0.000000	0.000000	0.000500	1.000000	0.002000
57202	1.00	8	16	discovery_nomination	0.955000	0.835000	0.000000	0.561000	0.635694	3.530000
57202	1.00	8	16	independent_confirmation	0.060000	0.000000	0.000000	0.015500	1.000000	0.062000
57203	0.80	4	8	discovery_nomination	0.926000	0.821000	0.000000	0.495000	0.606061	3.267000
57203	0.80	4	8	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57203	0.80	6	12	discovery_nomination	0.926000	0.821000	0.000000	0.495000	0.606061	3.267000
57203	0.80	6	12	independent_confirmation	0.001000	0.000000	0.000000	0.000250	1.000000	0.001000
57203	0.80	8	16	discovery_nomination	0.926000	0.821000	0.000000	0.495000	0.606061	3.267000
57203	0.80	8	16	independent_confirmation	0.034000	0.000000	0.000000	0.008750	1.000000	0.035000
57203	1.00	4	8	discovery_nomination	0.930000	0.830000	0.000000	0.533750	0.614388	3.475000
57203	1.00	4	8	independent_confirmation	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
57203	1.00	6	12	discovery_nomination	0.930000	0.830000	0.000000	0.533750	0.614388	3.475000
57203	1.00	6	12	independent_confirmation	0.002000	0.000000	0.000000	0.000500	1.000000	0.002000
57203	1.00	8	16	discovery_nomination	0.930000	0.830000	0.000000	0.533750	0.614388	3.475000
57203	1.00	8	16	independent_confirmation	0.064000	0.000000	0.000000	0.016500	1.000000	0.066000
