mode	reliability	seed	n_replicates	auc_median	auc_q05	auc_q95	prob_auc_gt_0_50	prob_auc_ge_0_60	prob_auc_ge_0_70	practical_cell_pass
global	1.0	57001	50000	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0	1.0	True
global	1.0	57002	50000	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0	1.0	True
global	1.0	57003	50000	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0	1.0	True
global	0.95	57001	50000	0.8111111111111111	0.7444444444444445	0.8777777777777778	1.0	0.99998	0.99664	True
global	0.95	57002	50000	0.8111111111111111	0.7444444444444445	0.8777777777777778	1.0	1.0	0.9965	True
global	0.95	57003	50000	0.8111111111111111	0.7444444444444445	0.8777777777777778	1.0	1.0	0.99618	True
global	0.9	57001	50000	0.8	0.7111111111111111	0.8777777777777778	1.0	0.99966	0.9654	True
global	0.9	57002	50000	0.8	0.7111111111111111	0.8777777777777778	1.0	0.99946	0.96706	True
global	0.9	57003	50000	0.8	0.7111111111111111	0.8777777777777778	1.0	0.9996	0.9661	True
global	0.8	57001	50000	0.7777777777777778	0.6555555555555556	0.8888888888888888	0.99988	0.99218	0.87306	True
global	0.8	57002	50000	0.7777777777777778	0.6555555555555556	0.8888888888888888	0.99982	0.99276	0.87624	True
global	0.8	57003	50000	0.7777777777777778	0.6555555555555556	0.8888888888888888	0.99988	0.99284	0.8742	True
global	0.7	57001	50000	0.7555555555555555	0.6222222222222222	0.8888888888888888	0.99832	0.97142	0.77848	True
global	0.7	57002	50000	0.7555555555555555	0.6222222222222222	0.8888888888888888	0.99822	0.97284	0.78212	True
global	0.7	57003	50000	0.7555555555555555	0.6222222222222222	0.8888888888888888	0.99822	0.9729	0.7768	True
global	0.6	57001	50000	0.7333333333333333	0.5777777777777777	0.8777777777777778	0.99196	0.93496	0.68552	True
global	0.6	57002	50000	0.7444444444444445	0.5888888888888889	0.8777777777777778	0.9926	0.93718	0.6877	True
global	0.6	57003	50000	0.7444444444444445	0.5777777777777777	0.8777777777777778	0.9922	0.9362	0.68278	True
global	0.5	57001	50000	0.7222222222222222	0.5444444444444444	0.8666666666666667	0.97764	0.88358	0.59352	True
global	0.5	57002	50000	0.7222222222222222	0.5444444444444444	0.8666666666666667	0.97866	0.88608	0.59626	True
global	0.5	57003	50000	0.7222222222222222	0.5444444444444444	0.8666666666666667	0.97812	0.8843	0.59304	True
cohort_scaled	1.0	57001	50000	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0	1.0	True
cohort_scaled	1.0	57002	50000	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0	1.0	True
cohort_scaled	1.0	57003	50000	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0	1.0	True
cohort_scaled	0.95	57001	50000	0.8222222222222222	0.7555555555555555	0.8777777777777778	1.0	1.0	0.99948	True
cohort_scaled	0.95	57002	50000	0.8222222222222222	0.7555555555555555	0.8777777777777778	1.0	1.0	0.99962	True
cohort_scaled	0.95	57003	50000	0.8222222222222222	0.7555555555555555	0.8777777777777778	1.0	1.0	0.99944	True
cohort_scaled	0.9	57001	50000	0.8111111111111111	0.7333333333333333	0.8777777777777778	1.0	1.0	0.9915	True
cohort_scaled	0.9	57002	50000	0.8111111111111111	0.7333333333333333	0.8777777777777778	1.0	1.0	0.9922	True
cohort_scaled	0.9	57003	50000	0.8111111111111111	0.7333333333333333	0.8777777777777778	1.0	1.0	0.9921	True
cohort_scaled	0.8	57001	50000	0.7888888888888889	0.6888888888888889	0.8777777777777778	1.0	0.99882	0.93524	True
cohort_scaled	0.8	57002	50000	0.7888888888888889	0.6888888888888889	0.8888888888888888	1.0	0.99884	0.9393	True
cohort_scaled	0.8	57003	50000	0.7888888888888889	0.6888888888888889	0.8777777777777778	1.0	0.999	0.93762	True
cohort_scaled	0.7	57001	50000	0.7777777777777778	0.6444444444444445	0.8777777777777778	0.99956	0.98782	0.84696	True
cohort_scaled	0.7	57002	50000	0.7777777777777778	0.6444444444444445	0.8777777777777778	0.99968	0.98872	0.85048	True
cohort_scaled	0.7	57003	50000	0.7777777777777778	0.6444444444444445	0.8777777777777778	0.99944	0.9886	0.84484	True
cohort_scaled	0.6	57001	50000	0.7555555555555555	0.6	0.8777777777777778	0.99606	0.95824	0.74368	True
cohort_scaled	0.6	57002	50000	0.7555555555555555	0.6	0.8777777777777778	0.99612	0.96144	0.74614	True
cohort_scaled	0.6	57003	50000	0.7555555555555555	0.6	0.8777777777777778	0.99612	0.95938	0.74166	True
cohort_scaled	0.5	57001	50000	0.7333333333333333	0.5666666666666667	0.8666666666666667	0.98416	0.90832	0.6355	True
cohort_scaled	0.5	57002	50000	0.7333333333333333	0.5666666666666667	0.8666666666666667	0.98522	0.91164	0.6388	True
cohort_scaled	0.5	57003	50000	0.7222222222222222	0.5666666666666667	0.8666666666666667	0.98492	0.90746	0.63318	True
