accession	role	filename	bytes	sha256
GSE97779	v2_public_geo_or_platform	GSE97779_series_matrix.txt.gz	3454758	b256d42e4fed41d7f47aa2fa20393d48d03a8412d10cf5ab5e15e151ed0dc763
GSE75214	v2_public_geo_or_platform	GSE75214_series_matrix.txt.gz	34902052	4a20658754f5d4d50f9f938585afd466273d1aa141579d27f2fd4495a2647798
GSE13355	v2_public_geo_or_platform	GSE13355_series_matrix.txt.gz	35921043	087043c4a620828d65f3055840be9de25bd31306d5caf018ae28ce5d18de6194
GSE32591	v2_public_geo_or_platform	GSE32591_series_matrix.txt.gz	6154860	6ce283fd4b40609a73f463c0041f9d0cc088c8cc26fdd93719006d8987e38cd9
GSE10325	v2_public_geo_or_platform	GSE10325_series_matrix.txt.gz	3109393	0b517b0950226adaf2f5a415308f2bad03743a3d9bd0d398a4068f4af8878e74
GSE23117	v2_public_geo_or_platform	GSE23117_series_matrix.txt.gz	4060077	e765d8ecfb047485f7f3b3df7762fe81371f245c1293a346445c0a79ce3a5b11
GSE154609	v2_public_geo_or_platform	GSE154609_series_matrix.txt.gz	7198422	dd9209137ba81412bb7f866b424d343bad7fda8633369fb2e72b7479c1208695
GPL570	v2_public_geo_or_platform	GPL570.annot.gz	8471521	d7cd44352127b1e34f3a720ebea86093ef255a38f1612a85a2962b71bde8f394
GPL6244	v2_public_geo_or_platform	GPL6244.annot.gz	7193437	99ee70f87e02c75ff1c8dc57b6c40c0482c7ef2760e004301315ac34344ac6dc
GPL14663	v2_public_geo_or_platform	GPL14663_family.soft.gz	32310864	24f011aa6ae93c8fa4454649a09518c2305a68bab6fa30c4b5a1ebded0c8b7c2
GPL96	v2_public_geo_or_platform	GPL96.annot.gz	4522748	88e0b22362bac779eb220b3b185c80faa6510a92b9358eaad159a561ab4351c4
