record_id	record_type	resource_name	epistemic_class	relationship_to_project_findings	not_project_grounded_marker	source_label	source_url	final_url	http_code	reachability_status	detail	interpretation_boundary	path
resource.arrayexpress_biostudies.functional_genomics.2026-06-13	external_resource_catalog	ArrayExpress in BioStudies	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ArrayExpress in BioStudies page	https://www.ebi.ac.uk/arrayexpress/	https://www.ebi.ac.uk/biostudies/arrayexpress	200	reachable_redirected_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
resource.biostudies.database.2026-06-13	external_resource_catalog	BioStudies	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EMBL-EBI BioStudies team page	https://www.ebi.ac.uk/about/teams/biostudies/	https://www.ebi.ac.uk/about/teams/biostudies/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/biostudies_database.json
resource.clinicaltrials_gov.2026-06-13	external_resource_catalog	ClinicalTrials.gov	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ClinicalTrials.gov home page	https://clinicaltrials.gov/	https://clinicaltrials.gov/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/clinicaltrials_gov.json
resource.dailymed.drug_labels.2026-06-13	external_resource_catalog	DailyMed	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DailyMed home page	https://dailymed.nlm.nih.gov/	https://dailymed.nlm.nih.gov/dailymed/	200	reachable_redirected_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/dailymed_drug_labels.json
resource.disgenet.platform.2026-06-13	external_resource_catalog	DISGENET	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DISGENET home page	https://disgenet.com/	https://disgenet.com/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/disgenet_platform.json
resource.dryad.repository.2026-06-13	external_resource_catalog	Dryad	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Dryad home page	https://datadryad.org/	https://datadryad.org/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/dryad_repository.json
resource.ega.controlled_genomics.2026-06-13	external_resource_catalog	European Genome-phenome Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EGA home page	https://ega-archive.org/	https://ega-archive.org/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/ega_controlled_genomics.json
resource.ema.medicines_database.2026-06-13	external_resource_catalog	EMA Medicines	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EMA medicines portal	https://www.ema.europa.eu/en/medicines	https://www.ema.europa.eu/en/medicines	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/ema_medicines_database.json
resource.ena.sequence_archive.2026-06-13	external_resource_catalog	European Nucleotide Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ENA Browser	https://www.ebi.ac.uk/ena/browser/	https://www.ebi.ac.uk/ena/browser/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/ena_sequence_archive.json
resource.europe_pmc.literature.2026-06-13	external_resource_catalog	Europe PMC	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Europe PMC home page	https://europepmc.org/	https://europepmc.org/	200	reachable_2xx	GET completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/europe_pmc_literature.json
resource.fda.fdalabel_drug_labeling.2026-06-13	external_resource_catalog	FDA FDALabel	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	FDA FDALabel overview	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json
resource.figshare.repository.2026-06-13	external_resource_catalog	Figshare	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Figshare about page	https://info.figshare.com/about/	https://info.figshare.com/about/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/figshare_repository.json
resource.geo.functional_genomics.2026-06-13	external_resource_catalog	NCBI Gene Expression Omnibus	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NCBI GEO home page	https://www.ncbi.nlm.nih.gov/geo/	https://www.ncbi.nlm.nih.gov/geo/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/geo_functional_genomics.json
resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	NHGRI-EBI GWAS Catalog	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	GWAS Catalog home page	https://www.ebi.ac.uk/gwas/	https://www.ebi.ac.uk/gwas/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
resource.imsgc.publications.2026-06-13	external_resource_catalog	International Multiple Sclerosis Genetics Consortium	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	IMSGC publications page	https://imsgc.net/publications/	https://imsgc.net/publications/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/imsgc_publications.json
resource.ms_society_uk.types_of_ms.2026-06-13	external_resource_catalog	MS Society UK Types of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MS Society UK Types of MS page	https://www.mssociety.org.uk/about-ms/types-of-ms	https://www.mssociety.org.uk/about-ms/types-of-ms	403	client_error	GET returned HTTPError; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json
resource.msbase.registry.2026-06-13	external_resource_catalog	MSBase Registry	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MSBase home page	https://www.msbase.org/	https://www.msbase.org/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/msbase_registry.json
resource.msda.catalogue.2026-06-13	external_resource_catalog	MS Data Alliance Catalogue	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MSDA Catalogue home page	https://msda.emif-catalogue.eu/	https://msda.emif-catalogue.eu/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/msda_catalogue.json
resource.msgd.database_commons.2026-06-13	external_resource_catalog	MSGD / Multiple Sclerosis Gene Database	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Database Commons profile for MSGD	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/msgd_database_commons.json
resource.msif.atlas_of_ms.2026-06-13	external_resource_catalog	MS International Federation Atlas of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Atlas of MS	https://atlasofms.org/	https://atlasofms.org/map/global/epidemiology/number-of-people-with-ms	200	reachable_redirected_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/msif_atlas_of_ms.json
resource.narcoms.registry.2026-06-13	external_resource_catalog	NARCOMS Registry	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NARCOMS about page	https://www.narcoms.org/	https://www.narcoms.org/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/narcoms_registry.json
resource.national_ms_society.dmt_reference.2026-06-13	external_resource_catalog	National Multiple Sclerosis Society Disease Modification	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	National MS Society disease modification page	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json
resource.national_ms_society.types_of_ms.2026-06-13	external_resource_catalog	National Multiple Sclerosis Society Types of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	National MS Society Types of MS page	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/national_ms_society_types.json
resource.nhs_england.ms_dmt_algorithm.2026-06-13	external_resource_catalog	NHS England MS DMT treatment algorithm	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NHS England MS DMT treatment algorithm PDF	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json
resource.nice.ng220_ms_management.2026-06-13	external_resource_catalog	NICE NG220 Multiple sclerosis in adults: management	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NICE NG220 overview	https://www.nice.org.uk/guidance/ng220	https://www.nice.org.uk/guidance/ng220	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/nice_ng220_ms_management.json
resource.ninds.ms_common_data_elements.2026-06-13	external_resource_catalog	NINDS Multiple Sclerosis Common Data Elements	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NINDS CDE Multiple Sclerosis page	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json
resource.open_targets.platform.2026-06-13	external_resource_catalog	Open Targets Platform	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Open Targets Platform documentation	https://platform-docs.opentargets.org/	https://platform-docs.opentargets.org/	200	reachable_2xx	HEAD completed; transport status only.	transport_status_only_not_claim_validation	knowledge_external/catalogs/resources/open_targets_platform.json
