dataset	comparison	feature_type	feature	present_genes	n_case	n_control	mean_case	mean_control	delta	hedges_g	p	limitation	positive_fraction
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CTSB,CTSD,LAMP1,LIPA	9	5	-0.33917976392240473	0.6105235750603283	-0.949703338982733	-3.6430035786667188	1.5312841208569628e-05	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	9	5	0.08796899212104026	-0.15834418581787266	0.24631317793891291	0.5382914314313367	0.2689884092690372	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	9	5	0.4214539461431975	-0.7586171030577556	1.1800710492009532	1.9287669211840428	0.0008645200705757661	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA
GSE13355	psoriasis_involved_vs_uninvolved	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CTSB,CTSD,LAMP1,LIPA	58	58	0.22214498669987287	-0.11484943811882348	0.33699442481869635	0.9568234061239231	9.390573894986859e-07	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	NA
GSE13355	psoriasis_involved_vs_uninvolved	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	58	58	0.33288584578314906	-0.2047838133630215	0.5376696591461706	0.8487346582056533	1.0983943023692266e-05	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	NA
GSE13355	psoriasis_involved_vs_uninvolved	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	58	58	0.9143962073274897	-0.4048996052473066	1.3192958125747962	3.0539828670916584	3.487285852571257e-30	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	NA
GSE13355	psoriasis_involved_vs_normal_control	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CTSB,CTSD,LAMP1,LIPA	58	64	0.22214498669987287	-0.09723659090157602	0.3193815776014489	0.9331781577542546	1.0222204497565e-06	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	NA
GSE13355	psoriasis_involved_vs_normal_control	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	58	64	0.33288584578314906	-0.11609246688074062	0.44897831266388966	0.678074862686821	0.00024326694464089636	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	NA
GSE13355	psoriasis_involved_vs_normal_control	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	58	64	0.9143962073274897	-0.46173129563516574	1.3761275029626554	3.3386948455999472	1.3125658954081778e-31	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	NA
GSE13355	psoriasis_involved_vs_uninvolved_paired	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CTSB,CTSD,LAMP1,LIPA	58	58	NA	NA	0.3369944248186964	0.7874923264779191	1.6791353232594166e-06	bulk paired skin; not cell-specific	0.7586206896551724
GSE13355	psoriasis_involved_vs_uninvolved_paired	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	58	58	NA	NA	0.5376696591461706	0.7111769519780159	4.658686048376679e-06	bulk paired skin; not cell-specific	0.7931034482758621
GSE13355	psoriasis_involved_vs_uninvolved_paired	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	58	58	NA	NA	1.319295812574796	2.6538082444895115	3.5060510731588664e-11	bulk paired skin; not cell-specific	1.0
GSE75214	UC_active_colon_vs_control_colon	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CD68,CTSB,CTSD,LAMP1,LIPA	74	11	0.08510120095176778	-0.5230095892831269	0.6081107902348947	1.353363979045567	0.0018449588665202603	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	UC_active_colon_vs_control_colon	module	MYELOID_DENSITY	CD68,CSF1R,ITGAM,AIF1,LYZ,CTSS	74	11	0.3112398694543347	-0.8170793842227565	1.1283192536770912	2.1047220173217287	0.0009749362091751658	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	UC_active_colon_vs_control_colon	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL3,CCL4	74	11	0.47784258193330953	-1.0503985071012918	1.5282410890346014	2.0191545468737586	1.0834993471841862e-21	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	CD_active_ileum_vs_control_ileum	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CD68,CTSB,CTSD,LAMP1,LIPA	51	11	0.23524947959287623	0.1450281358537623	0.09022134373911392	0.23742988976834456	0.258665001741949	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	CD_active_ileum_vs_control_ileum	module	MYELOID_DENSITY	CD68,CSF1R,ITGAM,AIF1,LYZ,CTSS	51	11	0.24682006177258728	-0.5145038458316686	0.761323907604256	1.327932120394708	3.7100359524276636e-05	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	CD_active_ileum_vs_control_ileum	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL3,CCL4	51	11	0.17602306542216628	-0.7939203562888978	0.9699434217110641	1.201665215654517	1.7198706228713591e-07	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	UC_active_colon_vs_UC_inactive_colon	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CD68,CTSB,CTSD,LAMP1,LIPA	74	23	0.08510120095176778	-0.6098673353308568	0.6949685362826246	1.5355557918265839	4.638210094473551e-07	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	UC_active_colon_vs_UC_inactive_colon	module	MYELOID_DENSITY	CD68,CSF1R,ITGAM,AIF1,LYZ,CTSS	74	23	0.3112398694543347	-0.6926641620119881	1.0039040314663228	2.065261005241645	3.669885136465393e-10	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	UC_active_colon_vs_UC_inactive_colon	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL3,CCL4	74	23	0.47784258193330953	-0.7570683462967963	1.2349109282301058	1.7003468139972568	2.68284685590702e-16	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	CD_active_ileum_vs_CD_inactive_ileum	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CD68,CTSB,CTSD,LAMP1,LIPA	51	16	0.23524947959287623	-0.057063880737644394	0.29231336033052063	0.7643567798665908	0.0024401305898092947	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	CD_active_ileum_vs_CD_inactive_ileum	module	MYELOID_DENSITY	CD68,CSF1R,ITGAM,AIF1,LYZ,CTSS	51	16	0.24682006177258728	-0.4669655266372518	0.7137855884098391	1.3165998727495791	7.93397330367945e-09	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE75214	CD_active_ileum_vs_CD_inactive_ileum	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL3,CCL4	51	16	0.17602306542216628	-0.5376057048243145	0.7136287702464807	0.896491125840743	8.88846468674681e-05	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	NA
GSE32591	LN_tubulointerstitium_vs_control_tubulointerstitium	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,CD68,CTSB,CTSD,LAMP1,LIPA	32	15	-0.2779252222244501	-0.45052644973973927	0.17260122751528917	0.9696350121010541	0.0004931638214842949	bulk microdissected lupus nephritis kidney compartments; not cell-specific and reflects infiltrate plus parenchyma	NA
GSE32591	LN_tubulointerstitium_vs_control_tubulointerstitium	module	MYELOID_DENSITY	CD68,CSF1R,ITGAM,AIF1,LYZ,CTSS	32	15	-0.5914311079525719	-0.9474501785167517	0.3560190705641798	1.3781095674987587	6.229963214486786e-07	bulk microdissected lupus nephritis kidney compartments; not cell-specific and reflects infiltrate plus parenchyma	NA
GSE32591	LN_tubulointerstitium_vs_control_tubulointerstitium	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	32	15	-0.7411362635784136	-0.537762233550638	-0.20337403002777554	-0.6434548655478688	0.05246929493490495	bulk microdissected lupus nephritis kidney compartments; not cell-specific and reflects infiltrate plus parenchyma	NA
GSE32591	LN_glomeruli_vs_control_glomeruli	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,CD68,CTSB,CTSD,LAMP1,LIPA	32	14	0.499981496183159	-0.02485028718447252	0.5248317833676315	1.1055731845883545	3.286591959751355e-05	bulk microdissected lupus nephritis kidney compartments; not cell-specific and reflects infiltrate plus parenchyma	NA
GSE32591	LN_glomeruli_vs_control_glomeruli	module	MYELOID_DENSITY	CD68,CSF1R,ITGAM,AIF1,LYZ,CTSS	32	14	1.0452149125102674	-0.022094933435355592	1.067309845945623	2.4997714212422677	1.149529056457531e-13	bulk microdissected lupus nephritis kidney compartments; not cell-specific and reflects infiltrate plus parenchyma	NA
GSE32591	LN_glomeruli_vs_control_glomeruli	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	32	14	0.8333443084256633	0.36541257629625845	0.46793173212940486	0.8560974215685154	0.012094695176680935	bulk microdissected lupus nephritis kidney compartments; not cell-specific and reflects infiltrate plus parenchyma	NA
