gene	disease	dataset	channel	comparison	effect	p	quality	score	limitation	axis	positive_nominal	negative_nominal
ACSL1	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	0.5335348832358705	0.2051195219741815	0.65	0.5555479892564914	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux	False	False
APOE	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-7.099064769393018	0.000338579491628	0.65	-2.0519068594770284	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,tissue_remodeling	False	True
GPNMB	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-7.8879643065393426	4.720587230930076e-06	0.65	-2.4539675274189707	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,tissue_remodeling	False	True
LPL	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	0.7741601540920027	0.0774201283446252	0.65	0.683383571201054	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,tissue_remodeling	False	False
TREM2	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-1.309931812844464	0.0141033213165238	0.65	-0.9822871635006716	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	True
SPP1	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	4.673905630220314	1.8909001410340356e-07	0.65	2.7567218045818924	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	tissue_remodeling	True	False
PLIN2	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-5.779998472870773	0.0001891865621602	0.65	-2.1066737714941106	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux	False	True
CD36	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-4.107751780568541	1.2667593515891288e-05	0.65	-2.3610829408695087	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux	False	True
FABP5	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-1.8333448102219585	0.001296698137018	0.65	-1.3639378901112433	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux	False	True
C1QA	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-0.5977595891819237	0.1716734503789096	0.65	-0.585504721656929	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	complement_phagocytosis	False	False
C1QB	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	0.8271566386380785	0.0634582709845116	0.65	0.7123448260086238	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	complement_phagocytosis	False	False
C1QC	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-1.8485662339657951	0.0009151079375409	0.65	-1.394620757140669	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	complement_phagocytosis	False	True
CTSB	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-3.650248559673378	2.126757350841342e-06	0.65	-2.528994445779083	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lysosome_antigen_processing	False	True
CTSD	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-4.43320948686846	0.0020920476294298	0.65	-1.8805428269669413	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lysosome_antigen_processing	False	True
LAMP1	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-3.760460250330188	0.0031704705057829	0.65	-1.8414231945650696	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lysosome_antigen_processing	False	True
NAMPT	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	3.5642792597232993	1.067746075510371e-05	0.65	2.377165270164332	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	metabolic_licensing	True	False
IFI30	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-2.5059620047489277	0.0007472111234997	0.65	-1.7331903834129698	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lysosome_antigen_processing,interferon_chemokine	False	True
ASAH1	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-10.00841480916316	2.0677624861860715e-05	0.65	-2.3149748587348276	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,lysosome_antigen_processing	False	True
TPP1	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-5.994661895198184	2.4108024180019896e-06	0.65	-2.5171983160160325	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lysosome_antigen_processing	False	True
LIPA	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-5.963302761754954	0.0001583095986072	0.65	-2.1234400963213145	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,lysosome_antigen_processing	False	True
IL1B	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	1.6384229353890132	0.0026190465557407	0.65	1.226472420370639	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	interferon_chemokine,metabolic_licensing	True	False
TNF	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	2.1022596757348513	0.000388905952221	0.65	1.581273723821674	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	interferon_chemokine,metabolic_licensing	True	False
CXCL10	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	1.0905110654648302	0.021365995437996	0.65	0.8685515945782223	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	interferon_chemokine	True	False
MSR1	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-0.4471218904012496	0.3950699538201289	0.65	-0.5019296329465343	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,complement_phagocytosis	False	False
MARCO	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	3.151423736095684	1.2600990759415738e-05	0.65	2.361578983164204	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	True	False
MERTK	RA	GSE97779	expression_screen	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	-1.497770178828933	0.0329180468865051	0.65	-1.0123603786480393	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	True
ACSL1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-1.1309772914839815	1.6935249525782417e-08	0.4	-0.9782044125586324	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	False	True
APOE	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-2.3881053089163333	7.222089970251662e-23	0.4	-2.0328631853498003	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
GPNMB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-2.199825637184403	1.2051564315339052e-20	0.4	-1.9198953823106422	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
