gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts
SEC61B	12	77	0.0003080049185275917	-0.0034006138739641825	0.498977954518211	5	5	7	5
MTHFD2	9	40	0.000154050883035458	0.003600362500744966	0.26798450384386435	3	3	5	4
HIF1A	13	67	-2.428912781537104e-05	-0.006825213078767655	0.09264835815627738	5	2	7	6
SEC61A1	12	49	-9.84932814844674e-05	0.0013314265913019583	-0.02682966487798505	4	2	6	6
TMSB10	12	76	0.00026737001856719873	-0.029129597047964723	0.5735651911117149	4	2	5	7
RPL17	8	39	0.0007182155859481884	0.006029057782143338	1.2297099803540263	3	2	6	2
TPM4	11	69	0.00010363186017705587	0.01986132977022363	0.32403908729135233	5	1	9	2
DAP	10	47	-1.3323542953007632e-05	0.0034149154322222	0.09552275227020016	4	1	6	4
SQLE	11	33	7.366903909398752e-05	0.002961501860144472	0.03643238252390219	3	1	6	5
CD74	7	80	1.5269305939522118e-05	-0.02031414137621015	0.24260406169601575	1	1	5	2
CFB	5	17	-9.137050074061858e-06	0.020330289751291218	0.09349038877708948	1	1	5	0
IFITM2	7	30	-4.037098759517511e-05	0.018068754247256687	-0.0023427402846620815	1	1	4	3
ATOX1	12	64	-0.00011216944744772413	-0.0017630722528944244	-0.05370051243924854	1	1	4	8
CXCL8	7	24	0.0003684924699233	-0.016716241304363517	0.47473358271235916	1	1	3	4
ACSL3	12	32	-0.00010757624234731737	-0.01276268957493206	-0.04536972952519406	1	1	3	9
HLA-DRB1	5	21	0.0002272006218845222	0.0051210917532444	0.38595328054365813	1	1	2	3
FMNL2	5	12	-0.00010336552513763998	0.00853181928396224	0.04897281593620821	1	1	2	3
SEL1L3	2	4	0.00011088450264648125	0.0074034705758095	0.3392723912974593	1	1	1	1
PPIB	12	60	1.6327602073323253e-05	0.03244663980634258	0.09790574185448027	6	0	11	1
IFITM3	9	59	0.00012637199445935402	0.02388642904245189	0.24882005852831662	5	0	8	1
PTPN2	9	24	-0.00013406342946431385	-0.0132569173971812	-0.09262891508645038	2	0	6	3
TIMP1	10	84	-0.00027017906613763	0.02237882558256387	-0.25056514993610174	2	0	6	4
CASP4	8	22	0.00029879648718631456	-0.0007416349835693747	0.35673158620853684	2	0	5	3
NME1	10	27	4.3336834187358194e-05	-0.00509958991315212	0.11840281949597149	2	0	5	5
CTSL	9	47	-5.356414072188252e-05	-0.016707513170937667	0.029476226685725773	2	0	3	6
TNFAIP8	6	23	-9.918543279738515e-06	-0.0073402767690519495	0.002005128043598222	2	0	3	3
PSME1	8	25	-0.0002020867086685	0.03714462387142703	-0.35246949143057	2	0	3	5
SNX10	5	18	-0.0001240872174093844	-0.004850065428763641	-0.1473100175531906	2	0	2	3
CTSB	9	68	-2.682381050865555e-05	0.02519550050298371	-0.0066855409661885756	1	0	6	3
CALR	11	60	-0.00047521104141359875	0.00092226235640489	-0.4761068520050235	1	0	6	5
SDC4	10	41	0.00020446654107217317	-0.0018331117928028107	0.4023806600588179	1	0	5	5
CBX3	10	30	-0.0003322861601190761	-0.0157442358788103	-0.33746279274169433	1	0	5	5
COL4A1	7	30	-0.00043531765861964846	0.005909504235855157	-0.5626130649931266	1	0	5	2
PTPRE	7	26	-5.7918014655492325e-05	0.003511449455150528	-0.026028757559816793	1	0	4	3
MPHOSPH6	10	24	-0.00012154807482144397	-0.006295411862083709	-0.06508402159938784	1	0	4	6
PDLIM7	8	24	-0.00021337270936780715	-0.012187136511784038	-0.1914484617729091	1	0	4	4
CTSS	7	45	-0.0002965412305846521	0.0026028070798409706	-0.379980623922263	1	0	4	3
CNN3	7	26	0.00042133671896795453	-0.003813301911577543	0.7212505124936676	1	0	3	4
FKBP1A	10	45	-0.00026241926316285155	-0.00955256251618265	-0.2526515408463023	1	0	3	7
HLA-B	8	41	6.602377652606075e-06	-0.014475296852651795	0.13122388140922558	1	0	2	6
CHI3L1	3	15	-0.00041647042598921764	0.007966603462894767	-0.48221810089181183	1	0	1	2
HAPLN3	4	6	0.00059405962383605	0.0196796238888055	1.1333795373008035	0	0	3	1
LTA4H	6	10	-0.0002308769362570804	-0.0012020055825511834	-0.332924532512651	0	0	3	3
ACSL1	7	14	1.905503735801091e-05	-0.0015333501978602574	0.03280143205412989	0	0	2	5
C1QTNF1	1	1	0.0005165934562683	0.0033833098132163	1.1336007211526975	0	0	1	0
IL7R	3	5	2.1848415296200012e-05	-0.010927708121016599	0.12040450865711416	0	0	1	2
IL2RG	1	2	4.565715789794922e-05	0.0201708208769559	0.03306622807581512	0	0	1	0
KRTCAP3	5	38	-0.00016919414410947073	-0.00508991269161926	-0.07337562728283856	0	0	1	4
PDPN	4	13	-0.00038159390533105703	-0.0109826705884188	-0.4423865768324818	0	0	1	3
REG1A	5	29	-0.0010989805072312653	-0.03170111179351802	-1.6796252945244745	0	0	1	4
LDLRAD3	2	3	-0.00069157779216765	-0.04257337749004355	-0.8168546624469013	0	0	0	2
